comment,likes,dislikes
"딱 봐도 저 4군단 흰머리가 밤 죽이러 오면
화이트가 '짐의 먹이를 탐내지 마라' 하면서 해치워 줄듯ㅋㅋㅋㅋㅋㅋ

화이트 코인 세일 중인데 풀매수간다",21613,197
"이수나 하츠 얘네는 사단장은 고사하고 그냥 일반 랭커한테도 죽었다 깨어나도 못 이길텐데 어떤 식으로 작중에서 영향을 주게 될지 의문임
솔직히 유리 길잡이가 말한대로 상어(밤)가 언제까지나 송사리랑 헤엄칠 수는 없다고 말했는데 그게 지금 이 순간 같음",12071,111
그 찐따 같던 화이트맞냐.. 다시 찐따 시절로 돌아가자,8564,122
이수일행은 켓타워는 왜쳐들어간거지 야마가 기침한번하면 뒤질거같은데,7606,79
"근데 동해가 확실히 좋은 검인가보네. 이번화에 나온 금발 누나도 그랬고, 심지어 화이트도 좋은 검이라고 할정도니까",6566,69
"하츠는 무슨생각인지 모르겠음
하츠는 선별인원이고 상대는 하이랭커 사단장인데 아무것도 못하는게 당연하지 않나
원래 앞에 서있지도 못할만큼 실력차가 엄청난데 너무 의욕만 앞서는거 같음",4815,109
근데 하츠는 A급 선별인원한테도 밀리는게 정상 아니냐 ㅋㅋㅋㅋㅋㅋ 신의탑 설정상 적이 랭커라는 시점에서 밤 동료들이 머리 좀 굴린다고 어떻게 해볼 수 있는게 아님,4702,68
"근데 하츠나 이수등등 다른애들도 선별인원중에선 개쎈거임
밤파티 들어가서 랭커만 만나니깐 약해보이는거",3340,116
4군단 새로운 사단장들 화이트본따서 공방에서 만든녀석인듯 검은녀석이 본체고,3180,65
아니 예측글 떡밥 이런게 베댓이 되야지 그림들이 한주도 아니고 계속 배댓 되면 어쩌자는거..,1894,296
50위권이라는 얘기가 나온적은 없습니다,1531,82
차가 50위권 하이랭커라는건 대체 어디서 나온말임??,1413,55
"와 그럼 야마가 이번 감옥 그냥 안열겠다고했으면
야스라챠는 영원히 켓타워에 갇히는거였네",98,3
"아무래도 밤이 나아가야 곳에 맵보스 몬스터로 하진성이 있지 않을까 싶다, 야마 앞에 나타난 야스라차처럼!

처음부터 그들은 밤이 하진성을 구할 기회를 주지 않을 것 같음.

하진성이 칼라반에게 치명타를 날렸던 기술을 마지막으로 밤에게 전수하며 밤의 손에 하진성은 목숨을 거둘 듯.

관리자가 관리하는 게임이라는 룰에 모두를 가둬 게임을 포기할 수도 없을 것 같은 추측....?",111,27
장기휴재만 피해주시고 단기휴재는 종종 가지세요 건강을 위해서 완결까지 몇년이 걸리든 꾸준히 애독합니다 열강도 20년 넘게 보고 있는데 그까이꺼 몇년 쯤이야,54,3
