comment,likes,dislikes
걍 여주 바꾸자. 훨 이쁘고 성격 좋다,9608,344
"저 방송부 친구 ㅈㄴ이쁘다.

마루야. 저놈 축구로 조지고, 니꺼해라ㅋㅋㅋㅋ",6723,82
화요일 웹툰중에 제일 늦으셨네요;; 별점 10점 드립니다,3416,42
"소꿉친구랑 안 이어지는거는 국룰임 ㅋㅋㅋㅋ
그러니까 제발 방송부 엔딩",2872,56
"이석훈 옆에 있는 학생의 져지를 보니 as로마 져지이네요. 이석훈은 프란체스코 토티랑 연관이 있어보입니다.
토티=로마의 왕자, 하지만 토티는 선수시절 더티플레이로 유명했고 매너 역시 정말 최악이였어서 레드카드를 많이 수집한 양면성이 있는 선수였죠. 또 성골출신인점과 헤어스타일도 토티와 비슷합니다. (나도 베댓해보고 싶어요...)",1333,12
"아...방송부 너무 예쁨..미쳤어 그냥
드라마 만들면 신예은 각이네",1071,29
"사람이 어찌 저리 과일처럼 상큼하노,,",814,19
석훈이 쳐발릴거 생각하니 벌써부터 카타르시스가 주르륵,536,1
"마루가 자기 포지션에 대해 고민하는 장면이 왜 배댓에 없는거지?
나름 중요한 장면인데 기자 외모에 묻혔네..
연계를 잘하지만 결정력은 ㅈ망이라 자연스럽게 믿필에 뛰는거겠지만.. 어렸을때 티비에서 봤던 축구선수한테 반해서 비슷한 방식으로 성장한게 아닐까 싶기도하고..
이게 맞다면 모티브가 되는 우상은 구자철 아님 오리지널 캐릭터일듯",355,3
여자애 폭행에 관한 배뎃이 없네... 실력=권력이라는걸 이용해서 남을 상처입히고 그걸 은폐하는 스포츠계 인물들은 영원히 퇴출되면 좋겠습니다 작가님이 재밌을땐 재밌게 이야기 풀어주시고 이런 어두운 면도 잘 이야기해주셔서 감사하네요,345,4
"빌드업 기다리기 너무 힘들다.
작가 가둬서 밥만멕이고 그림 그리게 하고싶다.",326,5
나 네이버웹툰 정말 몇년동안 거의 다 보면서 다음화를 빨리 달라고 댓글은 처음 달아본다,244,5
학교 배경 해성중이네요ㅎㅎㅎ대박이다 모교가 나오다니..,86,7
베댓 답글에서 ntr 어쩌구 하는 거 진심 보기 싫다 고등학생들 연애인데 멀.. 걍 봐라..,80,2
