comment,likes,dislikes
원래 신의탑 진도 느리게 나가는거 니들도 알잖아 근본 안잃어버리고 언제까지 징징댈건데 오늘 분량 미쳤는데 인정하자 이제,6000,173
하진성이 말한 몸으로때우는 후배들 = 유리 자하드ㅋㅋㅋㅋㅋㅋㅋ,4677,34
분량도 분량인데 드디어 뭔가 정리되는 느낌임..,3149,79
시우 폼 미쵸따이,1911,71
분량 진짜 미쳤다... 다 보는데만 10분 넘게 걸렸네;;,1693,60
"""원피스""의 정체 vs 신의탑 ""모든 가주들 얼굴 공개"" 뭐가 더 빠를려나..",1589,39
와 오늘 368컷 타 웹툰 3화분량은 되네 ㄷㄷ,1207,34
"이쯤에서 알아보는 트로이메라이 입장
1.사위 제안 거절 당함
2.중매를 주선해주다니까 신부 후보들 자유가 침범된다고 거절
3.기껏 결혼 대회 열어줬더니 갑자기 자유를 걸고 한판승부하자고 깽판침
섣불리 죽일 수도 없고 전쟁준비로 바빠죽겠는데 ㅈㄴ 짜증날 듯 ㅋㅋㅋㅋ",1181,19
"책이 찢어져도 유지되는이유 추측

1.책이 아이템이아닌 신구 구현체, 비유하자면 카이저의 펜릴같은 느낌?
2. 책에 쓰는순간 마침표를 쓰거나 시전자의 신수 가용량이 바닥날때까지 무한유지
3. 책이 아닌 펜이 능력을 발현시키는 진짜 아이템, 어디다 쓰는지는 상관x
4. 13월이 진짜가 아니라서 딜찍누 실패

또 뭐가있을라나..
그건그렇고 육탄전마저 하가문 최고의 인재인 유리가 밀릴정도면 마스체니급 할머니가 아닌가...ㅋㅋㅋㅋㅋ",809,23
하진성 왤케 젊어짐? 원래 중년 아재 삘 아니었나,653,13
"등대로 먼저 살펴보자고 해서 네! 이래 대답해놓고 유리 보자마자 유리누나! 가봐야겠어요!
지금은 안돼! 이래도 개무시하고 냅다 뛰어가는 것도 그렇고...
하진성의 전언도 그 누구에게도 절대로 붙잡히지 마라고 했고 비장하게 알겠다고 대답해놓고..

뭐 이젠 꽤 강하니까 상황 판단 후 알아서 잘 결정 해보도록 하겠습니다. 라는 뚜렷한 자기 주관이라도 보여주던가...

우유부단함과 감정적인 모습은 능력이 폭풍 성장한 것이랑은 상반되게 여전히 그대로라 아쉬움...",612,18
"혁명이라는 집단 소속에 악령, 라헬도 있는 거 보면 시험의 층(2층) 들어오기 전부터 둘은 한 팀이었고 관리자 헤돈이 저 조직을 총괄할 듯. 거기에 몇몇 관리자들도 도와주는 식으로 해서 탑 시스템 붕괴가 궁극적 목표",557,9
"높게 나는 검, 낮게 나는 검

진짜 20대초반 집가는 퇴근길에 처음봤던 신의탑 낭만 어디갔냐...",574,36
"근데 로포비아 출신 공주가 fug 슬레이어랑 결혼하기싫다고 로포비아 가주랑 승부하겠다는게 말이되나
심지어 밤이랑 결혼은 가주가 명령한건데",552,31
티아라 본체 책이아니라 펜일듯,407,10
