comment,likes,dislikes
아무리 생각해도 슬레이어들의 역할은 자기들의 기술은 밤에게 알려주는 것 같아요,31202,210
신의탑 멘탈 원탑은 화이트네;;; 자하드도 아를렌한테 차인정도로 멘탈 나갔는데 수백억 수천억명중 100위안에 들었던 화이트가 선별위원한테 쳐맞았고도 혀깨물고 자살안한거면 ㄹㅇ대단하다 괜히 중간중간 판단능력이 좋았던게 이해가되네,29650,253
화이트 칼라반 싸움수준 ㄹㅇ실화냐... 진짜 세계관 최강자 들의 싸움이다....,20569,982
밤의 청노는 진짜 끊임없이 진화하네 역시 참스승 러브,18909,183
진짜 밤은 스승의 날때 고생할듯,14759,136
켈헬람 진짜 구경만 하는건가,11727,147
칼라반의 기술을 검 한번으로 막아버린 화이트 그는 대체 어디까지 떡상할 것인가..,11272,147
와 진짜 화이트 코인 떡락의 기미가 보이지가 않네 ㄷㄷ,10176,148
오른팔 버린다면서 폭발로 만든다는게 말이 됨??,9148,2036
"이번에피 끝나면 왕난이랑 대립 확정이네
밤: 한명 살리려고 모두를 위험에 끌고감+영혼희생
왕난:모두를 살리는 힘을 얻기위해 한명 죽이기로함",7131,425
여기는 무슨 나비 컬렉션보는 웹툰이여??,4610,497
밤 입 벌리고 느끼는건 신의탑 역사상 최악의 작화였다,800,92
"작가님 피셜 칼라반은 하진성의 카운터인 존재라고 했고
하진성이 자신의 입으로 몸보단 기술이라 했고, 또한 무투가 특성상 근접전 난투에선 하진성이 단단한 라반이한테 개떡발릴수 밖에 없음 칼라반이 극딜러인 화이트의 공격에도 별로 피해를 입지 않은 것으로만 봐도 개탱탱한것은 자명해보임. 화이트는 검의 긴 리치로 원거리에서 라반이한테 짤짤이주면서 압도하는데 하진성은 멀리서 공격할 수가 없음. 초월기로 칼라반 배때지에 빵꾸뚫어 놓은 것도 대단한 거고,
빈사상태에서 역흐름제어로 맛체랑 라반이 묶어둔 것도 하진성임 블로그에 역흐름제어는 자신보다 신수 조작 능력이 낮은 자들에게만 시전할 수 있음. 이러한 것으로보아 하진성이 화이트보다 약하다는 것은 억측임. 물론 화이트 초월기가 나와야지 누가 더 쎈지 알 수 있을듯. 하진성도 고대시대에 100위 이내의 극상위 하이랭커였음.
쨋든 담주에 갈아입을 팬티나 준비해야겄다.ᕙ(•̀‸•́‶)ᕗ",189,6
"신의탑 광팬입니다. 비난 아닌 비판으로 봐주세요

문제점: 획일화된/반복적인 전투씬

하이랭커들의 싸움에서 광역기 스킬만 보임. 솔직히 스킬 이름만 다르지 다 같은 광역기 같음. 심지어 스킬들이 너무 큰 나머지 난잡하다고 느껴져 전투씬에 몰입이 떨어진다. 반복적인 스킬 레파토리로 인해 전투씬이 지루해진 상황. 전투씬이 기대되는 이유 중 하나는 얼마나 성장했는지 알고 싶기 때문이다. 그런데 더 강해져서 쓰는 기술도 역시 광역기다. 성장 전후의 차이가 안느껴지기에 지루할 수 밖에 없다고 생각한다. 화이트의 경우 강력한 기술인 절명기를 쓰는데 이름만 멋있지 전에 쓰던 기술과의 차이점을 모르겠다.",194,31
화이트가 하진성보다 센게 문제될꺼라도 있음? 애초에 상성부터가 하진성이 제앞에서 하가문이란장점은 사라집니다. 했던 단단한 하가문보다 더 단단한 칼라반이라 맞지도않고 하진성이 하가문중에서 테크니션이었던거지 아리에는 아예 가문자체가 검술로 테크니션이고 화이트는 그중에서 5명합치고 영혼의힘까지 주술로 흡수해서 전성기힘찾았대잖아. 상성도 밀릴게 없는게 아리에는 공격의끝판이야 그리고 애초에 군단장한테 잡힐정도면 과거에 자하드공주까지 나서서 토벌안했겠지. 하진성이 약한게 아니라 칼라반이 군단장치고 선방하고있는거아닌가? 애초에 퍼그무력의 상징이란말이 괜히붙었나 하진성보다 세니까 붙었겠지. 아리에vs하가문만해도 아리에가 높고 개인도 아니고 5명합치고 영혼들도 오지게 흡수한 화이트vs 하진성 개인인데 화이트가 더 센게 문제라도됨?,86,3
