comment,likes,dislikes
"매주 두개나오는거에 길들여져버려서
오늘 아쉬운 흑우들 개추",6252,66
유리누님... 넘모 반갑,4467,32
벌써부터 두개가 그립읍니다...,2552,43
"저 드라비라는 애는 다른 애들처럼 단순히 버림패로 데려온게 아니라 하진성이 신경써서 준비해온 애 같음

나름 심계도 깊은데다가 밤을 믿는거나 유리가 올것도 짐작하고 있는 눈치 보면 하진성이 준비 좀 했나보네",2115,27
언니 왔다 이것들아,1996,19
오늘도 2연참 기대한 사람 개추,2013,63
정 실 행 동,1872,36
머리에 피도 안 마른 꼬맹이 동생들이 신부 타령하는데 진짜 신부가 와서 동생들 기강 잡아야지,1785,14
1분만 더 대치했어도 뱀 죽었겠넼ㅋㅋㅋ 운도 좋다,1553,8
"휴재 후 이전에 언급되었던 문제점들이 너무나도 많이 개선된 게 보입니다
덕분에 흥미진진하게 만화 잘 보고 있어요
감사합니다 작가님 무리하시지 말고 건강하게 연재해 주세요",1081,30
근데 랭커들 싸움보다 선별인원 싸움보니까 ㅈㄴ 커엽네ㅋㅋㅋㅋㅋㅋㅋㅋ,1055,11
상상이네요 라고 써있는데 뇌가 대충적당히 자동완성기능써서 상상이상이네요 로 읽음,637,14
그림체 진짜 많이 바뀐듯,470,10
작가님이 제 버릇을 잘못 들이셔서 오늘도 두 개 기대해버림,423,20
빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 빨리 다음화 나 현기증 나 빨리 다음화 빨리 다음화,345,36
