comment,likes,dislikes
엑스트라들 가차없이 죽이는게 보기 좋음. 확실히 전개가 빨라진게 보임,7003,77
근데 렌은 뭔 자신감이야ㅋㅋㅋㅋ,5002,46
"다들 잊으셨을까봐 말하는데 밤 최근에 이긴 적이 무려 화이트입니다.
화이트 힘돌아오고 칼라반이랑 잠깐 싸워서 우세한 모습 보여줬고 화이트 이겼다는건 밤 지금 랭킹300위 이내 하이랭커 급 전투력.
지금 밤한테 렌은 진심으로 싸우면 한주먹거리도 안돼야 정상",3859,62
"여러분은 지금 2개인걸 알아버린 흑우들이
질러버리는걸 보고 계십니다.

네. 저요",2491,56
와 한눈에 다들어온다.... 감사합니다..,1672,30
"비선별인원
펜타미넘 현 랭킹1위로 자하드궁을 다 박살내고 자하드 앞까지 갔다가 무슨이유로 돌아감
엔류 관리자 살해
우렉 선별인원 당시 아리에 가주와 싸워 무승부 아리에 가주가 감탄해서 현 월화익송의 아지트인 층을 넘겨줌
근데 왜 밤은 저렇게 평가하냐?? ㅋㅋㅋ 솔직하게 이놈도 괴물아닐까? 하면서 쫄아야 정상아님?",1508,43
"갑자기 든 생각인데 과거 자하드랑 10가주, 아를렌, v 탑 올라가는 에피소드 만들어주면 좋겠다는 생각 드네",1294,27
리랼 예쁜 라헬이었네,1240,18
"'로라'는 3부 139화에서 로 포비아 가주가 밤에게 납치하라고 했던 노란 머리의 여자이며, 리랼 자하드 공주의 어머니입니다.",930,22
"진짜 청노급, 어쩌면 그 이상으로 잘써먹네 역흐름제어 ㅋㅋㅋㅋ
그 광고 많이찍는 시험관한테도 고마워 해야될듯 ㅋㅋㅋ",839,17
이게 신의탑이지. 콰르르르릉 없어서 너무좋다,745,28
"신부 후보들 도망치는 자세도 자연스럽고, 선별인원,랭커,하이랭커의 차이도 보이고 휴재 전에 보이면 안 좋던 부분들이 개선된게 보이는게 좋습니다.",624,28
밤 걱정 하나도 안된다. 힘개방만 해도 가주빼고 거의 다 몰살할수 있을텐데. 쟤 바리랑 가시랑 용이랑 다 개방만 시켜도 최소 하이랭커 상위권일텐데,588,22
진짜 밥풀 저러는데 밤 하나도 걱정이 안되네 ㅋㅋㅋㅋ,568,21
와 슬레이아 후보...! 할때 밤 옆태 개좋 ㅠ 2부 작화느낌난다,347,24
