comment,likes,dislikes
도대체 어떻게 싸우고 있는지 모르겠음. 주먹을 어떻게 휘두르는지도 모르겠고 그냥 다 모르겠음,18759,686
나만 전투신 못알아보냐,14123,576
"분량이 짧은게 아니라...
내용이 정말 뭐 없어요.
""야스라챠가 전신의태하여 야마는 완전한 공포를 느낌""
이게 다 잖아요...",11877,777
"다좋은데 확실히 전투씬은 개선이 필요해보이긴 하는것같다
개인적으로 카이저랑 싸울때쯤이 전투씬 리즈시절이었던것같음",9200,350
"스크롤 길이를 떠나서 전개가..

야스라차: 이게 전신 의태다
야마: 크아악

이게 전부같은데..",7325,429
여태 본 신의 탑 중에 제일 볼께 없는 화,6646,443
"신의탑의 문제점 TOP5

1. 전투신이 너무 난잡하다

2.주인공밤의 기술이 너무많다

3.스케일이 너무커져서 감당하기힘들다

4.그림체가 공방전때랑 비교해서 너무보기안좋다

5.밤을 사시눈만들었다",6077,957
야스라챠 완전의태 너무 다른캐릭인데?,4308,197
선동이 아니라 팩트임 전투씬 퀄이 너무 낮아졌는데,4231,315
"화이트도 밤 그닥 죽이고싶어하진 않는거같고
야스라챠도 뭔가 야마 죽이고싶진않은거같음",3583,130
"아무리 팬이지만 비판은 하자 전투신, 중요한 전쟁중 게임진행, 일회용캐릭터 컷낭비.. 너무 사실이다 다들 그렇게 생각하는데 팬들이 쉴드 너무 치는것도 사실이고",3075,211
솔직히 요즘 신의탑은 기대가 안된다 예전만큼 일요일밤이 기다려지지않고 그냥 어 일요일밤이네 신위탑 나왔겠네 봐야지임,2789,569
2부때는 신수 공격이 물결 같아서 좋아 보였는데 지금은 그냥 신수 공격이 색만 다르지 다 똑같음ㅋㅋ,2224,159
조용히보다가 이건좀 아닌거같아서 댓글 남기는데 첫번째로 전투씬이 너무 난잡하다 요즘 전투씬은 그냥 불꽃같은 효과에 색깔놀이가 전부인 느낌이다. 그리고 전투중에 맥이 너무 끊긴다 저번화에서 밤과 화이트의 전투씬을 보며 이번화에선 화이트가 어떤 방식으로 밤을 키워(?)나갈지 그리고 밤속에 다양한 종류의 힘들을 화이트와의 싸움을 통해서 정리할것같은 느낌이였는데 막상 들어오니 갑자기 야마와 야스라채가 싸우고 있는게 나오니 당황스럽기도 하고 맥이 끊겨 흥미가 떨어진다,2148,277
별점 낮게주면 급식이라는 무지성 논리부터 더럽다 이정도로 알아볼수 없는 전투신에 어떻게 높은 평점을 주는데,2013,318
