comment,likes,dislikes
"아니 솔직히 이 정도면 휴재 전에 비해서 훨씬 나은 거 아닌가? 기술 쓰는 것도 예전에 비해서 무슨 기술을 어떻게 쓰는지도 더 자세히 보이고, 작가님도 쉬시는 동안 독자들이 짚은 문제점을 어떻게 개선하시려고 노력한 게 보이는데? 저번 미리보기에서도 중요하지 않은 엑스트라는 빨리빨리 퇴장시키고 액션 씬도 예전에 비하면 훨씬 나아짐; 그리고 전개도 진짜 1도 진행 안 되고 게임만 했던 휴재 전에 비함 많이 진보된 거라고 봄, 애초에 신의 탑 자체가 최종적으로는 탑 135층을 목표로 하면서, 자하드나 10가주 등이랑 싸우는 거라 연재가 길어질 수밖에 없는데 그렇게 빨리빨리 휙휙 진행되는 걸 원하면 안 보는 게 낫지",3713,215
"작가님 이러면 매주 기대하게됩니다.
다음주에 한개만 올라올까 너무 두려워요..",2513,78
그래도 렌 착하네 무슨짓했냐고 물어보는데 1타강사급으로 설명해주고,1894,14
2화 나오는건 좋은데 벌써 1화 끝나버렸네..,1541,44
언제까지 불편해 하실거에요?,1392,119
설명 안 하고 전투만 하면 '한줄요약:콰아아앙 ' 이따구로 댓글다니까 그렇지. 언제는 의성어로만 채운다고 뭐라 하더니 이제는 너무 설명이 많아서 문제냐?,1060,68
"댓글에 예전기술은 왜안쓰냐 질질 끈다는사람들은 앞전 내용들은 보고는 오기한건가 싶은데
밤이 이번에 테스트해보고싶다고 뻔히 말까지했는데 기술이 답답하네 전개가느리네
다음화보면 시원시원하고 원하는것처럼 되니까 좀 보셈",675,38
미리보기 8개는 또 처음보네 ㅋㅋㅋㅋㅋ 작가님 스토리 진행도 중요하지만 손목 부담 안가는선에서만 해주세요,524,18
밤한테 샹크스 드립 치고싶은데 어차피 복구될거 아니까 못하겠네,503,13
밤은 전력 발휘 안하는 습관 안고치면 언제한번 큰코 다치긴 할거같음,431,8
렌이 너무 친절하게 설명을 해주네요 ㅎㅎ,305,11
선발댄데요...결국 휴재전과 똑같아집니다 ㅋㅋㅋ 앞으로는 안가고 옆으로만 늘리는 연재방식 ㅜㅜ 슬프네요,357,65
개재밌노,252,40
"아니 온갖 영약에 기연 다 처먹고도 아직도 잔바리들이랑 수싸움하는게 답답해서 별점을 못주겠음
솔까 주인공이 어느정도 성장을 했으면 시원하게 부수는 맛도 보여줘야지 아무리 강해져도 기필코 고구마 한입을 처먹이니 속이 터지겠네 ㅋㅋ 왜 한주먹거리들이랑 푸닥거리를 하냐고 갈길도 먼데",51,5
