comment,likes,dislikes
"저번에 화이트 말이 팩트지 솔직히 밤 능력이나 가진 힘은 신의탑 애독자들도 뭐가 뭔지 헷갈릴 정도임 에피소드가 새로 진행될 때마다 새로운 힘을 얻어가다 보니 밤의 예전 기술은 항상 묻혀가게 됨
예시를 들어보면 화접공파술 쓰다가 제로라는 기술을 쓰고 오브 방어모드 쓰다가 갑자기 의태로 칼이랑 방패 만들어 쓰고 숨겨진 층에서 쓰던 검은 신수는 이제 쓰지도 않고 유한성이 가르쳐준 고리라는 원리의 신수만 사용함...
밤은 카피나 역흐름제어 같은 사기 기술도 써야하고 가시 조각도 모으면서 앞으로 계속 성장해나가야 되는 상황이니 지금은 작품 내외 어느 방면에서든 기술이나 능력의 확립이 꼭 필요한 시점임",16199,201
"사실상 화이트도 밤을 차기 슬레이어로 인정한거에요
왕관쓰라잖음

ㄹㅇ 화이트는 처음엔 막 밤을
자기자리 뺏으려고하는 재수없는놈으로만 봤었는데
계속같이지내다보니 밤의 잠재력을 알아본것같음

ㄹㅇ 성장시켜서 신만들려는게 맞는거같음

타락해서 왕관을 쓰라는건 슬레이어가되란뜻이잖아

애초에 이런 간첩같은짓을 하는이유도 너는 신이될만한그릇이니
다른 미물들과 어울리지말고 나와같은신이되어라
뭐 이런것같은데",10750,245
쿤 한컷 나왔는데 개웃기네 ㅋㅋㅋㅋㅋㅋ다 읽었대 ㅋㅋㅋ,9639,98
주술 왜 해제됐는지 모르는 사람 있음?? 웹툰 안보나?? 밤이 가장 강한 주술의 의해 만들어졌으니까 하위 주술들은 씹는거임 ㅋㅋㅋㅋㅋㅋ 전에 나왔는데,7302,260
"작가님께서 휴재 연장하시면서 블로그에 ""10화 이상의 세이브 원고를 준비해 준 상태였다."" 라고 말씀하셨습니다. 즉, 손목이 가장 안 좋은 상태일 때 그린 분량일 가능성이 높습니다.

그리고 세이브 원고는 앞으로 최소 10화 이상 남았을거라, 피드백을 가장 빨리 반영 해주신다고 해도 그 이후가 될겁니다.

손목이 가장 아플때도, 기다리는 독자들 생각해서 세이브 분량 조금씩이라도 만들어 주신건데 조금 불편해도 참고 봅시다.
한 두개도 아니고 웹툰 내용에 관한 댓글보다 작화에 대한 논쟁이 많아서야 되겠습니까...

작가님이 대리 맡기기는 분도 아니고, 손목이 회복되면서 작화도 예전 모습 찾아갈 것이라고 생각합니다. 1주일에 7일을 신의탑 그리시던 분인데, 예전만큼의 작화가 안나와서 가장 속상하신 분은 작가님 아니겠습니까.. 믿고 기다려줍시다 여러분.",6119,143
"화이트가 표현력이 부족한탓인지 욕망탓인지는몰라도

ㄹㅇ 밤을 인정한건 맞는듯

저번화에서 화이트가 그랬잖아요
타락한 왕관을 쓰라고 그래서 신이되라고

타락한왕관과 신이 뭐에요? 슬레이어잖아

근데 말로는자꾸 벤다니 흡수한다니
애가 말이 내면이랑 밖이랑 달라요;;;

실전을통해 영혼다루는법 알려주면서
슬레이어만들려는게 맞는듯",3803,103
"밤 진짜 확실히 3부부터 성격 변하긴 한듯
화이트한테 진짜 미친 거 아냐? 이러는 거 개웃김",3320,38
코뿔소어디갔냐 나만모르는 몰카냐?,2909,65
"근데 ㄹㅇ 화이트 마음속 얘기랑

밖으로 내뱉는말이랑 다른거 아세요?

속으로는 니가 타락해 왕관을쓰는모습을 보고싶다면서

밖으론 널베어버리겠다 두명이든상관없다?

뭔가 이상하지않아요? 츤데레아님?",2099,97
"밤 이쁘게좀 그려주세요...

저번 밤눈사시도 그렇고... 진짜 맘아픔",2464,595
중간에 언니라고 하는거ㅋㅋㄱㅋ 밤 여자로 착각한거아니야?ㅋㅋㅋㅋ,1878,85
"근데 님들 까놓고말해서 필드에온시점에서

칼한번만 휘둘러도 저둘 최소한 중상이에요

화이트가 살살하는그림 나오는건 100%고

여러 베댓들이 말햇듯이
속마음이랑 내뱉는말이랑 완전다른걸로보아

ㄹㅇ 슬레이어로 키우는게맞는듯",1818,82
아리아 사단장 겁나 상큼하네,1545,10
아게로.. 조그마하게 한 컷 나와줘서 고마워,1514,23
나만 밤 얼굴이 계속 밥처럼 보이냐,1474,233
