comment,likes,dislikes
야마는 볼수록 슬레이어 가오 엄청 떨어뜨리는 캐릭인듯.... 전성기시절 화이트님 그립습니다...,5915,76
"신의탑 3대 미스터리...

3. 헤돈은 가장 베테랑 관리자인데 유리가 반말 찍찍하는지...
2. 왕난이는 안나오는지
1. 슬레이어로 가주를 어떻게 잡으려했는지",5109,98
"근데 야마 첨나왔을땐 진짜 슬레이어위엄 ㅈㄴ있었는데
지금은 걍 어줍잖은 하이랭커1임
과거의 포스 다시 찾았으면...",4206,37
이제는 하다하다 하이랭커 전투에 총을 쏴대는구나...,1964,235
"그러면 로바돈은 기린의 배신을 알아차린건가?
그리고 그걸 막을려고 하는거고",1607,38
로포비아 가주가 자리비웠을때 전시 가주의공석을 메꿀수있는 두명이 기린이랑 로바돈인가보네,1294,14
로바돈이랑 기린은 확실히 ㅈㄴ멋있네 디자인 잘뽑힘 100위권 하이랭커중에서도 강한 축일듯,1069,27
일단 신의탑은 존재만 알던 베일에 쌓여있던 인물들이 압도적인 느낌과 매력 서사 이런게 나오면서 등장하는게 큰 재미였는데 뒤로갈수록 그냥 그 캐릭터들을 버리는 느낌 그러면서 또 등장은 잘시키긴하는데 그 과정에서 이입한 캐릭터는 또 힘을 못쓰고 갑자기 등장한놈은 임팩트에 비해 너무 쌔고 또 약해지고 또 후반가면 어짜피 버려질거라는 생각에 피로감이 좀 있긴함 솔직히 말해서,815,23
"작가님 전투연출에서 긴장감,압박감 이런게 하나도 느껴지지 않아요
목숨이 오가는 전투중에 갑자기 개그,허당끼,유치한 말투,유행어 이런걸 계~속 쓰니까
무슨 퉁퉁이 도망다니는 진구 보는것 보다도 긴장감이 떨어집니다...",777,46
"왕왕을 최후까지 충신인 자로 생각한다는 것, 그리고 야마(반 로포비아)와 대면한 것을 고려하면 로바돈 역시 트메 반대파인듯하고 기린(레볼루션) 역시 밤을 가주 몰래 빼돌리는 트메 반대파인듯하다. 가문의 2인자 둘 다 적대로 돌아섰는데 트메는 죽을까?",641,17
"유한성, 유리, 카라카, 야마, 하진성 다 냉혈한이였거나 그런 이미지였는데 밤만나도 캐릭터성이 야생성 전부 사라지고 그냥 소년성만 생김.
그나마 유일하게 캐릭터성 남아있는게 화이트정도
이젠 야마 나와도 처음 등장때의 그 긴장감이나 위엄이 전혀 없음",590,28
야마 대화 수준이.... 진짜 처참하다... 갓 졸업한 고딩이 대사 쓰니?,494,28
대사는 진짜 누가 쓰는걸까.. 등장인물들 캐릭터성은 내다버린지 오래고 누구 입에서 나와도 항상 똑같은 개그성 가벼운 말투는 언제쯤 고쳐지냐?,465,15
걍 이제 뭔 내용인지도 모르고 쿠키굽는 중,414,37
"작가님 완결 할 생각 없죠? 10년은 우려 먹을 생각 하시는 것 같아요
자하드,가주들한테 핵 쏘고 완결하시죠",424,70
