comment,likes,dislikes
허영재 계속 발가락 빨고싶다는거 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,18602,16
최유나 내가 가지기는 싫고 남 주기는 아쉬운 그런 마인드임?ㅋㅋㅋ,11875,289
"""모자는 진짜 안주고 가냐""
끄덕끄덕
ㅋㅋㅋㅋㅋㅋㅋㅋ 도랏냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",8535,22
"심건우가 후배가 연애 하겠다는데 힘좀 실어주자 할때 진짜
멋지네",4763,10
저거 오토바이도 ㅈ나 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4375,11
"오늘의 킬포

1. 허영재 ""발바닥 핥고 싶어""
2. 신동욱의 마루사랑
3. 최유나 미모 리즈갱신
4. 자만추좌의 희생",2689,16
심건우 이번 에피에서 진국 인증 제대로 들어갔다,1866,6
"가끔보면 개그물 같음 ㅋㅋㅋㅋㅋ 예전에 ""오히려 좋아"", 이번에 발가락, 모자는 진짜 안주고 가냐-끄덕끄덕 ㅋㅋㅋ 캐웃겨",1084,3
라자 나잉골란 -> 나인걸 맞죠..?,1082,9
"승호도 알고 있겠지만 그걸 잘 이용해서 유나랑 사귈거 같은데..
결국은 나중에 헤어지겠지만 승호랑 한번 사귈듯",778,7
건우좌가 저렇게 관대하신 이유는 자기는 별 말 없었기 때문이지 ㅋㅋ,742,11
자만추좌 ㅋㅋㅋㅋㅋ 29화에서 마루 시합가는거 도와준사람이에요 ㅋㅋㅋㅋ,663,11
축구에 h2갬성이라.. 감사합니다,556,19
진짜 만신 그자체다 이대로 수요유ㅔㅂ툰 탑까지 달리자,94,3
아니 유나가 뭘 했다고 몇 사람들 저렇게 부들부들거리냐... 뭣도 안 했는데 유나 버리니 뭐니 왈가왈부야 ㅠㅠㅠ,57,8
