comment,likes,dislikes
"근데 가만히 생각해보면 화이트를 혼자토벌한 자하드의공주는
얼마나 괴물인거냐?

그 화이트를 벌레취급한 구스트앙은 얼마나 강한것이며

그 구스트앙을 호구취급한 우렉은 또 얼마나강한것이냐?
자하드는 또뭐고.... 아이고 갈길이멀다 밤아",41084,503
칼라반 사망플래그 씨게 나왔네ㅋㅋ,24667,252
화이트데이는 오늘로 하죠 작가님,21527,191
“스물다섯번째 밤”의 “스물다섯명의 스승들”ㅋㅋㅋ,20538,202
오늘부로 화이트데이는 4/20일이다,12548,247
지금까지 나온 군단장 몇명없지만 칼라반이 가장 군단장 같은 모습이다,10909,128
아니 그래도 저렇게 큰 지네가 꿈틀거리면서 다가가는데 케이지가 모를수가 있나 ㅋㅋㅋ 엘파시온 아저씨 과거회상에 나오니까 더 아련하고 슬프네,10694,165
쿤이랑 화이트랑 베프 먹었네,8480,161
율커 에반켈한테 개길때 안뒤진게 다행이네 ㅋㅋㅋㅋ,7637,119
아니 근데 저 군단장 포비더 가문 아니었냐. 쟤 뭔가 구스트앙 명령 받고 온거 같은데,7589,152
아무리봐도 포비더 라이볼릭 쿤 쟤 명령이랍시고 자하드군 전력 줄이러 간거 같은데,7291,139
쿤 ㅋㅋㅋㅋ 화이트한테 언제부터 그렇게 신사가 됬녴ㅋㅋㅋ,7231,193
"뭔가 4군 군함이 폭발할 때 켈헬람이 막을 거 같음
켈헬람은 운명을 보는 능력이 있다고 했음 아마 켈헬람은 군함이 폭발하는 운명을 보고 케이지에 올 거 같음
아마도 켈헬람은 순간 이동을 시키는 능력이 있으니
군함이 폭발하려는 순간 길잡이랑 같이 야마를 순간 이동을 시킨 기술을 시전할 거 같음",5525,263
중간에 주먹 풀림ㅋㅋㅋㅋㅋ,4616,142
"근데 왜 칼라반 사망플래그라고 하는건지 이해가 안된다.
칼라반은 작가님이 맨 처음등장시킨 군단장이면서 하진성을
뚫을 정도의 실력도 있고 이번화에선 군단장다운 모습도 보여줬음
사망플래그라고 보기엔 캐릭터에 공들인 게 보이는데
자하드에 등돌리고 다른 길로 간다면 모를까 사망은 아닌거같다",1779,61
