comment,likes,dislikes
살인기가.. 해냈습니다,19401,62
"자꾸 엑스트라 회상에 시간 끈다고 뭐라고 하는데, 이건 야스라챠가 자기 부하들을 어떤식으로 거느리는지를 보여주기 위한 떡밥임.
둘 다 압도적인 힘을 지니고 있지만 야마랑 야스라차는 부하들을 거느리는 방법 자체가 아예 다름. 그렇다고 또 둠이 강제로 견족 만드는 것처럼 강제로 묘족으로 만들었냐 하면 그건 또 아님. 야스라차는 쓸만한 부하들의 욕망을 꿰뚫어보고, 그 욕망을 부추기는 방향으로 부하들을 포섭하는 지배자임.
이런 지배자의 성격차이가 야스라차 vs 야마의 구도에서 승패를 가르는 결정적인 역할을 하게 될 가능성이 높고, 아마 회상씬은 그를 위한 포석일 가능성이 높음.
그리고 좀 끌면 어떠냐 한 회차 분량이 다른 웹툰들 2.5배는 되어보이는구만ㅋㅋㅋㅋ",15396,269
"일단 화이트와 밤 대치상태에대해 경우의수를 말한다면 5가지가있음

1. 전투에서 결국 화이트가 밤을 이긴다
그리고 힘을흡수하려 칼을꽂는데 오히려 밤이 화이트를 흡수한다

2.똑같이 화이트가 이긴다.
그리고 힘을흡수하려고 칼을꽂는데 밤의
주술무효화능력때문에 분신과 흡수했던능력이 다풀려서
알벨다,비센테,애나 등등 형제들이 다시부활한다

3.싸우고있는도중 차,도원,카라카 셋중하나가 쥐를잡고
전투중인 밤에게 가세하여 화이트에게 맞선다

4.라크가 창을던져맞춰 화이트를 바깥으로 내쫒는다
(화이트는 칼라반주먹도 피할정도의 민첩성을보유해서 가능성희박)

5.사실 이모든건 밤을 성장시키기위한
알벨다 분신(앵앵이)와 화이트의 큰그림이었다.

힘으로 이기는선택지는 없음
밤은 기를써도 화이트한텐 쪽도못써서ㅎ

5번이 제일 유력하다봄",6394,294
"화이트가 밤 죽인다고 얻는게 뭐냐니 ㅋㅋㅋㅋㅋㅋㅋ 비선별인원의 영혼을 먹을수있는건데, 어떤 힘이 화이트한테 들어올줄알고? 불사의 주술을 얻은 10가주를 죽일수 있는 힘을 얻을수도있을테고, 밤한테있는 몇억의 영혼도 다시 가져올수있을텐데? 밤을 죽일만한 메리트는 충분히 넘치고도 남지 ㅋㅋㅋㅋㅋㅋㅋ",5547,61
"야스라챠 진짜 매력있는 캐릭터다.. 자기만의 가치관이 뚜렷하고 판단 기준도 분명하고 이성적임 다리로 걷는거 포기하고 의자에 앉아서 남들을 지배하길 선택한 사단장 존중한다고 말하면서 독백하는거 개좋음 ‘어리석지만 참으로 인간다운 선택이다’
맹수로서 무리랑 섞이지 않으려고하고 모든걸 지배하려고 한다기엔 왜 야마를 자꾸 봐주는지 궁금함 과거 나왔으면..",4244,60
"저번에 차가 50위권이라는 헛소리가 베댓갔었는데

차는 랭킹에없습니다

왜냐면 창세기때 봉인당했던랭커이기때문에 고대랭킹에는 존재할지몰라도 현재는없습니다

화이트,둠처럼 마찬가지로 영혼이나 이빨이 찢겨져나가 봉인되어 행방불명처리됐거나
켈할람처럼 퍼그나 특수한단체에서 은둔하고있던자들도
'블루홀'이라 칭해지며 랭킹에없습니다

50위는 어디서나온소린지 모르겠네요
요약 : 화이트,차,도원,둠,켈할람 은 현재랭킹에 속해있지않는 강자들이다",3778,108
"화이트의 현재 밝혀진 목적(확정x)

밤을 죽이는게아닌 밤을 단련시킴과동시에

자기와같은 나쁜놈이며 타락할놈이라고 말하며 그리만들려는듯

쓰레기는 원래 좋아하는놈일수록 자기와 비슷하게만들려함

요약은 화이트는 밤좋아한다",2980,107
레로로 나올때 반가웠던사람?,2557,27
"하츠:밤...정말 매번 고통스러웠겠구나 ...
밤: 나는 그냥 되는데용?",2079,19
아 근데 야스라챠가 탄 고양이 볼수록 귀엽네 ㅋㅋ,2090,42
"애초에 화이트는 너무 매력적인캐릭터임...

널린 빌런과는달리 너무나 스토리텔링과 생김새가 호감형인데다가 각이잡혀있음

흡수당하거나 죽을것같지않은

예로들면 헌터x헌터의 히소카느낌?

너무 매력적인캐릭터임 화이트",2176,144
"근데 화이트가 아무리 막나가도 밤 죽일 일은 없지요. 만약 그러면 구출된다는 가정 하에 하진성부터 시작해서 루슬렉까지 등판할 가능성이 있는데 죽일 생각은 애초에 없을 거 같아요. 화이트가 루슬렉과 밤과의 관계는 모르겠지만 풀파워가 하이랭커에 필적하는 가시 2개 보유 선별인원 슬레이어 후보를 해치면 무슨 일이 일어날지 생각하는 건 어렵지 않을듯. 게다가 화이트도 완전체되면서 은근 사고회로가 냉철하게 됐고

뭣보다 ""큰 힘을 얻고 타락하는 것을 보고 싶다""라고 했으니 큰 힘 얻고 타락하는 순간까진 코인 존버한다는 이야기.",1779,122
"번식을 하지 못하게 했다고...?
난 언제 길들여진거냐",1630,20
"화이트가 원하는건 단하나임
자기는 과거에 이러이러한짓을해가지고 이정도의 힘을얻었으니

밤도 자기처럼 대단히 성장할놈이니 나같이 그런짓을하라
선한척그만하고 지배하는자의 면모를 갖춰서 이왕관을 써라
뭐 이런것같은데

죽이는것에 초점을맞추는것이아닌 슬레이어에 걸맞는 후보를
키워내려는것같음

얘기하는거보니 죄책감이 없는것같지도않은데
신이될려면 같은 인간들이가진 마음을 버려라 이런거인듯

밤이 화이트에게 자신만의길을 보여주고 그걸납득시킨다면
화이트또한 바뀔가능성이 얼마든지있어요

화이트는지금 밤의재능이 범상치않은걸 알기때문에
자기와같은 슬레이어로 키워내려는겁니다",1710,110
"화이트.. 밤을 타락시킬려고 옆에서 계속 있다가
화이트가 오히려 정화 되지 않을까...?
아리에 혼 잡고 나서 가주가 될수 있지만
가주가 되는 길을 버리고 스스로 주술을 풀꺼 같은데...",1174,58
