comment,likes,dislikes
하 유리나 엔도르시 화련까지 있는데 눈에 차겠냐고ㅋㅋ,7252,43
"로 포 비아 가주는 감정, 특히 남의 사랑가지고 장난치는
것을 즐기는듯
왕왕, 야스라챠 그리고 이번에 뱀까지..
예전에 자기도 사랑을 했다가 거절당한 뒤로
열등감에 찌들어서 저러는듯...
예를들어 아를렌이라던가..",5723,41
이런 코믹st로 끝나는건 오랜만이라 좋은데?!?!?!,3641,102
저 뱀 밤이 흡수할듯 ㅋㅋ,3072,41
"트로이메라이가 저 뱀을 키워서 부리고 있는 다른동물들 스펙업 시킬수있도록 먹이는등 실험도 했었던것 같다.
116화에 나오는 만가닥 뱀을 잡아먹어 신령이 된 코발트 개구리? 이거도 저 뱀일부를 계속 먹고 스팩업한거아닌가싶고, 결국 저뱀도 모종의 이유로 밤의 일부가되서 밤의 스팩업을 도와줄듯",2095,19
"겟뱀도 진짜 불쌍하네 ㅠ 로라한테 이용당하고, 자기가 딸이라 믿었던 애한테 저런 소리까지 듣고... 결국은 밤한테 가버릴듯..",2017,18
로포비아 가문은 전부 실험실 쥐신세네,1482,8
그래서 가주가 직접 부리는 순간이동침방울쓰는 코발트인가 그 개구리 이름이 만가닥 뱀을 잡아먹은 어쩌고였구만,1222,15
트로이메라이는 사랑이라는 감정을 혐오하는듯 야스라챠로 실험하고 갯뱀으로 실험하고 자기 측근은 딱히 없고 자기가 부리는 동물들만 신용하는듯함 기억은 리바이어던에게 먹여버렸다는거 보면 v랑 아를렌의 기억은 지웠는데 찌거기처럼 사랑이라는 감정이 자꾸 자기를 괴롭히는거 같아서 자기 휘하의 동물이나 가문출신의.약한 애들에게 실험하는것 같음 로바돈이나 기린같은 고위 가문 출신중 한명이 배신하려는 것도 가주가 자기들도 실험체마냥 이용하고 버려버릴거같아서 배신하려는거같음,979,10
리랼 보조하러 온 애가 리랼 유치원때는 대단하지 않은 애였는데 어떻게 공주됐는지 모르겠다고 말한게 떡밥이었네,952,13
근데 마지막은 묘하게 옛날생각나게 만드는 마무리라 오히려 반가운데 호불호는 좀 갈릴듯 ㅋㅋㅋㅋㅋ,819,20
"리랄은 진짜 딸이고 시랄은 눈 색깔을 보니 뱀의 딸이네.. 분열한게 맞긴할테고..

근데 가주는 뱀을 조정할 수 없는건가? 왜 장난질을 친거지?",695,17
둘 중 한명이 가주딸이고 나머지 한명이 갯뱀딸인거 아님?,581,13
"아니 2부때도 이화한테 고자소리 듣는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
3부에서도 시랼한테 듣나요 ㅠㅜ 우리 밤.. 고자라니..",565,21
중전마마는 이미 따로 있는데 어디 무수리들이 경쟁하고 있다냐ㅡㅡ,520,16
