comment,likes,dislikes
찰리 상황판단 보니까 엘리트코스 밟을만 하네 ㅋㅋㅋ,39701,82
신의탑 엔드게임 찍네 ㅋㅋㅋ,27343,155
슬레이어가 FUG의 신이라고 불릴만한 전력인지는 잘 모르겠네,20778,364
"11살때부터 신의탑을 봤는데 이제 21살이 되어 군대에 가네요
거의 인생의 반을 함께 한 웹툰이네요
내일 논산으로 입대합니다
가기 전에 쿠키 구워 볼 수 있어서 그나마 다행이네요
몸 건강히 잘 갔다 오겠습니다
자대 가서도 신의탑 꾸준히 볼게요",18969,724
"엘파시온 부군단장은 기껏 자랑하는게 방어력이냐?

너때문에 지옥열차편때 놀림당했었는데

앞으로 계속 내 별명은 엘파시온이겠구나",12752,218
"제발 이번엔 관리자 눈치때문에 고대종 풀해방 못한다는 언급 안나오길..

에반켈헬람 둘이서 고대장 풀해방으로 날뛰는 거 보고싶어요..",11003,200
"밤에게 퍼그 슬레이어 4명이 손을거들어주네요
이건 역대급입니다

루슬렉제외하고는 퍼그슬레이어들은모두 독자적세력들인데
그세력들을 어떤이유에서이던 끌어들였다는게 대단한거

이게 아를렌이 밤을 어찌살려보낸 이유고
루슬렉이 암묵적으로 밤을 키워낸 목적중하나라면 씹소름
화이트,카라카,야마 모두 처음엔 밤에게 적대적이었으나
밤의잠재력을보고 암묵적으로 같은편이되는걸보니

나중에 자하드와의 전쟁치를때쯤이면 더많은슬레이어들이 밤의편이될것같네요 퍼그자체가 밤세력이 될수도있을듯

루슬렉 암묵적으로 밤을 크게키우려는 큰그림 오지네요 정말",9720,222
"잘 모르는 분들 있는데 작가님이 하이랭커끼리 싸우는것도 흔한일이 아니라는데

이번 싸룸은 스케일 상당한거임",8962,138
x발 한컷만 더,8314,212
카라카의 말이 맞네요.이 싸움에서 밤들은 이기면 터무니없는 이익이지만 자하드군은 아무것도 없습니다.오히려 자기들의 위상을 지키기에만 바쁘게 되죠.좀 고전적이지만 잃을 게 없는 놈들이 무섭다는 말이 있는 것과는 반대로 자하드군은 이 싸움에서 아무런 이익도 없을 뿐더러 이 싸움 자체가 자기들의 이름에 먹칠을 하는 모욕이죠.,7791,138
찰리 ㄹㅇㅋㅋㅋㅋㅋ 너무 귀여운거 아니니,6111,135
23개 지파가 있었는데 지파장이 직접 온 거네,5843,196
생각보다 밤 측에도 쟁쟁한 하이랭커가 많네. 카라카는 그렇다쳐도 야마와 에반켈. 켈헬람. 차. 다들 군단장에 준할 정도로 강력한 하이랭커들인것 같으니,5656,144
"케이지 안에 화이트있을거같은데, 견족이 잡는대로 영혼 먹어서 회복할거같은느낌....

또한 야스차라 또란 같은가문끼리 싸울거같은 ...? 느낌
하나 또 도봐야되는게 쿤이랑 공주 만나는 거 왜아무도 언급안하는지.....

얼마안남은거같은데 쿤이랑 공주만나는거",5608,259
로 포 비아 가문 최강전력이라고 나왔지만 별로 강해보이지 않는데,5082,284
