comment,likes,dislikes
작가님 솔직히 고등학생 그릴줄 모르죠,14099,25
에데르송멋지게 보여주려고 페널 준거라고 말해.,8851,24
"작가님! 완상 고등학교의 김은수 혹시 50화 제가 댓글에 단 ""완산고 김은수 영입해라"" 때문인가요!?? 정말이면 영광입니다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ우연일수도 있지만 덕분에 행복해요",5716,68
아니 아다마 트라오레 그려놓고 고딩이라 하시네ㅋㅋㅋㅋㅋㅋ,4775,21
"얘들아 루카쿠 유소년시절 사진 보고와라
작가님이 제대로 그리신거 맞다",3943,18
추측 하나 해본다. 차준영 축구 그만둔 이유가 폭행 등 사고 쳐서였음. 그래서 도재윤이 병원에서 애들 삥뜯고 그런 거 이제 하지 말라고 한 거. 그 때문에 차준영 한국 축구계에서 아묵적으로 제명당함. 그래서 복귀전에서부터 심판이 뭐만 하면 반칙 주는 거,1900,61
어깨 먼저 넣어서 깔끔하게 수비한거같은데 패널티 선언??,1600,5
신판 돈 먹었노 어깨싸움 이겨서 어깨 들어간 다음 공 걷어냈는데 심판 올림픽여배 보는 거 같네,1138,18
물소게이 좀 치노,652,25
고딩축구 대회라고 심판도 고딩데려다 시켰냐?,618,2
"뭔가 나중에 나올거같은 캐릭터
-폴 포그바(댑으로 누구하나 얼굴 때림)
-메시 린가드(축신인척하는 춤신)
-호날두(강팀 에이스일 삘, 호우 나오면 모자이크될 예정)
-케인(훈련은 거부, 근데 득점왕 경쟁)
-벤제마(축구부 탈퇴)
-긱스(감독인데 깜빵행)
기타등등
ㄹㅇㅋㅋㅋ",523,23
"차준영한테 한번 더 놀랐다 세운고 키퍼가 알아보는거면
ㅈㄴ 잘했다는거잖아",439,2
왜 명청한은 아무도 언급안하지... 쟤 땜에 이민영이 명운고에서 하자고로 전학온건데 뭔 일 일어날거 같음,369,4
작가님 어디팀이던 수비수 한명 박다익 으로 반다이크 그려주십쇼...,364,18
작가님 상대팀 선수로 디발라도 한명 그려주시면 영광이겠읍니다,345,14
