comment,likes,dislikes
빌드업 정말 재미있게 보고있습니다. 앞으로도 좋은연재 부탁드립니다. 어제 하늘의 별로 올라가신 유상철 감독님을 추모합니다…,8907,41
"고 유상철 감독님
2002년 6월 대한민국의 영웅이셨고
2021년 6월 대한민국의 전설이되셨습니다",7325,68
"감독 눈에 이제 영입대상 2명 떴네ㅋㅋㅋ
1.초록머리 수비수
약간 초록머리는 미리 공격수들 읽고 컷한 다음에 공격할수있게 빌드업시키는 역할인데 과격한 성격이 있는데 플레이에서는 안드러나도록 바뀌어야됨
2.에데르송형
골키퍼로 청대까지 갔으니 실력은 말 안해도 되고,수비랑 합이 좋아서 팀 잘 이끌어낼수있을듯

ㄹㅇ하자고 빌드업으로 각성 가자",5082,22
"유일하게 쿠키구우며 응원하는 웹툰입니다.
너무 재밌어요 진짜 ㅎㅎ
-축구를 좋아하는 아재올림-",1717,21
"수비수의 조건을 다 갖췄네요 뒤지는 피지컬, 수비 상황 판단능력, 오지고 지리는 컷팅능력, 상대선수 심기를 긁는 능력까지 정상원이랑 서면 센터백은 걱정 없겠네요",1618,9
근데 이 작가님 그림 중간중간 보면 느와르 그려도 잘 어울릴듯,1069,6
"하자고강팀인 이유

1.영재가 그렇게 보여도 지원받아 브라질 유학갔다옴
2.승호 저렇게 보여도 중학생때 mvp였음
3.시우 전에 누가 실력으로는 깔수없다고 함 심지어 함부르크 선수
4.재윤이 들어오면 키퍼는 청대 추천받고 강팀 세운고도 탐냈음
5.초록머리 재윤이가 ""얘도 ㅈㄴ 잘해""칭찬함
6.강팀 감독이였던 학철이 옴
7.주인공 있음",800,6
"팀의 원동력이 되는 공간창출.........다른 미래를 보는 시야...
남들과 다른 드리블과 테크닉 이 선수가 다음엔 어떤 플레이를 보여줄지 기대하게 만드는 이탈리아는 이러한 선수를 두고 말한다

........환타지스타라고......-요한 센 바렌-",470,7
재밌다 재밌다 해주니까 너무 재밌네;;,439,4
"심건우(김동현)

양승호(이민영) 강마루(우정완) 허영재(권오준)

성시우(서민준) 차준영(진승남)
(독고일규)
허둥치 최동훈(이경도) 정상원c 양형섭

도재윤(황기성)

풀백,센백 댑스만 채워지면 팀다워질듯",420,6
빌드업 순위건으로 올리는 우리가 빌드업이다,335,11
한국에도 이런 웰메이드 스포츠물이 있다는게 자랑스럽다,288,6
저는 축구를 잘 모르는 아재인데 축구에 대한 지식뿐만 아니라 중간중간에 개그요소들이 들어가 있어서 좋은거 같습니다. 읽기가 편해요 작가님 정말 재미 있게 보고 있습니다. 화이팅!!,254,3
댓글처음쓰는데 너무재밌다 이건.. 더올라가야될웹툰이다,6,0
