comment,likes,dislikes
와 전술변화 지린다 풀백을 바로 올리고 쓰리백으로 바꾸네,8297,20
"크으 감독님 전술 지린다ㄷㄷㄷㄷ
진심 저런분이 감독하는거지...

어떤재앙은 부상인데 혹사시키고, 빌드업도 제대로 못하고, 롱패스만 뿌리다 막히고, 교체타이밍도 제대로 못잡고, 맨날 먹혀도 쳐 벤치에 앉아있고,라이벌 더비져도 당당히 휴가떠나고, 1200억짜리 윙어를 RB로 훈련시키고있는데.....",5463,39
"실종자를 찾습니다
이름 : 강마루
나이 : 17세
특이사항 : 키가 크진 않고 주황색 빛을 띄는 머리색에 축구를 잘합니다",3969,54
아 진짜 개재밌다 작가가 축구를 너무 잘알아....,2448,19
200원으로 이런 호사를 누려도되나?,1301,12
이번화는 축덕들 감동받아죽으려고 만든거네...,1192,9
왜 토트넘 경기보다 재밌는데?,847,12
"이번 화에서 나온 것처럼 공격,수비가 따로 나눠진 축구는 옛말이고, 이를 대표하는 포지션이 윙백이죠. 공격 상황에서 윙백 한 명을 중원에 가담시키고 반대쪽 윙백이 스토퍼 역할을 가지면서 포백에서 쓰리백으로 전환하고 패스를 전개, 때에 따라서는 중앙에 가담한 윙백을 높은 지역까지 전진시켜 수적우위를 바탕으로 공격을 전개하는 것은 현재 펩의 맨시티가 보여주는 전술입니다.이렇게 축구에 관심이 많은 작가님이 만화를 그려주셔서 축구팬으로서 감사할 따름입니다.",661,6
"작가가 전체 적인 경기흐름을 독자들이 아주 이해하기 쉽게 잘 그림
정말 잘그리시네 작가분",511,5
"ㅋㅋㅋㅋ 칸셀루도있고
펩전술이네 완전",391,8
"""수능 9일전 후회없는 선택""

어쩌면 373일이 될수도,,",321,7
그림에서 속도감이 느껴진다,176,1
200원경기가 왜 epl보다 재밌냐,154,3
이렇게 흥미진진하게 웹툰본적이 있나?,152,5
장면장면 너무 실감나는 연출 본 축구 웹툰중 갑인듯 ..,106,2
