comment,likes,dislikes
아 뭔데..실수로 다음화 올려주세요,6003,13
마루 부상시키면 작가 찾아가서 뽀뽀해버린다,5255,17
"마루 주장 완장 달고있는거 볼때마다 ㄹㅇ뽕차네ㅋㅋㅋㅋㅋ

작가님. 새해 첫 빌드업부터 마루 부상 나오면 ㄹㅇ...
독자들 다 작가님댁 찾아갑니다.",3667,33
내 야동떴는줄 알았는데 왜 야동광고야...?,2381,47
라인 다 올라갔고 중원에 세컨볼 받아줄 선수 없어서 양사이드 까지 체그하면서 공간확인 하는거 맞는듯 진짜 시야가 미쳤다.,1833,16
"항상 '마지막은 이석훈'이라는 슬로건, 약점이 있었던 팀인데. 오히려 이석훈 본인이 이걸 비틀어서 골문 앞에서 패스를 주니까 아이러니하게도 쉬운 볼을 팀원마저 흘려버리는 광경... 이석훈의 패스에 충격받는 듯한 선수의 표정이 인상적이네요 ㅋㅋ",1124,9
대한민국vs시리아 보다가 온 사람???,389,14
왜 미리보기 안 올라오는데,240,10
다음화왜안나옴? 휴재임?,78,3
그냥 이 웹툰은 꿀잼이다 명언도 많고,58,4
