comment,likes,dislikes
역동작인데 다이빙뛰어서 막을정도면 감독이 침줄줄흘릴만했다ㅋㅋㅋㅋㅋ,11705,21
키야 센터백 골키퍼 영입에 승호 잠재력까지 터지네 진짜 팀 빌드업 제대로하네,6378,13
진짜 존1나 재밌다,5313,23
"아마 축구하면서 다이빙 뛸 줄 아는 키퍼들은 거의 저 역동작 걸린 상황에어 다이빙 뜨는게 거의 불가능하다는걸 알거임.
이게 일반적으로 티비로 보면 은근 막을 수 있겠는데? 싶어도 몸이 한 쪽으로 쏠려서 반대 방향으로 뛰는게 거의 불가능하다 보면 됨 아무리 풋살 골대가 좁다지만 저런 빠른 슈팅 상황에서는 그리고 저 양승호 슈팅 막는건 솔직히 프로선수들도 어려움. 저정도 실력이면 청대된게 ㄹㅇ 빽만은 아니라 순수 실력으로도 가능함",3905,30
"이봐 감독.
한자리 남으면 나 완산고 김은수는 어때?",3645,29
승호 순간 노력하는 마루한테서 자기 어릴때 모습 보이고 넘어지던거 발리로 패스하는 장면 나만 좋냐? 개좋은데..,1490,11
"다음화
에데르송 HERE WE GO!!",757,6
이학이 죽은 후... 남은건 당신뿐이야 '911'...!,670,4
"1대1상황에서 키퍼를 꺼내놓고 옆으로 미친패스..
뛰어오던 선수 발에 딱 맞게 패스해줘서 사실상 그냥 뛰어가다 발만 대도 골인 상황인데
이 정신나간 키퍼는 그 역동작에서 다이빙;;
거기다 그 자세에서 펀치까지 하며 슈퍼세이브;;;
세상 어느감독이 저런 키퍼를 그냥 냅두겠냐 ㄹㅇ
거기다 마루는 게임흐름, 시야, 패스 모든게 완벽해
패스받는 놈도 놀래서 두근두근 거리잖아ㄷㄷ",590,4
연출 미쳤네 이만화는 모든걸 갖췄음,509,4
요즘 이 웹툰 폼 너무 좋음ㅋㅋㅋ 진짜 재밌다,384,5
완산고 김은수 보고왔다 손,368,3
그시절 소년만화의 뜨거운 우정... 오랜만에 느끼게 해준 작가는 만신이다,367,11
한주에 2편 그려줘!!!,329,4
