comment,likes,dislikes
"지금 감독님은 ""쫄?""을 멋지게 말하고 있습니다",18381,16
감독이 리얼 주인공이네 ㅋㅋㅋ 슬램덩크 감독보다 임팩트 개쩖,10829,48
"독자는 마루의 찐따력에 이입했다!
제발 양승호한테 뺏기지 않게 해주세요",5767,55
"근데 저 여자애는 계속 양승호 걱정 하는거 보면 …
마루는 그냥 정말 친한 친구 같은데 아직",4816,37
"아ㅋㅋ 작가님 그래서 마루난데스,에데르송,손흥민 으로 PL 베스트 라인업이죠?",2730,27
작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요? 작가님 피파4 닉네임 뭐에요?,1692,68
정보:홍학철 세운고 감독이였을때 재윤이와 승호를 탐내했다,1030,5
나 저느낌 알아…저런 스킨쉽많이 당해서 나중에 다른사람한테 하는거 보면 마음 찢어지더라 정말 나한테는 스스럼 없이 하는걸보면 난 그냥 친구구나 생각드는순간 천국아니라 억장이 와르르 무너지더라,865,9
벌레보고 왕양승호 왕양승호오 하는거 ㅈㄴ웃기넼ㅋㅋㅋㅋ,704,6
유나는 친해서 저렇게 대하는 거지만 진짜 못할짓이다 저거 ㅠㅠ,695,7
"승호:토트넘(무흥민)
마루:맨유 (마루노페르난데스)
재윤:맨시티(에데르송)
상원:레알(리더쉽 센터백인 라모스)
영재:파리(브라질리언 네이마르)
등등등

야 누가 한명만 유로파라고 왕따 시키냐ㅋㅋㅋ",504,18
하자고 져지ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나오면 사서 입고싶은데 진심 하자같을거 같다ㅋㅋㅋ 직장인이 고등학교 져지 입고..,437,9
아니 이거 왜 상위권아님 진짜; 제일재밌네,358,9
"와 감독의 저말이
선수의 가슴을 얼마나 뛰게할까",121,1
