comment,likes,dislikes
실내흡연충 vs 히키코모리 ㄷㄷ 가슴이 웅장하다,10918,52
흡연충vs캣맘 이건 현실이여도 웅장하다,9109,173
"아니 지금 쿤 때문에 구스트앙, 트로이메라이 둘 다 전부 가주의 위엄과 위압감이 너무 안 느껴짐...제발 쿤 좀 안 나대게 해줘요.",5796,681
"근 13년만에 처음으로 가주 VS 가주를 본다..
웅장해진다 ㄹㅇ",4981,53
권위적으로 보이던 가주도 친구끼린 엿이나 날리구나,4325,38
아니 쿤 너 뭐되냐? ㅋㅋㅋㅋ 가주들 사이에서 뭔 협상이야 걍 손짓 하나면 썰려서 죽을 친구들이...,3063,124
우렉은 도대체 얼마나 봐준거냐....,2731,20
"구스트앙 언급으로 봐서는 트로이메라이는 확실히 V와 아를렌 vs 자하드 구도에서 도망쳐버린 것 같네요 자신은 아를렌을 좋아했지만 감히 자하드를 거역할 수는 없었고 그렇다고 아를렌 편을 온전히 들 수는 없는 상황이고..
이런 열등감 때문에 사랑이라는 감정을 가지고 장난치는 것으로 자기위로를 하는 것 같네요..",2192,27
"쿤 때문에 진짜 몰입이 너무 안된다
가주끼리 충돌 할 수도 있는 상황에서 그 자리에 남아 딜을 할 생각을 한다는거 자체그 그냥 상식적으로 말이 안되는데; 지옥열차 편에서 유리vs카라카 싸움에서도 로즈샤워에 에반이 보호해주는 그림이었는데 가주끼리 싸움에서 휩쓸리지 않을거라고 생각하는건가 휩쓸려도 또 주변 지파장들은 다 죽는데 선별인원은 한명도 안죽이려고 그러시는지;
난 왜 이렇게 쿤한테 어떻게든 실적 남겨주려고 어거지로 끼워 맞추는 느낌이지",1956,177
가주 두 명이 싸우는 전쟁에서 선별인원이 딜을 생각한다는게 맞는거냐??,1504,65
진짜 웅장한 미물혐오가vs벌레애호가의 대결이다,1134,20
지파장들도 가주라면 벌벌 떨고 있는데 고작 선별인원인 쿤이 딜 할 짱구를 굴리는 게 맞나요? 아니 무슨 비선별인원인 밤도 아니고 바람 불면 죽을 거 같은 애가....하... 몇년만에 가주들 싸움인데 몰입 너무 안되네,1036,75
구스트앙이 낮춰보기도 하고 트로이메라이 반박하는거 보니까 트로이메라이 10가주들 사이에서 좀 내성적이었던 포지션이었던듯,954,17
"트로이메라이 팔에 뱀 감겨있는 장면에서
구스트앙한테 ㅗ 날리는 거임...?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 친구 만났다고 신났네",953,32
쿤이 긴장을 안하니 보는 독자들도 가주가 둘이나 나왔는데도 긴장이 안되지...,901,42
