comment,likes,dislikes
진짜 빌드업은 스포츠웹툰 중 최고다,12819,33
"고3으로써 저거 연출이 너무 인상적이다..무회전 슛 처럼 내가 어디로 가는지 모르겠고 내가 가고 있는 길이 맞는지도 모르겠고
진짜 그저 '만신'",9713,37
이게 웹툰이라고? 난 영화를 보는듯했다...,6666,16
인천이 강등걱정이 아니라 fa컵 우승에 아챔도전이라니...만화같은일이 아닐 수 없다...앗 참...이거 만화 맞지...,4448,28
어린 시절 홍학철의 모자와 장갑을 받고 축구를 시작했던 재윤이 다시 한 번 홍학철로 인해 잠깐의 방황을 끝내고 축구를 시작하게 되는 연출 ㄷㄷ하네,4032,10
오늘 연출은 진짜 가히 명작이라 할 만 하다,2333,10
공 방향하고 인생방향 섞는 연출 진짜 웅장해진다...,1882,5
"솔직히 재윤이 스토리가 제일 가장 인상깊었음..

얘들아 이제 에데르송말고, 재윤이라고 말해주자..
에데르송 닮았네..거참,",1559,2
진도는 느리더라도 각 캐릭터마다 정서를 잘 묘사해주시니 독자로써는 만족,1107,5
흔들린다에 자신을 비유한 연출.... 정말 최고네요 작가님이 정말 열심히 공부하신 흔적이 보입니다. 빌드업 스포츠웹툰에서만 아니라 전체 웹툰중에서도 단연 상위권에 드는 작품성이네요.,1025,2
진짜 뻔한 클리셰 대본이지만 연출 하나로 몸에 소름이 돋는다.....이게 진짜 그 2000년대 중초반을 호령하던 아날로그식 만화 감성....이걸 웹툰으로 재현하네....작가님 힘내요...항시 잘 챙갸보고 응원합니다. 감사해요,875,3
홍학철.. 첫인상은 ㄹㅇ 별로였는데 까면 깔수록 멋있네,872,4
"어느 깊은 가을밤 웹툰을 보던 제자가 울고 있었다.
그 모습을 본 스승이 기이하게 여겨 제자에게 물었다.
""무서운 웹툰을 보았느냐?""
""아닙니다.""
""슬픈 웹툰을 보았느냐?""
""...아닙니다. 달콤한 웹툰을 꾸었습니다.""
""그런데 왜 그리 슬피 우느냐?""
제자는 흐르는 눈물을 닦아내며 나지막이 말했다.
""...빌드업... 빌드업을 보았습니다...""",645,16
만신 ㄷㄷ,436,11
"이게 정녕 한 사람이 스토리 짜고, 그림까지 다 그리는 웹툰이 맞나? 만신 911을 찬양하라",182,1
