comment,likes,dislikes
18번..강마루노 페르난데스..,8816,39
사진으로 끝나니까 북산엔딩 나올까봐 겁나네 ㅋㅋ,6530,13
너무 재밌어.. 네이버 웹툰에서 빌드업이 제일 좋아,3873,24
"탑코너 작가랑 짠거지?
어떻게 탑코너 오자말자 빌드업이 휴재냐고
일주일에 축구웹툰 2번 볼 생각에 쌋는데
아아아앙 이렇게는 못가 피파4닉 말하고 가",3271,30
"작가님 휴재를 허용합니다.

대신...

피파4닉 알려주시고,
외전같은걸로 탑코너랑 콜라보해서 친성경기 추진해주시죠...ㅎㅎㅎ",1669,22
오늘 부터 민정코인 탄다 말리지마라,1498,10
"양승호 심건우 허영재

최동훈 강마루 성시우

허둥치 차준영 정상원 양형섭

GK 도재윤

조합봐라.. 앞으로 경기가 어떻게 펼쳐질지 벌써부터 기대된다..",1001,20
이 만화를 10점을 안주는 사람도 있나?,644,18
탑코너랑 빌드업 세계관 연결 콜라보 기원 1일차,421,22
"막컷 단체사진 양승호 최유나 몰래 손잡고있는거 아니냐?
내가 봤을때는 이미 사귀고있음..",376,16
양아치형님 뇌지컬 지리네ㄷㄷ,262,8
강마루 숙제검사 하러왔다,79,2
매애애앰매애애앰 스피오스피오,62,2
"다시 정주행중인데
맴맴 스피오 스피오 보고 섬짓했다 ;;",59,3
오늘격기삼반이 떠오르네 스피오스피오,22,3
