comment,likes,dislikes
"신의탑 쓸데 없는 걱정
1. 밤이 죽는거
2. 유한성이 죽는거
3. 화이트 코인 떡락",21015,127
한성이가 죽을리 없을테니 편안히 다음편 보러 가겠습니다...,14057,63
"작가의 말 ㅋㅋㅋㅋㅋ작가님 유한성 안티에요?
너무하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",10573,64
"유한성 전투신 많은거 굉장히 은혜롭네요...
그리고 다시 이 신의탑 특유의 게임 전개 돌아와서 너무 흥미진진합니다 특히 이번 '각자도생'에서 각각 인물들의 전투력과 매력을 체감 할 수 있는건 물론이고 개인적으로 가지고있는 내막의 감정선이나 서사들도 같이 풀리니까 더 환장포인트. 예전에 캐릭들 입체감이 살아있었던 그때의 신의탑의 정서를 조금이나마 느끼구 또 기대하게됩니다..",7843,116
"아니 4군단 신 사단장들 ㅈㄴ포스있게 나왔는데 두꺼비는 개추하게죽고 다른 한명은 이름조차 나오지않았네 ㅋㅋ 라이볼릭 안목 실화냐,,",7107,42
유한성 이래놓고 집에 가서 인스턴트 커피 맛있게 먹을거라고 생각하니 뭔가 웃기네 ㅋㅋㅋㅋㅋㅋ,5269,29
"잘 모르겠어요. 별도, 옥좌도, 하늘도, 바깥 세상도 필요없어요. 하지만 악플러가 신의탑 을 해치려고 한다면
전 싸울 겁니다 ⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣦
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣸⣿⣿⣿⣿⣿⣿⣿⡿⣿⣟⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡄⠀⠀⢠⡞⣱⡏⣿⣿⠩⠋⠽⠛⠟⠑⠉⠜⠛⢻
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢇⣀⣀⣸⣾⣿⣷⠿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⣸
⠀⠀⠀⠀⠀⠀⣠⣶⣿⣿⣿⣿⣿⣿⣿⣿⡇⡸⣿⠀⠀⠀ ⠄⠤ ⢻
⠀⠀⠀⠀⠀⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠉⠀⠸⠀⠵⠀⠀⠀⠀ ⢰⢁⡞
⠀⠀⠀⠀⠀⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⣀⣤⣶⣿⠀⠀ ⠀ ⢸⣦⣄
⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⠿⢋⡿⠟⢳⣿⣿⣿⣿⣿⣄⣀⠀⠀⣀⣬⣿⣿
⠀⠀⣠⣾⣿⣿⣿⣿⣿⡿⢇⡠⠞⠁⣠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣾⣿⣿⣿⣿
⠀⣼⣿⣿⣿⣿⡿⠛⠋⠀⠀⠀⠀⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣻⣿⣿⣿
⠀⣿⣿⣿⣿⣿⠀⠈⠓⠒⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿",3750,137
화이틐ㅋㅋㅋㅋㅋㅋ 찍찍한다고 쥐가 오냐고 ㅠㅠ,3575,28
한성이는 뭔가있어,2905,32
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 화이트 개웃기네 영혼 먹으려고 온거잖아 물로 ""필드에 있는"" 이라는거 보니까 밤영혼 먹으려는거 같은데 역시 맛있는건 아껴먹어야지",2683,31
지하드 왜 그리 소수민족 박해하는거야,2479,35
저거 저거...자하드 눈깔 아녀? 자왕난이랑 비슷한데?,2231,28
아 진짜 요즘 신의탑 너무 재밌다... 🤦🏻‍♀️ 작가님 사랑해요 아 진짜 진심입니다,1621,56
"사단장급 중에는 현재까진 샤론이 제일 쎈 듯
샤론은 물론 에반켈에게 상대는 안되지만
에반켈 무기 손잡이 뿌수고 칭찬까지 들었는데
요라요는 화이트에게 상대도 못해보고 팔 짤리고
하천희는 유리 자하드랑 싸울 때 이미 많이 뒤쳐졌음",1371,29
이게 왜 스토리로 욕먹는지 모르겠네 진짜 ㅋㅋㅋ,34,4
