comment,likes,dislikes
와 존나 잘하네.. 그래서 쟤 이름이 뭐라고?,16247,27
오졌다 민병관!!,13673,37
병관이 첫골 ㅊㅋ,9009,34
반창고 세레모니 개멋있다 나도 반창고 붙어야지,6763,27
와 반창고 떼는 씬에서 오줌 쌌음,6257,36
"근데 하자고 이름 진짜 잘지은거 같음.
ㄹㅇ하자있는 애들이 자신의 부족한점 찾아서 개선하면서 팀과 나아가는 느낌이 너무좋음.

솔직히 가장 개선필요=성시우.",4581,27
"스토리텔링 그냥 미쳤다
반창고=상처 난 데에 붙이는 것, 어떤 표시or딱지 같은 존재인데
자신을 각인시키기 위해 붙였던 반창고를 떼어버렸다는 건 다른 무언가가 아닌 온전한 허둥치로서의 존재감을 드러냈다는 것과 동시에 둥치가 과거에 얻은 상처로부터 해방됐다는 걸 보여준다
진짜 너무 멋진 소년만화임",2971,12
만화 진행이 오버래핑 해서 골 넣는것 뿐인데 과거회상 의미있는 세레머니 들어가면서 만화 꽉 찬다 ㄹㅇ 스포츠 웹툰 탑인듯!!!!,2400,11
이름 보여주려고 유니폼 뒤집어 입는 디테일 ㄷㄷ 오지넹,1867,5
화면 밖으로 땀내 진득하게나네 이게 청춘이지,1063,9
"하자고 로고는 진주고
진주는 남들이 거들떠보지도 않는
조개에서 발견되잖아
아마 영재,건우,둥치,형섭,준영,마루 같은애들이 열리기전 진주(조개)고
승호,재윤,시우,민준이 얘네는 빛나지 않는 모래 묻은 진주있거같다",775,6
왜 이게 많은 사람들의 야동인지 알아버렸다,755,10
ㅋㅋㅋㅋ역시 감독코치는 돈만받아쳐먹고 돈내는애들만 이름기억하지 ㅋㅋ선발도 돈받아야 내보내고ㅋ 정작잘하는애들은 내보내질않아요 역시 이만화는 현실판지림 이러니 잘해도 돈없으니 그만두고 딴길떠나지,524,8
진짜 매번 쿠키를 써도 아깝다는 생각이 안드네,453,8
"3번 돌려보는데도 계속 소름이 쫙... 오우
진짜 애니화 됐으면 하는 웹툰 1위입니다ㅠㅠㅠ",389,8
