comment,likes,dislikes
"붉은바리, 푸른바리
이제 그가 나올때가 되었군요

양세바리",58860,752
붉은바리 푸른바리... 두 색깔을 합치면 보라색(violet) 비올레가 되네요 밤의 정체성을 한번 더 공고히 하는 작가님의 의도에 한번 더 놀랍니다,36319,488
칼라반 대깨자였네,22099,677
"이야 칼라반은 진짜 몸이 단단하네
도원은 그나저나 무슨 조현병 있는 것도 아니고
입장이 하루아침에 계속 바뀌네
그냥 차가 없애줬으면 좋겠다",19286,1331
"칼라반아 니가말한 그 고귀한존재가

질투심에 눈이멀어 사랑하던여자의 아이를 죽이는
찌질한짓을 벌였냐?

자하드는 그냥 잘생기고 강할뿐이지
독자들눈에 비친 자하드는 그냥 찌질이일뿐임

그리고 이미 10가주또한 대부분 자하드를 따르지않음
구스트앙은 대놓고 엿먹으라고 반역일으켰지",14561,441
와 이제 밤 가시 몸에 안박고도 스타더스트 쓸수있네요ㄷㄷ,12142,164
"와 푸른바리 독자들이 막지어낸 이름이었는데...
작가님이 그대로 쓰시다니...!!!",9850,558
둠이 밤을 견족으로 만들려고 한게 신의 한수네ㄷㄷ...,9015,152
바리바리~ 양손바리 !컴온바리 쉑더바리 공격에는 붉은바리 가드치는 푸른바리 밤이 밤이 우리 바미!!,8815,473
와 밤 스타더스트를 저렇게 안정적으로 쓰는거 보니까 마지막 정거장이랑 비교해서 말도 안되게 성장했네 ㄷㄷㄷ,7128,113
"붉은바리와 푸른바리 둘다 나왔으니 이제 보라바리가 되겠군요.
네 개소리였습니다",7166,352
밤이랑 카라카 비교하는데 밤보고 더 치명적이다고 하네 미치겠다,6295,163
밤 몸안에 있던 푸른놈은 푸른바리로 이름이 명확해졌네,5909,169
미안하다 이거 보여줄려고 어그로 끌었다 밤과 칼라반의 싸움수준 실화냐? 진짜 내가알던 그 찐다같던 밤이 맞냐? 맞다,5680,308
밤의 쌍흑익 화접공파술을 보시면 두번째 가시가 보입니다,5421,131
