comment,likes,dislikes
"심장쫄깃하고 개재밌네 가주 위엄 사라졌다곤 하는데 이미 전부 손바닥 위에 있었고 어차피 내가 이긴 건데 잠시 놀아준 것뿐이라는 게 정말 가주다운 화였음

다만 쿤이 반말 싸는데 안 죽이는 건 조금 의아하긴 하다",6998,140
근데 반말은 딱히 신의 탑 세계관에서 큰 의미는 안두는것같음 물론 가주한테까지 통하는진 모르겠지만... 반말 한다고 뭐라할거였음 선별인원들이 시험의 층 시험관 랭커들한테 반말할때부터 말이 안되는거였음..,4294,76
다음화 ㅋ 트로이메라이 쿤한테 사기당할것같으면 개추ㅋㅋ,2793,135
오늘 1부 감성을 느꼈다 지략대결인데 그시절보다 급이 많이 올라가 위압감마저 느껴지는,2346,149
비뚤어진게 아니라 제일 배려심 넘치는데,2059,33
"이카루스는 숨겨진 층에서 라헬이 사용한 이름이죠.
라헬 진짜 정체가 뭐여.",1876,25
"로 포 비아 최상위 지파장 두명 노룩 담뱃재로 원킬내는 구스트앙..
7마리 동물중 4마리 꺼내고 야마 둠 유한성 다 살려보낸 트로이메라이..

죽음의층에서 전성기수준의 힘을 찾은 화이트가 마주한 것만으로 위압감을 느끼게하는 구스트앙..
D급 선별인원 쿤이 마음대로 문 쾅 열고 똑바로 쳐다볼 수 있는 트로이메라이..

로 포 비아 모함 다 때려부수면서도 극존칭으로 고개숙이고 말 거는 로 포 비아 최상위 하이랭커 기린한테 자기랑 말 섞을 급은 아니라며 주제파악시키는 구스트앙..
D급 선별인원 쿤, 리랼 자하드와 이야기를 주고받는 트로이메라이..

그저 가주 조무사 트로이메라이 .. 실제 트로이메라이는 따로 있고 저 초록머리 인간도 가주가 부리는 일곱 동물 중 하나인듯 하다..",1528,32
반말이 문제될 세계관이었으면 체스 말고 장기를 두고 있었겠지 ㅋㅋ,1237,51
0킬 가주 이보다 착한 사람이 어디있냐,1027,12
가주를 대하는 태도가 저게 맞냐고 ㅋㅋㅋㅋㅋㅋㅋ,901,43
너희가개입하면 무효라고했지만 구스트앙은 그거에포함암될테니 구스트앙이 개입해서 다 쳐죽여버리고 결국 쿤이이기게되는 시나리오겠네,622,16
왜 아무도 말이없지. 이카루스는 라헬이 데이터 세계에서 썻던 이름인데?,610,58
세계관 실드치고 있네. 저건 우크라이나 좀 똑똑한 유치원생이 푸틴한테 체스로 우크라이나에서 철수 내기 하자는 것보다 말도 안되는 세계관임. 완전계급사회인데,547,45
"지파장 몇 데리고간다고.....""밤""을?",484,27
가주와 선별인원설정 알고있으면 뭔가 이상한걸 깨달아야되는데 여전히 별점은 높네,347,33
