comment,likes,dislikes
"마루쉑 어디까지 뇌절하나 싶었는데 ㅋㅋㅋㅋㅋㅋㅋ
바로 상황극 들어가는거 무쳤네 ㅋㅋㅋㅋㅋ",23478,15
"이번 화 킬링포인트

1.해설 개지리는 풀백 듀오
2.마루의 개쩌는 볼감각
3.양아치3명에게 구라반 진실반을 섞어 말하는 마루
4.도재윤,차준영의 등장
5.눈알 뒤집고 갈때까지가자 강마루
6.눈 뒤집어진 차준영

축구웹툰에 이런 개그요소들 이게 만신이지ㅋㅋ",13894,30
이 작가 천재 아닐까 진짜 웃겨죽겠다 ㅋㅋㅋㅋ,10559,25
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개그코드 ㄹㅇ 내 취향ㅋㅋㅋ,7548,14
ㅋㅋㅋ근데 마루가 애들한테 말한거 다 맞긴했음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5790,18
"개웃기네 ㅋㅋㅋ 이게 개그만화여 축구만화여
합쳐서 개축만환가",1997,16
"여러분!!!!

와중에 모든 축구팬들께 좋은 소식입니다.!!
내일 부터 챔스가 시작합니다!!!!
다들 응원하는 팀의 경기를 보면서 응원합시다!!

...

닭집,개집팬들 들어가.",2060,90
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1652,15
작가님 다음화는 마루 발바닥 햝을 생각에 군침 흘리는 영재를 그려주시면 될거 같습니다,1427,6
눈깔 사시된거 ㅈㄴ 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ,1350,6
진짜 네웹보면서 이정도로 독자들 단합잘되는 웹툰 거의 처음인듯 ㅋㅋㅋㅋㅋㅋㅋㅋ 작가형 사랑해 개존잼이야 이거,877,16
진짜 웹툰보면서 이렇게 끅끅된적 처음이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ작가님은 정말 만신이십니다ㅋㅋㅋㅋㅋㅋㅋ,799,11
진짜 이게 웹툰이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,501,5
작가도 그리다가 ㅈㄴ쳐웃었겠네 ㅋㅋㅋ 너무 재밌다,446,8
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠기구울맛난다..행복해 만족,389,13
