comment,likes,dislikes
다음 경기에서 하자고가 개 찢어버리는거죠 작가님?,9153,14
이게 축구부현실임 인맥축구 괜히 나온게아님,7322,22
"서민준 실력파면 고등학교 진학할때 대쉬 엄청 들어왔겠는데
자기 여동생 걱정되서 하자고 온거 같음 ㄹㅇ",5116,10
민정이 울상짓다가 마루 쳐다보면서 웃는거 와 여주해라,3175,22
"와중에 새로운 여주 긴머리 씬 미쳤다...

마루야...이석훈 경기에서 참교육하고, 경기 이기자.
유나보다 저 친구가 훨씬 나은것 같다...",2126,30
"이 작가는 개그와 진지사이 완급조절이 개 오진다
웃길땐 ㅈㄴ 웃기고 진지할땐 ㅈㄴ 진지한 그저 만신..",1374,9
준영아 이제 '양아치'로 돌아갈 때다,1185,3
"이 정도 ""빌드업""이면 마루야 이 여자다 잡아라 제발",801,6
"솔직히 진짜 멋있는 애는 약간 감정변화없이 묵묵하면서 남들
잘 챙겨주는 서민준같은애인 거 같음",653,1
"개그가 안들어간 회차다. 진지하게 간다.
다음 경기에서 개 찢어버릴 빌드업 중이다",562,6
"서민준

실력은 좋은데 하자고같은 급이 낮은 학교로 진학

하자고에서도 주전으로 뛰지 않고 주목받지 못함

이런걸 따져보면..
벽돌 때문에 큰 부상을 당해서 1년? 가까이 축구를 쉰게 아닐까 조심스레 생각합니다..

실력이 아무리 좋더라도 1년이나 재활해야하는 선수를 대려갈 학교는 존재하지 않을테니까요... 심지어 재활에 성공해도 예전만큼의 기량을 보여줄 가능성은 극히 낮기 때문에 어쩔수없이 자기를 유일하게 받아준 하자고에 온게 아닐까 싶네요..

하자고는 서민준이라는 복권을 구매했고

그 복권을 긁는게 바로 다음 경기가 될거라고 저는 생각합니다",547,1
선생이 화해하라고 악수시킬 때 묘사 미쳤는데 아무도 왜 말이 없음?... 여주 어떻게든 악수 거부하려고 손목 비튼거 봐라 진짜 싫어하는 걸 넘어서 극혐한다는게 여기까지 느껴지네...진짜 안쓰럽다,418,5
아...? 작가님 저기 덕진공원 맞죠?? 저기 뒤에 그려진 전북대 기숙사에서 보고 있다가 놀랐어요! 이런 우연이 있네요,258,1
작가님 집이 전주 이신가? 아님 배경이 예뻐서?전주 덕진공원이네요. 뒤에 전북대 기숙사 보이고ㅎ잘보고 있습니다~,105,0
배경 덕진공원인데 ㅋㅋ 반갑네요 ㅎ,70,1
