comment,likes,dislikes
에반켈 고대종의힘 숙주를 옮긴다는거 개떡밥아니냐?,31117,159
"이번화 ""5초 안에 가루를 내겠다""
다음화 ""강해졌구나 소년""",26013,160
"작가님 블로그 발췌
그리고 이전 단행본 판매대금이 지난달에 들어와
대금 천만원을 코로나19로 힘들어하시는 대구지역에 기부하였습니다.
계약금도 다른 곳과 지역에 기부가 되었습니다.
단행본을 사주신 분들 덕에 이런 뜻 있는 일도 할 수 있게 되었습니다.
기부하시는 모습 보기좋아요♡♡",18078,188
"와 에반켈 미쳤다... 드디어 빠꾸없이 다 불태우는건가?
진짜 볼수록 환상적인 웹툰이다 이건. 에반켈도 간지지만 아직까지 폼잡고있는 화이트코인도 기대된다 빨리 다음화 줘 ㅠㅠㅠㅠㅠㅠㅠ
(300위도 격이다른데 우렉 당신은 대체;;;)",17804,291
로포비아 저격수 총구만나와있는데 스코프로 어떻게보는거임,13420,363
총질하는 놈의 랭킹(278위)이 디테일하게 나온 이유는 다음화 쯤에 쟤는 누군가에게 전투력 측정기로써 죽을꺼다. 그 누군가가 화이트일 가능성이 높고,11275,176
300위 안에 들려면 싸워 죽여야 한다 격이다르다 했는데 바로 300위 안에 있는 놈 숨어소 총질이네,8819,106
"*앞으로 싸우는 순서예측*
지파장과 둠 폴형제(지파장 죽으면서 화이트부활,
둠 폴 둘중에 한명죽거나(폴예상), 둘다 싸움불가상태)
도원과 밤, 차 (배신자 사단장의 정체와 과거의 사실을 알고
도원이 밤편으로 설확률 높음)
부활한 화이트와 칼라반(칼라반이 밤죽이러 나오지만
화이트의 부활로 썰림 동시에 밤의 신원류와
케이지의 니들포로 2장벽파손 및 게이트오픈)
4군단의 후퇴와 잡몹들 사망
3장벽을 앞두고
야마와 야스라차 구도(야스라차의 방심 및 야마의 분노로 야마승)
여기서부턴 4군단, 5군단의 합동방어선(공주도 합류)
하면서 자연스럽게 퍼그강경원로까지 합류
여기서 밤의 활약상 기대
이전투에서 많은 희생자 발생
존나 싸우다가 4군단장과 공주의 변수 및 몇명죽고 군단 총후퇴
하진성 구출 (여기서 10가주 등장확률 높음, 로포비아 거점에서
지지고 볶고 했으니 로포비아가주 존나 뿔남)",7645,297
숙주 얘기 나오는거보면 ㅜㅜ 에반켈 죽을 것 같네,6817,429
네거티브원이 뭐야 네이티브원이지 ㅁㅊㅋㅋㅋㅋㅋㅋㅋ,5735,98
"ㅇㅎ...카라카도 중위권 하이랭커인데,100위권으로 추정되는 야마와 왜 그렇게 차이가 큰가 했더니,300위안부터 완전히 급이 다른거였구나",5162,105
등 안돌려도 어차피 가루로 만들거면서...,4774,134
고대종 코끼리의 삶의 의미와 라크가 관련되어 있음을 예상하게 되네요 에반켈 고대종의 불꽃을 보고 라크가 눈을 떼지.못한걸로 보아서 라크가 각성된 힘을 제대로 쓸 수 있는 상황이 되면 에반켈 안의 고대종이 라크에게 무언가 알려줄 것 같습니다 그때 라크에 대한 떡밥과 네거티브 원에 대한 떡밥이 풀리게 될 듯.,4721,712
"에반켈이 회상할 때 나오는 코끼리가 고대종일테고 뭔가를 기다려서 살고 있는 거면 뭘 기다리고 있는거지? 쟤 기억력이 너무 딸려서 잘 기억은 안나는데 어떤 졸라 쎈 고대종 한명 있고 걔가 나눠졌다고 했던 것 같은데 설마 라크 기다리나?
글고 다른 고대종들도 지가 왜 사는지 모르고 기약 없이 기다리기만 하는건지 떡밥 솔솔 치시넹",4031,151
'신'의탑ㅋㅋㅋㅋㅋㅋㅋ 신천지네ㅋㅋㅋㅋㅋㅋ,86,1
