comment,likes,dislikes
원래 모쏠이 더 연애상담 잘해줌 ㅋㅋㅋㅋ,9661,21
스포츠물에서 녹이기 젤 힘든게 로맨스인데 이집 잘하네,6940,28
"....

최악의 축구선수. 강마루.",3352,28
"ㅋㅋㅋㅋㅋㅋㅋ아무리봐도 오늘 그렇게 많이 나온 유나보다 누워서 웃고있는 민정이 한컷이 더 좋은듯ㅋㅋㅋㅋㅋㅋㅋㅋ

ㄹㅇ마루야 아님 너도 긱스하자",2377,69
돼지얌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1675,10
민정이랑 사귀고 유나는 절친으로 남았으면좋겠는데,1110,47
나만 유나가 좋니?,821,66
"숨을 수록 더 찾는다.
이게 힌트가 되어서 이번 경기 이길듯",610,8
"캬아!~ 유나가 확실히 여주포지션잡을려하네 ㅋㅋㅋㅋ
좋아좋아!!!",431,35
60화에서 유나가 본게 질투하던게 아니고 마루 유니폼 목에 거북 자수 잇나없나보고 없어서 실망한거 엿구나,345,5
민정❤마루,371,33
못하시는게 뭡니까 작가님,270,4
작가양반 로맨스도 잘하고 축구도 잘하고 개그도 잘하고 못하는게 없네,237,3
"학교 모티브가 전주 용흥초 해성중고 까지...
삼천동 출신이 분명하신 작가님이 궁금해진다",99,2
아 이때 어흥이 이거구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,56,1
