comment,likes,dislikes,
라헬 장비빨 꼴보기 싫으면 개추 ㅋㅋ,3996,85,작품내용
"탑 내에서 최강이라고 불리는 10가주 중 하나가 엔키두를 두고 ""싸운다""라고 표현 할 정도면 엔키두가 디지게 세긴 센가 보네요... 그리고 엔키두가 사람이 되려면 숙주가 필요한가본데 구스트앙은 라헬을 엔키두의 숙주로 쓰려는 거 같고, 숙주의 조건은 비선별인원이지 않을까 싶습니다.",3374,75,작품내용
구스트앙은 확실히 쓸모 있으면 대우해줌. 전에 쿤이나 이번에 화련만 봐도 쓸모 있으니까 벌레 취급 안함,2603,28,작품내용
"100층 아리에 혼 시험에선 젠가 하고, 자하드랑은 할리갈리 ㄱㄱ",1894,78,작품내용
화련은 엔류와 관련이 있는건가 가주랑 대등하게 말하는 것처럼 보일 정도면,1192,36,작품내용
가만보면 만물을 창조 할거같은 가주들도 은근 직접 못하는게 많네 ㅋㅋㅋ,856,20,작품내용
"난 게임은 선별인원때만 시험같은 개념으로 하는줄알았는데
저렇게 생과사를 결정하는데 게임을 할줄 몰랐네
가문과의 싸움이면 거의 나라간에 전쟁인데..
좀 진지하고 시원하게 싸우면 안돼나?",814,31,비판
"근데 엔키두급이 날뛰는데 하유라 점마은 뭐라고 저기 끼어드냐?ㅋㅋㅋ
언제부터 선별인원따리가 저런 전투에 낄 수 있게 됬노?ㅋㅋㅋ
이제 버릴 캐릭들 좀 버리자, 요즘 이런 애들 나올때면 ""이런 놈들이 뭘 할 수 있다고 계속 설치는거지?""라는 생각이 계속 듬
급 한참 떨어지는 애들이 설치는거땜에 솔직히 짜증난다",672,24,비판
"죽층에서 구스트앙이랑 대화나눈 사람= 헤돈
헤돈의 장기말 = 라헬 (이 이야기의 주인공이 될 수 있게 해준다고 라헬에게 직접 말함)
이번 화에서 화련이 자격은 있으나 자격을 감당할 수 없다고 말함 (밤이 초반에 위험을 무릅쓰고 신해어와 싸우는 모습을 보여주지만 라헬은 겁먹고 자기 죽으라고 하는거냐? 라는 듯 말함)

즉, 라헬도 비선별인원으로서의 힘(신원류를 쓰는 등의 비선별인원의 특징 예를들어 악령은 신원류 씀)은 있지만 본질이 너무 더럽고 추악하여 본 힘을 쓰지 못 하는 상태

엔키두를 알고있는 것으로 보이고, 화련이 말한 숙주의 언급을 들어보면 숙주의 대상은 라헬이 될 것으로 보이고 엔키두가 라헬의 몸을 빌려 인간(비선별인원)이 되고 헤돈이 말한 이야기의 주인공이 될 수 있다고 판단됨.",600,28,작품내용
"이번화로 확실히 알겠네.
라헬이 밤이랑 같은 조건과 같은 인맥으로 시작했어도, 라헬은 밤만큼 절대 못했다.",458,21,작품내용
붉은마녀 드레스 개잘어울리는데??,420,11,작품내용
"엔키두 형태 보니깐 178화에서 트로이메라이에게 ""결국 여기서 날 기억해내지 못했구나""라고 말했던 그 실루엣과 동일하네요. 178화 내용과 이렇게 이어지는군요",395,17,작품내용
"라헬은 여전히 못생겼고 화련은 여전히 예쁘네
화련이 거물이긴한가보다
퍼그에서도 영향력있는 캐릭인데 가주랑도 대등한삘로 대화하네",371,24,작품내용
확실한 건 작가가 작품에 애정이 없다는 것 같다,328,61,비판
그냥 탑 부실공사로 무너져서 다 죽고 끝내면 안 될까,220,10,비판
