comment,likes,dislikes,,
"??? ??????????????????????
?????????????????????????
?????????????????????????
????????????????????????
?????????????????????????
?????????????????????????
?????????????????????????
?????????????????????????
?????????????????????????
?????????????????????????
?????????????????????????
?????????????????????????
????????????????????????
???????????????????????
???????????????????????
??????????????????????
????????????????????????
???????????????????????
??????????????????????
???:심심한데 버프라도 줘볼까?",14218,107,관련없음,작품내용
근데 저런애들도 4대리그가면 걍 널리고 널린 흔한 애들이라는게 무섭다,7619,93,작품내용,관련없음
주인공 특: 저래놓고 할건 다하고 개쳐바름,5280,26,작품내용,작품내용
팀 분열 날거같은데 다른 학교 선수 두명에 같은 학교 선수 한명은 후보로 바꿔버렸고..,3678,26,작품내용,관련없음
"배댓이 잘못 적었네
4대리그 후보안에라도 들려면 저기 재능정도가 아니라 정말 5대륙안에서 이름값 있거나 국가대표에서도 이름날리는 축구선수여야함+스타성
단순히 저정도 재능으로는 한국k리그도 진출 힘들고 대학축구에서 축구 코치나 자격사로 많이빠짐",2469,35,논쟁,작품내용
이게 스포츠 웹툰의 단점이다... 경기만 하면 컷소모가 심해져서 기다리는 입장에서는 일주일 스토리 전개는 느리고 그렇다고 그런 장면들을 묘사 안하면 재미없고,1948,141,비판,비판
저런얘들은 4대 리그도 못가는게 현실임... 4대 리그 2부라도가면 엄청난거지...,1081,29,작품내용,작품내용
저런 애들이 4대리그가면 널린게 아니고 K2~K3부리그가도 널렸음 청국대뛰고서 K1못가는 선수들도 많음 가더라도 퇴출되고,957,18,작품내용,관련없음
개재밌는데 zl랄 하지말고 봐라,893,9,논쟁,작품내용
성시우가 기본기를 중요시하니깐 내가볼땐 패스로 조질듯,862,9,작품내용,작품내용
분량 ㅇㅈㄹ하지말고 걍 봐 미낀넘들아,653,27,논쟁,비판
근데 딱 봐도 세운고애가 양승호한테 안준거랑 마지막때 빡빡이가 안주고 혼자한거보면 팀 멸망각 씨게떴는데,572,16,작품내용,작품내용
전문가 납셨네 댓글들 ㅋㅋㅋ,456,20,논쟁,관련없음
갓핑크 그림체로 블루락 보는기분,402,23,칭찬,작품내용
"컷 대충 어림잡아 세봤는데 약 90 정도되는데..
스포츠 만화니까 여러개 묘사하는거 님들이 휙휙 넘기니까 당연히 분량이 적다고 느낄수밖에.. 90컷이면 꽤나 많은 수준인거 같은데 분량 적다고 징징되지마세요. 정 싫으면 이웹툰 보지말던가 재밌기만 하구먼 뭔 분량타령이 이리심해..",134,2,논쟁,비판
