comment,likes,dislikes,-3.16476047039032,
"근데 사실 화장으로 저렇게 변하기 힘듬. 일단 여드름 흉터 자국을 저렇게 완벽하게 다 지울 수가 없고, 지우려하면 컨실러 떡칠에 화떡이라 저렇게 안됨. 그리고 사실 쌍테는 화장이 아니라 성형의 영역..",74226,1993,-3.144429326057434,-2.0
"근데 좀 너무하다ㅋㅋ 사람 약점갖고 저러는거 현실에서 하면 진심 극혐인데..,,",46181,3145,-3.9439380168914795,1.0
죄송하지만... 저 여드름 진짜 많은데 레×론 파데나 잉×의 타× 파데나 클×오의 킬×버 파데먄 저 정도 가능.. 해요.. 제가 산 증인이죠.. 그리고 쌍액도... 2배 이상되요... 제가 산 증인이죠... 저도 화장안하면 친구들이 못알아봐요 이거 구라 아니고 진짜 팩트 왠만하면 여자애들끼리 넌 화장 안해도 이뻐 ~ 이러는데 저한텐 안그래요 아 말하고 나니 자괴감,42933,1577,-4.880030155181885,0.0
근데 이번편 분량은 모르겠고 내용이 부실한 느낌.....,25236,3115,-4.115064442157745,-4.0
"남주:쌩얼로 학교나와
임주경: 싫어
남주:유감",21966,918,-4.856218099594116,-1.0
화장은 그렇다쳐도 몸매가 안되면 저런몸도 나오기힘듬,17618,464,-3.296760320663452,1.0
뜬금없이 교주래서 미쳤나 싶었늨데 사이비 라고 한 거 때문에 그러는거임?ㅋㅋㅋㅋㅋㅋㅋ 아 귀여워,16637,221,2.9198062419891357,-1.0
"그러다 저 둘은 썸이란 걸 타겠지,,,,,",12205,255,-4.435969293117523,2.0
"트렌디한 그림체에 올드한 소재와 스토리,연출",11302,1052,4.512515664100647,-4.0
과연 무엇을 시킬까~~ㅎㅎㅎ흐ㅡㅎ흫ㅎㅎ흫,7051,866,3.037676215171814,3.0
착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각착한생각,5496,1186,3.40642511844635,3.0
전에 박태준작가 웹툰에서 안경쓴 여자애가 남자에 약점잡고 협박해서 논란이였는데...흠.....,4719,535,-3.885713815689087,-3.0
교주님에게 영혼을 파셨습니다,3699,154,4.401370286941528,1.0
압도적감사 ㅋㅋ,2599,103,4.953651130199432,4.0
근데 궁금한게 있는데요 미리보기도 잇으면서 왜 늦게 올리시는...?,525,96,4.796261787414551,-4.0
