comment,likes,dislikes,
낼 오전 8시에 간 이식 수술해요 아빠랑 저 모두 무사하게 기도 해주세요~,8461,196,관련없음
"그래... 이게 맞지...ㅋㅋㅋ 밤 쿤 라크가 지금 아무리 쎄더라도 선별인원 신분인데, 한 가문의 3위를 이긴다는 건 말이 안됌",3236,49,작품내용
난 이편괜찮은데 그래두나름 2인자 강함도 보여주고 전개속도 빠른거같은데 전투씬도 보기편하고,2151,118,칭찬
"그래도 이정도 벽은 느껴야 맞지ㅋㅋ
어차피 뒤진 것처럼 보여도 아무도 라쿤밤 걱정 안할텐데",2059,37,작품내용
이 편이 좋은 이유 : 주제 모르고 나대는 떨거지 하나 조져서,1620,75,칭찬
"살려야된다면서 목을 돌려버리면 어떡하냐;,,",1031,25,작품내용
뒤마는 지금까지 밤이 싸운상대중 우렉마지노 다음수준의 강자이고 지 동료들 죽어가는데 가시도 전부 해방안시키고 의태도 안하고 오브도 제대로 안쓰고 힘아끼고 있네 ㅋㅋ 진짜 역겹다...,997,62,작품내용
드디어 신의탑 완결했네 ㅋㅋㅋㅋㅋ 고생했다 시우야 마무리는 좋았네,813,48,비판
드디어 쿤 죽어서 기쁘면 개추,716,132,작품내용
드디어 쿤의 하늘높을줄 모르던 깝침을 속 시원하게 패줘서 좋다.,493,50,작품내용
개노답 3인방도 염라대왕 보러갔겠다 이제 중장비로 탑 밀어버려서 완결내는걸로 유종의미 거두자 시우야,460,43,작품내용
게임보다 이런전개로 싸우는게 훨 재밌으면 개추 ㅋㅋ,420,24,칭찬
오늘은 재밌으니까 10점주자 잼민이 친구들,458,108,칭찬
"이번편은 그래도 전투씬 너무보기 편하다.
중간중간 큰이펙트만 다듬으면 보기 좋을거 같습니다.
개선되고 있는 모습 아주 보기좋습니다 작가님",380,66,칭찬
오랜만에 분량도좋고 내용도 밸런스가맞네 밤이 이기든 이겨내든 이정도 벽은 느끼고가야지 상대가 상대인데 맨날 가주상대로 게임하다가 드디어 괜찮아졌네,308,28,칭찬
