comment,likes,dislikes,,
격기반 또 휴재라 아 띠발 하고 있었는데 곰곰히 생각을 해보니 내게는 아직 킹갓제네럴 엠페러 유망주 웹툰 빌드 업이 있었네 ㅎㅎㄹ,10804,50,칭찬,작품내용
마루야...그실력으로.. 맨유좀 도와줘라..,9847,176,작품내용,작품내용
아니 저정도면 축구 아이큐가 넘 넘사벽인데? ㅋㅋㅋㅋ,6736,27,작품내용,작품내용
마루 시야 저렇게 잡는거 보면 ㄹㅇ 재능충 맞는듯 ㅋㅋㅋㅋㅋㅋㅋㅋ 시야저렇게잡는거ㅈㄴ어렵잔어.......보기에는쉬워보여도막상하면ㅈ도눈에안들어옴.........,6167,30,작품내용,관련없음
축구 전문적으로 해본 사람은 알어 쟨 미친수준이야 저거,3836,56,작품내용,관련없음
아 작가 묶어놓고 완결내고싶다 한주에 10편씩 나오면 좋겠다,1558,9,칭찬,비판
만화중간중간에 개그 몇개 넣어주는거 너무좋아 ㅋㅋ,1330,9,칭찬,칭찬
진짜 스포츠 웹 중에는 윈드 브레이커 이후로 역대급 아니냐? 이렇게 표현 잘한 축구 웹은 처음이넼ㅋㅋㅋㅋ,1114,12,칭찬,작품내용
축구웹툰인데 이정도 분량이면 영혼 갈아넣은 수준 아닌가?,993,5,칭찬,비판
이 웹툰 제목값하는거보소 점점 빌드업하면서 상위권으로 올라가네,793,8,칭찬,작품내용
"진짜 너무 완벽한 축구 웹툰이 아닌지... 과함도 없이, 완벽한 이해로 그리고 계신듯 합니다. 축구 선수 출신이실 것 같네요. 그것도 아주 축구지능이 출중한",576,9,칭찬,칭찬
스타일이 하베르츠인데?,543,23,작품내용,작품내용
재밌긴한대 2일에 한번 연재해주세요히히 쿠키로 다볼께요..,440,16,칭찬,비판
와 존나 재밌는지 왜 다들 아무말도 없냐,406,8,칭찬,작품내용
혈관 할때 나만 하이큐 네코마 생각낫냐고...,53,4,작품내용,작품내용
