comment,likes,dislikes,
"신의탑의 매력이 점점 사라지는 느낌입니다.
신비로운 느낌 중에 나오는 잔잔한 개그들이 좋았고, 웅장한 세계관에 걸맞는 랭커의 위엄이 멋있었고, 그 중에서도 빛을 잃지 않는 밤이 좋았습니다.

양아치 같던 아크랩터가 딸을 떠올리며 멋있어지는 서사가 좋았고,
자하드 데이터와 싸울 때 각성하고 시전했던 스타더스트의 웅장함이 좋았고,
카이저와 싸울 때 가시의 힘이 몸에 익으면서 주변에 흩뿌려지는 신수 방울에 비치는 밤의 모습이 신비로웠고 몰입하지 않을 수가 없었어요.
모든것을 하찮게 바라보던 구스트앙을 보고 있으면 정말 닿을 수 없던 하늘같았습니다.

지금은 어떤가요...
영생을 하는 랭커들이 오히려 어린아이 같이 유치해진다는 설정을 감안하더라도 밸런스 없는 개그가 판을 치고... 철없는 개그를 쳐도 중압감이 넘치던 우렉마지노의 모습은 보이지 않아요.
그림체나 이런 부분은 건강 등 사정이 있을테니 감안 하더라도 작품 자체가 무너져가는 느낌을 많이 받습니다.
부디 작품을 잃지 말아주세요.",5540,141,비판
"아..번번히 실망하면서도..
예전의 신의탑을 기대하면서 보고 있는데.
이젠 한계인거 같네요..
오랜시간 신의탑 구독자로서
너무 맘이 아프네요..ㅠㅠ",1798,58,비판
"작가 바뀐 거 맞는 거 같다.. 개인적으로 그림보단 스토리나 대사에 집중해서 보는 편인데 시즌1,2때랑 너므너무 다름. 누군가 억지로 작가님 정체성을 이어보려고 하는 느낌이야.",1768,39,비판
"오늘화는 진짜 심각하네... 도대체 누가그린거야....
이해할수가없다 진짜
어렸을때부터 본 만화인데 어쩌다 이지경까지 왔을까
소생이 가능할까 마음이 진짜 아프다
비판으로될 수준이 아닌것 같다.
모든것이 난잡하다.
작가가 감당을 못하는것으로 보인다ㅜ
왜자꾸 새로운 캐릭터를 만들어내는건가요 ㅠㅠㅠ
감당도 못할꺼면서 도대체 왜 새로운캐릭터들을 만들어내는지...ㅠ",1082,28,비판
"오늘의 신의탑 내용
슈우우우우 콰과과과 쿠드드드드 파직

내용 전개1도 없네 이게 도대체 몇주째냐",896,27,비판
하차 해야하는것도알지만 의리로 보고있었는데 너무하네 난 하차한다,663,35,비판
"콰
아
아
아
아
아
아
아
아
아
아
앙
슈
우
우
우
우
우
우
우
우
웅
슈
콰
아
아
아
아
-
-
앙
!
!
!
!!!!",616,25,관련없음
"작가님 정말 많이 참았습니다.
이번 화는 댓글을 달 정도로 진짜 심각하네요.
신의탑 만큼은 1화부터 재밌게 챙겨봤습니다만
이제는 하이랭커와 가주의 위엄도 느껴지지 않을 뿐더러 밸런스가 조금도 아니고 그냥 없는 느낌이네요
이렇게 난잡할 정도로 쓰잘데기 없는 인물들을 만들면서 왜 전개를 질질 끄시는지 모르겠습니다.
독자들이 원하는 게 무엇인지 뻔히 아실텐데요.

가장 심각한 건 오늘 같은 전투씬은 자세히 봐도
어떻게 싸우는지, 이 컷이 뭘 나타내는지 조차도 모르겠습니다. 스토리상의 전개도 문제인데 그 전개 내용 마저도 알아볼 수가 없으면 어떻게 보라는 겁니까... 대사도 정말 대충 만든 것 처럼 느껴지고..
할 말을 잃었습니다.
언제부터 신의탑이 이런 웹툰이 된거죠?

차라리 다시 휴식을 취하시고 돌아 오시는 게 나아보입니다. 시간이 걸리시더라도 지금까지 쌓아온 명성을 지켜주세요.
또 다시 이런 느낌을 받는다면 그 땐 신의탑을 보기 어려울 것 같습니다.
부디 작품을 잃지 말아주세요.",513,23,비판
뒤마가 뒤지게 마즐래의 쥴임말인가요,469,26,작품내용
댓글 반응 보러왔으면 개추 ㅋㅋㅋ,423,25,비판
진짜 더럽게 재미없네,365,27,비판
팔린게 맞음,342,15,비판
그림 개 난잡하네,237,10,비판
돈 벌기 진짜 쉽네ㅋㅋㅋㅋ 최소한의 양심과 독자들에 대한 예의는 갖추시죠,244,25,비판
아니 이건 완전 노잼됬는데 그중에 제일 보기힘든건 역시 전투씬이다 무슨 상황인지 보면서도 모르겠네 갑자기 꺅하고 억하고 도대체 뭐에 쳐맞고 비명지르는거야;; 내 눈까리가 문제인건가 이사람 그림이 문제인건가;;,141,5,비판
