comment,likes,dislikes,
가주한테 패드립박는 넨넨좌...당신은 도대체..,12567,43,작품내용
사랑에 빠져서 배신했다는건 설마 아를렌이랑 V 얘기인가,9279,60,작품내용
"가주가 ""사랑에 빠진 자가 날 배신하는건 익숙한 일이다.""라고 하는거 보면 V랑 아를렌 이야기인거 같은데, 이전에는 로포비아랑 V, 아를렌도 사이가 괜찮았던 듯.

어쩌면 이번 둥지도 가주가 풀어주는 전개로 갈 수도 있음.",6458,75,작품내용
FUG를 견제하라고 했는데 지금 슬레이어임ㅋㅋㅋ,5568,54,작품내용
트라이 메라이가 직접 부리는 7마리의 동물이 있다는게 하나의 포인트네요,3485,109,작품내용
"삼촌의 입장으로써 야마, 둠, 폴마저 안죽고 멀리 떠났으면 좋겠어하는마음이 이해가 가네요 그래서 죽이지않았던거고",3350,27,작품내용
가주 계속 쭈구리고 있던거만 보다가 일어선거 처음 봐서 그런지 생각보다 키가 크네,2570,32,작품내용
"로퍼비이 가주가 왕왕 실험다하고 견족처단명령을 했을듯
이용당한거 알고도 주인 배신하기 싫었던 왕왕은 야스라차한테 자신을 처단해달라고 부탁하고 견족이 끊기는걸 방지하려고
첫번째아들 (둠)에게는 견족의 힘을 나눠줄수있는능력
두번째아들(야마)에게는 지배받지않을 능력
셋째아들(폴)에게도 뭔 능력을 주지않았을까
그리고 야스라차는 이용만하는 로포비아 가문이 싫어서 자하드군에
스스로 입대했을수도 있을거같네요",2250,34,작품내용
야스라챠가 배신했다는 것도 다 거짓이네... 야스라챠는 진심으로 왕왕이랑 떠날려고 했지만 왕왕은 주인을 배신할 수 없었고 배신한걸 들켜서 어쩔 수 없이 왕왕을 포기하고 자식들이라도 살려서 내보내준 거 같음.. 물론 가주 또한 야스라챠도 같이 배신하려는 것을 알았겠지만 고양이의 사고방식이 재밌어서 놔둔듯..,2134,22,작품내용
야마 태어날때 컹 하는거봐 ㅋㅋㅋㅋㅋㅋㅋ,1691,19,작품내용
"가주가 퍼그를 견제하라고 풀어줬는데
야마가 퍼그의 슬레이어가 됐네",1474,29,작품내용
"당연한 이야기지만 역시 고대종이라도 지금 가주에겐 어쩔수가 없는듯

고대종 보고도 넨넨보고 미물이라 하니 ㅋㅋ..

데이터 쿤 에드안이 고대종보고 엄청 세다라고 했지만

데이터처럼 성장기가 아닌 완성형인 가주한텐 그대로 미물이네..",1337,25,작품내용
트로이메라이 일어나니깐 포스가 좀 있긴 하네,1230,37,작품내용
"로포비아 가주가 둥지에서 보고 왔다는 게 큰 떡밥이 될 것 같음
아마 밤일행이 지금 둥지에 갇혀있어서 봉인 풀어주러 가는 애인 것 같음
자신을 이해하지 못한다고 하는 거랑 오랜만에 미물에게 느끼는 감정이었다고 하는게 큰 떡밥일 듯 괜히 나오는 장면은 절대 아닐 것 같음",1198,43,작품내용
뭐야 왜 재밌지?? 오랜만에 시간가는 줄 모르고 신의탑을 봤다,1137,34,칭찬
