comment,likes,dislikes,
와 그러면 지금 야마 몸 안에 고대종 아크리낙 있는거야? 미쳤다 미쳤어,13104,92,작품내용
대충 지금까지 나온 가주들 보니까 죄다 정신병자밖에 없단 생각이 든다 ㅋㅋㅋㅋ,12226,84,작품내용
"전투신은 개선이필요할것같고

스토리는 요새 너무좋습니다",8591,473,칭찬
"이제와서 생각해보면 저런 가주들을 제치고
랭킹 4위였던 우렉은 얼마나 강한거냐ㄷㄷ",7181,111,작품내용
"흠... 그래서 야스라챠는 지금 누구편인거임?
밤편이면 없어진 화이트자리좀 채워줘",4615,62,작품내용
10가주가 아니라 씹가주다 진짜 어떻게 지금까지 나온 가주들 중 정상이 없냐,4443,66,작품내용
"근데 아직 가주들이 많은 모습을 보여주지 않아서 잘 모르는건데 냉혈한척 하는건지 진짜 미물들을 바라보는 냉혈함인건지 잘 모르겠다 구스트앙이나 자하드를 볼 땐 정말 냉혈한 모습만 보였었는데 트로이는 자꾸 자신에대한 충성이라고 하지만 자기를 떠날까봐 두려운 모습들이 보임, 어린 자하드가 미래의 모습을 보고 작은 한 켠에 두려움이있다 했는데 가주들 전부가 자기만의 두려움을 하나씩 가지고 있는게 아닐까 트로이는 그게 자신에 대한 엇나간 사랑인거고",2883,72,작품내용
좀 정신병자같은 가주인데 솔직히 밤이 탑을 바꿔야한다는 정당성을 주려면 가주들이 계속 정신병자같은 행동을 보여줘야됨,2724,44,작품내용
"""너 지금 내가 집착 쩌는 고양이라고 생각하는거지?"" 개웃기네ㅋㅋㅋㅋ 본인도 알고있는거냐고ㅋㅋㅋ",1723,46,작품내용
구스트앙 처음에 나왔을때 싸이코같았는데 지금은 제일 정상인같네 ㄹㅇㅋㅋ,1650,15,작품내용
아크리낙이 야마 몸에 있으면 지금 봉인되어 있는건 누구지...??,1648,52,작품내용
10가주들은 확실히 오랜 삶을 살아서 그런가? 나사가 빠져있네,1580,43,작품내용
가주들의 포스있는 모습 나올수록 우렉이 얼마나 강한지 느껴진다,1418,45,작품내용
고대종 힘 쓰기 전부터 군단과 비빌 수 있는 몇 안되는 슬레이어 세력 중 하나인데 와 나 진짜 미칠거같아 야마가 고대종 힘까지 쓸 거 생각하니까 너무 설레네,1273,54,작품내용
오늘 화 별점테러하면 진짜 정신 나간거다 ㅋㅋㅋㅋ 전성기때 대사 뽑아내는 느낌인데,1311,98,칭찬
