comment,likes,dislikes,
"이번화 요약

슈우웅 콰아아앙

궤도는 바꿀수있지

슈아아ㅏ앙앙",14584,1242,비판
"솔직히 전투장면을 왜이리 확대해서그리시는거에요?

좀 넓게 넓게 그려주실수없음?",13978,1151,비판
그래 이게 비선별인원이지,10398,223,작품내용
먼가 이번 시즌 끝나고 밤 쿤팀에서 나와서 혼자 탑 올라갈듯...,6106,148,작품내용
전투장면은 외주업체줘라,5898,544,비판
"개인적으로 이렇게 빌런으로 주인공에게 묻히기에는 너무아까운캐릭터임 화이트는

가볍게 시리즈상으로 제물정도로삼고 넘기는빌런들은 정말 대충 과거스토리를잡고 진행시켜 없애왔는데

화이트는 다름 아리에혼과의 접점도 확실하게 잡혀 있었고
모든걸먹어치우는 악마가되어 본인을 쓰러뜨리러 돌아오라는 말까지 있었음

아무리 그렇다곤해도 여기서 죽을정도의인물은 절대로아닌거같음 애초에 알벨다인격이 아직 존재하는데도 입다물고 그냥 지켜보고있는것도 그렇고

패하는건 모르겠는데 죽진않을듯 현재 퍼그전력으로 반드시필요한전력임 화이트는

애초에 너무잘생겨써",4983,311,작품내용
어시가 그리는건지 모르지만 작화 진짜 안좋아졌고 전투씬은 알아보기 힘들어요.. 산만해서 집중이 안되는 느낌이랄까,4715,277,비판
진심으로 만화보기 힘드네 큰그림 확대 해논건가 그리기 귀찮은건가?? 작은그림 확대해서 보는 느낌이라 눈만 아프네,3278,279,비판
"어시스트님 제발 전투장면 신의탑 2부 보고 그려주세요
당최 머가먼지 모르겠습니다",2826,155,비판
벌레보듯이 보는 저 눈은 유전인가보군,2612,60,작품내용
"밤은 진작에 이렇게 레벨업 했어야함;;
아직도 선별인원들이랑 붙여놓으면 신의탑 연재 100년걸릴듯",2156,90,작품내용
"라헬이 밤한테서 도망치고싶어했던게 이해간다

면상엔 피철철흐르고 성격은 조울증에다가
존나 악마같이생겨선 견족들 목숨희생시켜가며 스승쳐구하러가선 화이트랑 캐삭빵뜨는꼬라지라니

쟤랑팀먹은 쿤도 대단한놈임",1943,157,작품내용
"아니 밤 와꾸 버프점요... 1,2부때랑 괴리감 너무 심한 것 아닙니까... 볼때마다 괴로움... 말로 형언을 못하겠는데 때리고 싶게 생김",1905,120,비판
전투씬을 보기 힘들게 왜 확대하고 세로로 늘려서 그리냐...휴대폰으로 보는 웹툰의 특성상 보기 ㅈㄴ 힘듬,1413,98,비판
솔직히 중간에 쿤 파트 나오는건 대충 막 넘기고 밤VS화이트만 본 사람 나만 있는거 아니지?,1413,241,비판
