comment,likes,dislikes,,
마루야 급소 축구공으로 맞춰,9519,38,작품내용,작품내용
인생x망이랑 싸움x학에 쓰려던건데 쿠키 또구워야되겠네,5697,70,칭찬,작품내용
"갑작스럽게 살빠져서 더 못하지는 ......
.
.

.
.
.
.
아ㅋ 주인공 버프",4201,49,작품내용,작품내용
저거는 인성 문젠데 안짤리나,3510,24,작품내용,작품내용
와 배에 튼자국 디테일보소.. 나도 살 오지게쪘을때 빨갛게 튼자국 있었고 26kg뺐었는데 아직도 튼 자국 하얗게 그대로 남아있음.. 비만이었다가 살 빠진사람 디테일 ㅇㅈ하고 갑니다,3147,30,작품내용,작품내용
"브라질에서 온 선수 그만하세요 다리 브라질수있어요

엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",2446,47,관련없음,작품내용
저거 맞춘거부터가 쟤도 ㅈㄴ잘하는거 아님?,1649,17,작품내용,작품내용
"다음주 월요일인 9월7일 입대입니다! 가기전에 제일 좋아하는 웹툰에 처음으로 쿠키 8개를 연달아 써보네요... ㅎㅎ
수료식 끝난 다음에는 재밌게 작품 감상하면서 군생활 잘하겠습니다! 작가님 파이팅 하십시요!",877,53,관련없음,작품내용
작가님 하늘에다 뻥차고 3바퀴 돌면 가만안둘거에요,765,15,작품내용,작품내용
ㅈㄴ 재밌어서 쿠키로 혼쭐내주러옴,385,13,칭찬,작품내용
내가보는 축구 웹툰중에 젤 재밌다.,233,7,칭찬,관련없음
그냥 손으로 잡고 뛰면 안되나,158,12,작품내용,작품내용
"은근대위님 보면 아무말도 못하고 걍 ""인성문제?""있어 들을텐데",87,7,작품내용,작품내용
튼살 디테일봐라ㅋㅋ,54,1,작품내용,작품내용
