comment,likes,dislikes,-3.16476047039032,
"가방때문에 알아본거임?
목소리로는 못 알아보고?",75547,589,-3.6569133400917053,-3.0
이제 저 가방때매 들통나겠네 ㅋㅋㅋㅋㅋㅋㅠㅠ 화장하고 저거 매고 간다 학교에,44697,522,-4.564409255981445,1.0
베댓되면 내일 혼자 학교감,35485,2004,-3.3837121725082397,0.0
"ㅋㅋㅋㅋㅋㅋ들켰닼ㅋㅋㅋㅋㅋ

하지만

남주는

언제나 봐도

잘생겼다나나나나난 왜 내 주위엔 없냐?",21704,640,-3.0746692419052124,3.0
"내 ID는 강남미인 후부턴 이런거 자주나오네요
근데 재미있으니 계속 보죠 ㅎㅎ",16891,548,4.951812922954559,-2.0
수호 : (스윽) 나도 화장임,13349,239,-3.1900015473365784,2.0
해골로 걸렸넼ㅋㅋㅋㅋㅋㅋㅋ,9478,133,3.0072537064552307,2.0
1화보면 주경이 대학생때 잘살고있는거 보니까 소문은 안낸듯,8733,129,-3.6067748069763184,2.0
아니ㅋㅋㅋㅋ남주도 화장이랑 꾸며서 잘생겨진거면 다른애들이 과거에 밝았는지 모르겠죠ㅋㅋㅋㅋ얼굴이 달라졌을텐데,6418,146,3.176710307598114,3.0
베댓 학교안간다에 모든걸 걸겠습니다,5329,184,-2.69171804189682,1.0
화장지워주는 남자 처럼 ... (퍽,4649,202,-2.5380653142929077,1.0
혹시이수호가 이쁜애들에게 정색하는게 자신고 화장하고다니는 이유아닐ㄲㅓ요? 자신이 과거에 그만큼 이쁘고 멋진 애들에게 고통받고 버림받아서 주경이처럼 화장을시작한거고..,4567,463,3.0799493193626404,3.0
음성 인식 장애일수도 이짜나,3978,171,-4.333630204200745,-1.0
님들 이작가님 초심부터 지각이였습니다. 초심 타령하지 마세요,415,57,-4.339734613895416,-3.0
솔직히 신작은빨리나오던데 이건좀ㅈ늦게나옴 ..,27,6,-4.3365278840065,-4.0
