comment,likes,dislikes,-3.16476047039032,
좋아요 누르면 중간고사 평균 95점 넘는다,104269,5877,4.895142018795013,0.0
쟤도화장빨ㅋㅋㅋ..,57375,2341,3.218397796154022,1.0
뭐든 얼굴형 예쁘면 반은 먹고 들어가는듯,44845,564,-4.82963353395462,2.0
"근데 저런 사람은 세상에 없어..저러려면
얼굴형되고 콧대높고 몸매 타고나고
피부가 그냥 애기 피부여야 됨ㅋㅋㅋㅋㅋ
다들 환상깨길..",41688,822,3.889862298965454,2.0
남자도 화장한거면 반전인가요?,20892,613,-3.551822602748871,2.0
작가님 얼른 다음꺼 그려주세요.. 쿠키 구워놓고 있을게요,13530,351,-3.798329532146454,5.0
ㅋㅋㅋㅋㅋ화장 잘했다구 바로 본판이 이쁜듯 나오는거,12954,257,4.005531072616577,3.0
"지금까지 여신강림을 사랑해주셔서 감사합니다.
다음주부턴 남신강림이 연재됩니다.",12685,275,4.91163969039917,2.0
어차피 본판예쁜거면 쌍수하고 눈썹타투해 ㅋㅋㅋㅋㅋㅋ 속눈썹연장이랑 피부관리꾸준히하면 본판이나 화장이나 큰차이없겠고만 ㅋㅋㅋㅋㅋ 안면비대칭은 오늘도 운다,10780,231,3.7074702978134155,0.0
얼굴형이랑 헤어라인이 이쁘잖아..,9197,175,-2.7041223645210266,2.0
계속남주얼굴만쳐다보게되네...진짜잘생겼당,5258,143,4.944552779197693,4.0
뭐 또 남주랑 같은학교겠지?,5211,166,-4.626344442367554,-1.0
쟤 베도랑 비교해서 넘 잘생겨짐ㅠㅠㅠㅠ,3697,102,4.877828657627106,3.0
베댓 타이밍인데 뭐라 쓰지?...,3939,389,-3.7953463196754456,0.0
이제 3화인데 1위 찍은거 실화냐,91,1,-4.546253681182861,4.0
