comment,likes,dislikes,-3.16476047039032,
모지...워너원 넘잘그리셔따..,86711,1406,3.0498436093330383,5.0
미친 작가님 워너원 개잘그리시네,48777,1301,-4.11895751953125,5.0
못알아볼거같은데ㅋㅋㅋㅋ,38691,611,3.40642511844635,4.0
저 정도면 화장이 아니라 변장인데,39026,1096,3.605656325817108,4.0
다니엘 오빠 퀄리티보소...ㄷㄷ,28372,1530,4.397828578948975,5.0
작가님 최소 워너블ㅋㅋ,25075,1299,-3.130762279033661,4.0
다니엘..박지훈..옹성우..보다가 놀랐땨..너무 이쁘댜..,23153,1190,-3.518647849559784,4.0
다니엘하고 지훈이 컷에서 멈춘사람 손,17617,1408,2.881537675857544,4.0
별점 왜 이렇게 낮게주는거임??,12037,573,4.041956663131714,5.0
강다니엘 박지훈 옹성우다..............♡,10813,1373,2.973867356777191,4.0
너블들 여기서 워너원 얘기 그만!,10999,2265,-4.56934779882431,0.0
작가님 언제봐도 진짜 잘 그리심...,7615,240,-3.187601864337921,4.0
해당컨탠츠때문에 나갔다 들어오신분 손 !,7648,677,2.9690393805503845,4.0
이런 좋은 웹툰에서 워너원 언급하는건 워너블로써 죄송하다고 사과합니다 그전에 저희측도 잘못했지만 워너원 못생겼다 워너원이 니들 밥먹어주냐 등 기분 나쁜댓들 을 보았네요 진심 불쾌해요 워너원으로 스트레스도풀고 저같은 경우는 얼마전 크게 다쳐서 다친뒤로 웃지를못했는데 워너원영상같은걸로 다시 웃는 사람으로 변했네요 이웹툰이 제가 좋아하는 웹툰이고 웹툰에서 워너원 언급한건 사과드려요 하지만 워너원에대해 나쁜말을 쓰신분은 조금이라도 반성하는 마음을 가지시면 좋겠습니다.,29,4,-3.425160050392151,3.0
헤에 워너원 얘기로 댓글창 도배되고 웹툰 얘기 하나도 없으니까 그만 하라고 분명히 누가 말했는데도 계~~속 하는 근성 오졌쬬?? 그러고서 불편하셨는지 비추 찍는 인성 조졌쬬??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,29,8,-4.856565594673157,0.0
