comment,likes,dislikes,
솔직히 전투신이 좋지는않음 인정할껀하고가자,8767,930,비판
트로이메라이에게 반감을 가진 인물인걸 보니 고대종 중 하나이지 않을까?,6765,84,작품내용
밤하우스 입주자 1명 추가 예상된다...,5673,66,
"아니 간만에 나온 하저씨 전투신을 이런식으로 날려..?
퍼퍼퍼펑펑펑쿠왕쾅쾅 크윽 펑펑펑퍽퍽퍽
뭐임 이게",3386,236,비판
트로이메라이 이야기하는거 보니 트로이메라이가 부릴려다가 못부려서 봉인시킨 고대종 아닐까,2564,72,작품내용
"작가님
제 생각은 차라리 전투씬을 줄이고 다른 씬 (예를 들어 왕왕같은 과거 씬이라던가, 차라리 밤 쪽이든)을 넣으시는 게 나을 것 같아요... 이래 저래 감으로 알아보고는 있는데... 확실히 전투씬은 개선이 필요해 보여요...",2002,338,비판
"전투씸 왜 계속 못그리는건데?

그렇게 확대해서 그리지 말라고해도 고집쎄네",1819,356,비판
"전투씬 수준 진짜 실화냐....
중간에 무릎부분도그렇고....
어휴....",1503,216,비판
"제가 보기에는 전투씬이 그닥 좋아보이지 않네요. 사람마다 취향 다르겠지만 너무 난잡하고 흐름을 알아보기가 힘들어요. 캐릭터의 기술마다 특징적인 면이 있어야할텐데 다 똑같네요.
과거 스토리는 다 끝내고 사이드 넘어가는 게 좋지 않았을까 싶네요. 몰입감이 떨어져서요.",1297,146,비판
이쯤되면 좀 작가님이 안쓰럽다... 비판할건 비판하는게 맞긴 한데... 걍 인간적으로... 일주일동안 힘들여서 한 화 그려 올렸는데 베댓들이 다 못그렸다 하고만 있으면 좀 김빠지겠다ㅜㅜ,1265,135,비판
다좋은데 전투신은 여전히 처참한수준,1076,148,비판
"초등학생때부터 봐왔지만 어느새 군필이된 애독자입니다. 신의 탑 너무 좋아하지만 그래도 한말씀 드리자면...

물론 전투씬도 상당히 부족하지만 더 큰 문제는 너무 심한 밸붕 문제입니다. 하진성은 랭킹 100위권인데 10가문중 한 가문의 10위권정도는 그냥 썰어도 부족합니다...단순 계산만 해도 10가문 x 각 가문 10위권 = 100명입니다. 100위안엔 가주들, 기타 비선별인원들과 자하드의 공주들, 군단장들, 지배자들이 득실거릴텐데 거기다 100위권 하진성이 저 지파장을 못이기면 각 가문의 10위권들이 싹다 100위엔에 들어가야 된다는 얘긴데..

애초에 위로 갈수록 실력 격차가 커지는게 탑의 랭킹인데 60위 에반켈이 100위권들과 비슷한 모습을 보이는거 부터가 잘못된거 같습니다",994,122,비판
"그냥 로 포 비아 가문 때문에 전투씬이 이상해진 것 같은데 1부엔 육체파가 많아서 전투 이해가 쉬웠고 2부엔 본격적인 신수대전이라 느낄만큼 기술이 화려했는데 로 포 비아 얘들은 뭔놈의 의태 거리며 털 복슬복슬해서 전투씬이 난잡하고 그렇다고 소환사를 먼치킨마냥 씨게 그릴 수는 없으니 소환사 밸런스 조절하다보니 주먹다짐이 된거고 ㅋㅋㅋㅋ진성아저씨도 칼라반이 팔 부숴서 아직은 약하다는 컨셉 잡아야 하니 1부 탑 vs 탑, 2부 미드 vs 미드같은 웅장한 싸움에서 갑자기 서폿 vs 서폿된듯 ㅋㅋㅋㅋㅋ",881,44,비판
"전투신은 진짜 만화연재하는동안 한번도 확대를안한적이없어...

진짜 돋보기신가",854,123,비판
"10가주 외에 자신의 목소리를 들을 수 있는 자라고 했으니 10가주 승탑기에 존재했던 것같음 트로이메라이한테 원한이 엄청 많은걸 보니까 뭔가 동물? 인간 외 생명체인거같고, 자신이 신수 어디든 다 있다고 한걸 보면 신수를 지배하는 고대종 아닐까?",625,45,작품내용
