comment,likes,dislikes,
"SIU: 자 이제
불만 없제?",12763,974,작품내용
"[다음화 예상]
화이트 : 조금만 늦었으면 위험했겠군...",10109,167,작품내용
"결국엔 저게 아리에가문을 상대하는 유일한 방법 아닌가?
회피 불가능한 검을 온몸으로 받아내면서 공격하는거",9463,90,작품내용
"걍 전투신 장면 자체가 시야가 너무 좁음 그러니 독자들이 답답함을 느끼고 전투신이해가 어렵다고 하지
좀 넓게넓게 갔으면 좋겠음
1로 전체를 보고싶은데 2배로 확대해서 보는느낌임",7872,510,비판
하천희 나올때 또 밤 전투 다음주로 미루는줄 알고 긴장했으면 개추 ㅋㅋㅋㅋ,5892,159,작품내용
"스타더스트 메테오샤워 왜 국화같이 생겼냐
화이트 장례식 해주는거임?",3956,92,작품내용
평소 전투씬 직관성은 개나주고 이펙트만 떡칠에 또과과과광만 잔뜩채워넣으면서 정작 힘줘서 그려야하는 기술은 왠 말미잘을 그려놓고있으니 속이안뒤집어지겠냐고 아ㅋㅋㅋㅋ,3510,455,비판
물타기가 아니라 진심 싸우는장면 보면 어떻게 움직였는지... 동작이 어케 흘러가는지 상상이 1도 안됨... 거기다 상반신에 얼굴만 클로즈업되서 마주보고 싸우는데.. 도대체 뭘 보라는거지...,2865,168,비판
옛날이랑 다르게 지금은 그냥 애정과 의무적으로 보는느낌,2159,138,비판
"솔직히 너무 쓸데없는 전투씬도 많고 전개가 너무느림..
그리고 옛날같은 기대감과 긴장감이 없다해야하나 ..뭔가 많이아쉽네",1939,191,비판
"카이저 때나 데이터자하드 때랑은 다르게
전투씬을 효과음과 이펙트로 떡칠해서 덮으려는 것 같습니다.
컷은 또 쓸때없이 크게 그려서 스크롤 잡아먹고요
안그래도 전투씬 어지러운데 컷도 크게 그려서 보기도 힘들어요.
딱히 화려하지도 않고요.",1723,91,비판
"근데 요즘 네이밍센스가 왜이리 저급해졌지

퍼그의 네임드 위대한 견족의지배자 베이로드야마의 아버지이름이 왕왕?

베이로드왕왕?

아니 무슨 옆집똥개이름도아니고

오늘은 뭐 필살기이름이 메테오샤워?
구작게임 필살기같네 요즘 왜이러시는거죠",1527,138,비판
"아 근데 작가님 하진성하나 구하는스토리에도 이리 욕을드시는데

10가주급들 맞짱뜰때는 어찌감당하시려고 그러시나 정말걱정이네

애초에 라헬,아를렌과 V,자하드과거 풀능력은 되시는거에요?
그거에 독자들이 정말큰기대를 걸고있는데
진짜 재차말하는데 걱정되네요",1160,162,비판
"솔직히 요즘 전투씬그리시는거 초등학생이 크레파스로 그림그린거 보는느낌이에요 스토리가문제가아니라
진심 2부와 같은작가맞으신가요

진심 드래곤볼 z와 슈퍼 보는느낌입니다",1173,197,비판
미리보기는?,645,40,관련없음
