comment,likes,dislikes,
이야 살다살다 신의탑에서 가주가 가주를 발로 까는 장면을 다보네 ㅋㅋㅋㅋㅋㅋㅋ,3889,32,비판
이열..갑자기 가주 2명 모습 공개 훅 들어오시네..,2644,23,작품내용
"아리에혼이 화이트때 뒷모습정도만 나왔지 얼굴까지 제대로 나온건 처음이고...
연이화가 연이랑의 직계라그런가 그냥 복사버전이네
밤스토리보다 10가주 스토리가 더 재밌네요...",2030,27,작품내용
이때 아므즈가 V랑 아를렌 이야기를 해서 분위기 싸해지고 가주들 사이의 갈등이 다시 생기는건가... 계속 창밖을 본다는것도 그렇고 뭔가 스토리가 있어보이는데,1655,30,작품내용
확실히 시우는 되도않는 전투씬이나 밤톨이 안에 이것저것 넣는것보다 인물들 서사 꺼내놓는게 좋음. 그냥 설정만 계속 까도 다시 위로 복귀한다,1272,32,작품내용
아무리 그래도 작가님이 잊었겠냐....이사건 계기로 이름을 바꾼걸수도있지...애들아 좀 제발...햐......,815,45,논쟁
아리에 혼 생각보다 밋밋하게 생겼네 ㅋㅋㅋ,796,33,작품내용
"아니 공개 프로포즈는 좀...
차일만했다 ㄹㅇ 친구들 다 불러놓고 그러는건
너무하지...",716,29,작품내용
오늘 화에서 가장 의외인게 트로이메라이의 '우리'에 10가주만 있는건 아니었네,649,16,작품내용
어차피 원작에 안나온 설정은 바뀔수있는거아님??,540,15,논쟁
연 가주 이름 연 한아 아니였나?,452,44,작품내용
나중에 본 스토리에서 에드안 나올때도 번개 치겠군,387,17,작품내용
아므즈는 어떠한 일에 대해서 얘기해서 가주중에 누군가에게 살해당함 근데 엔키두가 그걸 구하려다가 오해를 하게 되서 엔키두를 봉인하게됨 엔키두는 친구라고 생각햇던 로포비아한테 봉인당하게됨 그래서 저번에 나왓던 과거회상에서 모든 진실을 알게된 로포비아는 자신의 잘못된 판단때문에 사랑했던 연인 그리고 아꼇던 친구도 잃게되서 자신의 기억을 잊기로 함 그래서 지금 사랑을 갈구하고 부리던 동물들에 대해서 집착이 심해지게 된것같음,364,32,작품내용
중간에 에드안 님 검을 빼시면이 아니라 에리에 혼님 검을 빼시면 아님?? 에드안이 검을 쓰나?,324,47,작품내용
"최신화 평점은 또다시 밤레기가 전투를 시작했기때문ㅋㅋ
작가님께 진지하게 묻고싶은게 있습니다
제가 고등학교1학년때 1화를 봤는데 이미 아들이 7살이네요...미리보기 최신화 밤레기는 힘을 처먹기만 처먹고 또 그 힘 빌려다 쓰는데 전체도 아니고 '일부'만 빌려준다하고 제가 60살쯤 되면 우리 밤레기는 힘의 50%정도 쓸수있는 상태가 될까요?? 뒤마정도는 뒤지게 패야 기대감이 있지 않을까요? 또 '아슬하게' '예상치 못하게' 실수나 헛점을 파악해서 이기나요?? 너무 답답합니다",228,23,
