comment,likes,dislikes,
이번 화 옛날 신의탑 느낌나고 좋다...,2753,103,칭찬
기린:실패하면 반역 성공하면 혁명 아닙니까!!!,1962,38,작품내용
나쁘지는 않은데 홍등가 왕자 꺼냈으면 그것에 관한 이야기좀 풀어주지...,1583,136,비판
전투씬 못그리면 오늘처럼 간결하게 넣는게 맞다. 옛날 느낌 나네,1459,37,칭찬
난 이번화 심오하고 진지하고 진짜 신의탑같아서 좋았은데 평점 왜이래,1140,66,칭찬
"이번화는 진짜 내가 알던 SIU가 돌아온 것 같은 느낌이다
획책같은 어휘를 사용하는 것도 그렇고 이번화 내에서는 전체적으로 메인 스토리 진행에 걸맞는 무게감있는 진행과 대사 등장인물간 감정의 교감에 대한 표현까지
고루로로 변한 엔키두도 이제까지의 랭커들이 보여준 뭔가 불쾌할 정도로 어리숙한 능청과는 다른 느낌이고
전체적으로 완성도가 확 오른 것 같음",749,48,칭찬
"저렇게 차기 10가주니 뭐니해도 가주 중 1명이 맘 먹으면 쓸어버리지않나?
짝퉁 신원류 써도 발릴텐데",668,15,작품내용
"벨레리르가 있던 곳(붉은 등이 걸려져있던 곳)이 홍등가네요

홍등가라는 이름에서 알 수 있듯이
10가주들이 방탕한 생활을 하다 자손이 생겼고 이들을 후계자로 정한듯. (자하드는 아이를 가질 수 없으니 공방의 힘을 빌린듯) 처음에는 후계자들에게 사랑 주었지만(기린이 말한 가주님의 사랑은 이미 오래전 우리가 아니라 다른 자식들에게 주어져남아있지 않았다라는 말로부터 유추)
어떤계기로 10가주들에게로부터 버려졌고
버려진 그들이 스스로 10가주와 왕이되려 하는듯
로포비아 가문의 상속자는 엔키두가 죽여서
홍등가에서 태어난 후계자 대신 기린이 다음 가주가 되려하는거같네요",531,40,작품내용
"신의 탑 웹툰에서 항상 홍등가의 왕자 라고만 해왔어서 자하드만 이용한 곳인줄 착각해온거 아닐까?

사실 홍등가는 다른 십가주도 이용 해왔던거지. 벨레리르는 실제로 구스트앙의 직계자손이지만 홍등가 출신이기에 아무도 몰랐던거고 치부를 마주한 구스트앙은 벨레리르를 제손으로 없애지 못한듯.",395,15,작품내용
그러니까 저 홍등가 왕자가 자하드를 대체할 놈이라는거고 '대장'이라고 지칭하는 것도 그때 그 모험하던 시절 자하드가 '대장'이었던걸 뜻하는 거고,382,14,작품내용
"10가주 자하드에 관한 대사들을 보면 거의 뭐 가상세계에 억지로 갇힌 느낌이 난다고 해야하나?
가상현실로 넘어온 그들에게는 달달하지만 더 이상 있고 싶지 않는 곳이고 탑 내부에서 나고 자란 사람들은 그런 가주들을 죽었다 깨어나도 절대 이해 못하는... 아마 열차 데이터 층과 같은 복선 아닐까 싶음",290,8,작품내용
오늘은 진짜 오랜만에 괜찮았는데요. ㅎㅎ나 간혹 이상한 말투들 예전의 신의탑에는 없었잖아요. 현실세계의 트렌드에 작품 세계관이 맞춰갈 필요는 없잖아요. 신의탑 세계관의 분위기에 맞춰가면 좋겠어요. 작가님 안에 그 느낌이 아직 남아계실거라고 생각해요. 오늘 편 잘봤습니다.,276,17,칭찬
난 티아라 좋은데 티아라 전투신나왔다고 엑스트라 전투신 별로라는애가있네... 티아라 정도면 이번 에피소드 핵심인물인데 ㅠ,259,8,칭찬
"여기서 다시 알고 가야할건
우렉과 월하익송은 이번 전쟁에 개입한 외부 존재
즉, 홍등가의 왕자와 새로운 10가주가 되려는 세력들을 사냥하기 위해 왔다는거고

그와 반대로 루슬렉은 그들 세력을 돕기 위해 왔다는 것임
왜냐? 홍등가는 현재의 10가주와 자하드 체계를 붕괴시키려는 목적에서 퍼그와 같은 방향을 갖고 있음

로포비아와 포비더의 2가주가 게임에 묶여있는 사이에 홍등가의 세력이 나머지 인원들을 정리하다
우렉 vs 홍등가 + 루슬렉 의 대치 구도 이후
게임이 끝나면서
밤이 가시를 얻고
2가주는 과거의 기억을 되찾으며 밤의 편을 들게 되고
루슬렉은 암전으로 공간을 가르며 홍등가의 세력을 도망가게 만들어주는 그림이 나오지 않을까 싶음

제아무리 홍등가 세력이 강하다고 해도
우렉과 가주가 둘이나 있는 곳에선 파워 인플레에서 밀리기 때문에",247,16,작품내용
모든 가주가 이 사실을 알았다면 개빡치겠는데? 벌레나 미물 따위가 본인들과 동급이라 생각한다니.. 분열됐던 가주들이 한 마음 한 뜻이 되길 바라는 것도 아니고,207,9,작품내용
