comment,likes,dislikes,
하이랭커 지파장 둘을 순삭한 뒤마를 잡는 쿤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2984,54,비판
"쿤이 강해야 한다 = 주인공 최측근 동료니까 당위적으로는 맞다.
근데 어떻게??? 저 은어가 대체 뭔데 가주 초직계인 가문 서열 3위를 저렇게 몰아치는데 ㅋㅋㅋㅋ 만약 우렉 급이 힘을 줘도 그 그릇이 지금 선별인원급이면 그 힘을 다 쓴다는 것도 말이 안되는데 지금 쿤이 한건 슬레이어들도 못하는 일을 은어힘 잠깐 받고서 해내는 거다. 항상 느끼는 거지만 당위만 느껴지고 디테일한 부분 연출이 정말 아쉽다.",1924,50,비판
"뒤마vs하진성=뒤마 승
뒤마vs지파장×2=뒤마 승
뒤마vs선별인원 3명 =선별인원승

킬포: 1.가장강한 밤은 쳐맞기만함
2.라크 아무것도 안함
3.쿤 물고기 소환. 펑. 끝",1627,42,비판
1점주기도 아까운데 정상인가요?,1190,82,비판
"쿤이 얻은힘인 화이트힘과 은어가
밤의 붉은바리, 푸른바리, 리바이던, 가시,
에반켈과 하진성의 가르침, 밥솥레볼루션보다 더 쎈건가....",953,22,작품내용
진짜 개판이네 ㅋㅋㅋㅋㅋㅋ,561,25,비판
"에반켈은 연가문의 가주가 고대의 주인한테 특별한 불꽃의 힘을 선물받았다고 했고 근원의 불꽃의 힘은 소수의 연가문 직계혈손을 통해 힘이 발현된다고 했음.

연운을 통해 받은 저 은어의 힘이 일종의 고대종의 힘이고 화이트의 주술의 힘을 통해 뒤마에게 은어 힘을 주술의 형태로 발현해 낸거라면 고대종 힘이니까 말이 안되는 설정은 아닌데...

근데 고대종 눈에 불을 켜고 찾는 자하드나 트로이메라이가 이성잃고 힘 개방한 라크도 그렇고 뒤마 갑옷 원킬 낸 저 은어도 그렇고 감지도 못하네요...
이럴거면 고대종 들은 왜 숨어지내지...",568,34,작품내용
"솔직히, 밤이 죽기직전까지 몰아붙일 상대라면 전력 꺼내야정상 아닌가? 겨우 붉은 바리 의태하나갖고 싸우고 있네... 밤이 전력내서 몸에 구멍이라도 뚫어놓고 쿤이 주술쓰는 전개가 밸런스상 맞는거같은데 라크각성부터 스토리가 너무 아쉬움",524,16,비판
아 차라리 셋다 랭커 찍은담에 이렇게 그렸으면 ㅇㅇ 주인공버프랑 친구버프인가보다 하는데 c급 선별인원? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제발 내신의탑 돌려줘ㅠㅠ,496,20,비판
작가가 진짜 바뀌긴 했나보네,442,15,비판
화이트 본인이 와도 못이길 상대를ㅋㅋㅋㅋㅋ,383,10,작품내용
클린스만 감독이 스토리 짜고있는듯,320,12,비판
쿤 라크가 강해져되는건 맞는데 솔직히 죤나 납득이 안되게 진행을 시켜버리니까 독자들이 어이가없지 ㅋㅋㅋㅋ,293,10,비판
"연가문의 가주가 받았던 특별한 불을 직계자손인 연운이 물려받았고 그 불을 망치로맞았던 쿤도 은어의 형태로 어느정도 사용할수있다고 치고
고대의 하이랭커중에서도 주술의 스페셜리스트였던 화이트의 주술적 힘이 쿤에게 많이 들어왔다고 치고
뒤마의 그 불타던 육체가 주술적인 힘으로 만들어졌기 때문에 강력한 주술로 인하여 뒤마의 분신?을 잡아낼수 있다는 설명정돈 해줘야 납득이 가지 그냥 넌 대단한 은어야! 하고 포비더 2인자 뒤마 뚝딱 하면 당연히 독자들이 납득을 못하지",240,16,비판
뭔소리인지.. 전개가 이랫다가 저랫다가... 돈주고 보는 웹툰은 아이다,204,9,비판
