comment,likes,dislikes,
호감 비센테 대환영이지ㅋㅋ,10039,142,작품내용
그래도 확실히 전투신은 개선된듯,7973,323,칭찬
"빈센테는 지옥열차에서 밤에게 협조했던 화이트의 분신 중 하나 입니다.

밤 성격상 빈센테에게 화이트가 모아 온
힘을 다시 쥐어주며 화이트를 억제하고 빈센트로 하여금
전투에서 도움을 받을 것 같기도 하네요.

빈센테의 전투 스타일은 수비형.
밤이 지금 가지고 있는 푸른 방패를 더 효율적으로
가르쳐 줄 인물일 수도 있을 것 같습니다.
또는 하츠의 스승이 되거나.

어쨋든 지금 빈센트의 포지션은 밤 팀에게
필요한 자리인 것은 맞는 것 같습니다.",6599,456,작품내용
"그동안 화이트 코인에 탑승하신 승객분들께서는
신속히 비센테 코인으로 환승하시길 바랍니다.
다시 시작하죠. 떡상각은 곧 옵니다.",5487,133,작품내용
화이트 자살 안하고 내면으로 도망친것만 봐도 확실히 신의탑에서 멘탈은 갑이다 툭하면 부서지는 밤과 다르게 지옥열차에서 처발리고 숨겨진 층에서 무시받다가 전성기 시절의 힘을 되찾았는데 다시 도르마무 이러고 자살 안한게 대단한데?,4671,91,작품내용
"난 애초에 밤의감정선이 도대체 이해가안감
애가 조울증이있는지 감정이 주체가안되나..
벨붕인지 뭔지 모르겠으나 이겼으니 다행이지만

댕댕죽었을때도 어쩔수없는일이다 나는 위선자였다 하면서 그냥넘겼던놈이

프린스랑 아크랩터죽었다니깐 눈깔뒤집혀서 날뛰고앉아있네
애초에 프린스 20층 선별인원 등쳐먹은 애비밑에서 굴러먹던 그리 좋은놈도 아니었는데 어느새 세탁되선...

애초에 졌으면 지위해서 목숨걸고 싸워준 견족들은 뭐가됨?
밤 성격좀 제대로잡아주세요 둥지입장전에는 다집어던져가며 스승구한다매요 다음에도 동료 살해 당했다고하면 눈깔뒤집혀서 캐삭빵뜰껀가요",3215,207,비판
팩트) 비센테 나와도 다른 애들 너무 세져서 할 일 없음 ㅋㅋㅋㅋㅋ,2186,73,작품내용
"밤 파워업에는 온갖스토리로 몇년을투자했는데 쿤,라크는 이렇게 한번에 끝난다고? 개연성도없이?? 말이되나?",1925,268,비판
쿤 화이트힘 흡수한걸 너무 당연하듯이 느끼는거아닌가..?,1745,97,작품내용
근데 비센테가 화이트가 내면으로 도망쳤다고 하는데 원래 호아킨이라고 해야 맞지 않나? 화이트는 몸 차지한 호아킨 부르던거고 형제끼리는 원래 이름 불렀던걸로 기억하는데,1396,59,작품내용
"어째 본인만화 설정을 작가본인이아니라 독자가 더잘알고있지?
만화를 그리는입장이라면 뭐든다 꿰고있어야하는거 아닌가?

랭커의 설정은 선별인원들이 개기지도못하는 그런 초월적인존재가 아니었던가? 어째...

그리고 화이트가 가지고있던 식혼의주술은 고대의악마와 호아퀸이 둘이서만 비밀리에 계약하여 남은 4인의 형제는 사용을못하는 호아퀸이 그야말로 중심이되는주술 아니었나요?

잊으신건가요 비센테가 절대로 주인이될수없다 했었는데...
그리고 만약에 밤이 주술통째로 삭제시킨거면 5인으로 나뉘어지는게 맞는거구요

어떻게 독자가 더잘알고있지ㅋㅋㅋㅋ

이상황 뭔가 문제있는거같은데",1185,118,비판
"애초에 화이트가 행한 주술은 5명의 아리에 가문을 합치는게 아니라 호아퀸이 나머지 형제들을 흡수하는게 아니었나? 호아퀸이 숨으면 비센테가 나오는 공존 형태는 아니었던거 같은데 작가가 자기가 만든 설정을 이해 못하는건가?

게다가 밤은 건들기만해도 주술을 해제하는 ㅆ사기 능력이 있는데 그럼 화이트도 닿자마자 주술 무효화돼서 힘 다 잃어야지 작가는 자기가 주인공한테 잡다한 사기버프 다 넣어놓고 그걸 개연성없이 자기 편한대로 설정오류 신경도 안쓰고 꺼내쓰나?",1201,139,비판
"2부182화
호아퀸대사

처음부터 이 주술은 너희를 희생시켜 나를 슬레이어로 만들기 위한 주술이었던 것이다!
왜냐하면 그 악마와 계약을 한 건 이 중에 나 하나뿐이기 때문이지!!
'중심'은 처음부터 '정해져'있었던거다..!!

라고 합니다.",1006,33,작품내용
다른 건 다 둘째치고 호아퀸 힘을 셋이 나눠받은 걸 너무 당연하게 생각하고 있는 거랑... 그걸 받았다고 갑자기 날개달려서 하늘 휑휑 날아다니는 게 약간 이해가 안돼요... 요즘 들어 설명이 너무 부족해진 느낌이에요,718,37,비판
"아니 이게 무슨뭔데 비센테 영혼 아예 사라진거 아니었냐고... 힘을 뺏겨서 호아퀸으로 돌아간거지 시간이 거슬러올라간게 아니잖아..,,? 애초에 비센테 자아가 살아있을 수가 있냐고 그랬으면 달러쇼때인가 백천경에 찔렸을 때 나왔어야지!!!!!그 때 완전히 흡수해서 못나온다고 그랬으면서 이게뭐임 진짜 어이없고 베댓들 말처럼 작가님 설정 잊으신 것 같다.. 설정 정리하는 어시스트 따로 고용하시던가 해서 저 방대한 세계관 좀 어떻게 정리하고 스토리 정비해서 다시 와주셨으면 ㅠㅠ3부는 자하드의 공주 이야기라고 해놓고 100화가 지나도록 아직 야마 얘기가 끝나지도 않고 있잖아......",652,82,비판
