comment,likes,dislikes,
"이전에 야스라챠가 트로이메라이는 항상 자기 기억하고 싶은 대로만 기억한다고 했음.
지금 나온 장면은 트메가 스스로 설정한 자신의 기억, 즉 진실을 왜곡해서 기억하게 된 기억이고
실제로는 트메가 아므즈 죽였을듯.
고로 엔키두는 누명을 뒤집어 쓴 것이므로 트메를 원수라고 칭하는 거고 대외적으로도 엔키두가 범인으로 알려졌으니 구스트앙이 엔키두에게 그날 누굴 죽였냐고 물어본 것 아닐까",5106,54,작품내용
평생 사랑했던 연인을 칼로 난도질해 죽인 친구를 그냥 감금만 시킨 트로이메라이 인성 재조명해야되는거 아니냐,3378,49,작품내용
"4부는 ㄹㅇ 진짜 십가주, 탑의 3군주, 자하드 공주들 이런 스토리만 나왔음 좋겠다 ㅋㅋㅋㅋ 개재밌노",2322,75,칭찬
ㅋㅋㅋㅋㅋㅋㅋ 엔키두 감금 당할만 했네 그렇다고 저기서 아므즈를 죽여버리냐,1290,35,작품내용
아무리 화가 났다고 해도 십가주의 부인을 그것도 눈앞에서 난도질한다고? 이건 공방의 대선생이 엔키두를 만들 때 무언가 설계한게 아닌가 싶음.,1122,20,작품내용
근데 10가주랑 같이 승탑한 사람이 저렇게 쉽게 죽는게 말이 됨??,1057,35,작품내용
"트로이메라이가 무의식적으로 엔키두 조종한거 아님?
엔키두가 아예 인간이랑 인간이 아닌거의 중간이다보니깐 가능할듯",1001,16,작품내용
"트로이메라이의 감정이 엔키두한테 전해지고 ""부림""당한 거 아님?",896,12,작품내용
트로이메라이 난도질당할때 머햇노?,588,30,작품내용
"그러니까 문을 잠근 이유는 십가주랑 자하드만 알고
그 외 동료들에겐 설명조차 안했다는거구나",519,8,작품내용
꼭데기...꼭대기... 한 번도 아니고 여러 번....,454,18,비판
"요즘 신의탑 진짜 물올랐다..
오랜만이네 신의탑 나오는거 기다리는거
쿠키 굽는 맛도 난다",460,27,칭찬
아므즈가 약한건가 엔키두가 강한건가,283,18,작품내용
트로이메라이 감정 표현 한번 보고싶네. 과거 회상씬에도 아므즈한테 웃어준 적 없는거 같은데 아므즈가 죽으면서 분노하는 모습 보여주려나?,270,12,작품내용
길가메시 서사시에 나오는 엔키두 마냥 억울한줄 알았는데 걍 사이코페스네 ㅋㅋ,268,16,작품내용
