comment,likes,dislikes,,
그림체는 정감가는 예전 그림체인데 개그는 현대적이라 조화가 새롭다,9438,41,칭찬,비판
어째서 맞은 선배보다 때린선배가 더 걱정될까?,8077,21,작품내용,관련없음
전형적인 유튜브형 공격수들 ㅋㅋ,3522,33,작품내용,관련없음
마루 진짜 멋있네 ㅋㅋ 이런 재밌는 축구만화 오랜만인듯,2298,20,칭찬,작품내용
영원히 축구하기 싫나보네 이사장 아들 때리는거보면 ㅋㅋㅋ,1928,12,작품내용,작품내용
트래핑하나를 이리 멋지게그리면 나중에는 ㅋㅋ 기대가되네,1342,12,칭찬,작품내용
축구하는 장면 안나와도 소름 돋니,955,8,칭찬,작품내용
지가 발려놓곤 화풀이 ㅋ,824,4,작품내용,관련없음
작가님도 만화의 기본기가 정말 탄탄하십니다,776,30,칭찬,칭찬
작가님 그림 정말 잘 그리시는듯.,750,6,칭찬,칭찬
성시우 이사장 아들? 손자?라고 했는데 선빵을 때리네,571,33,작품내용,작품내용
갑자기 성시우탓하는 자만충,519,30,작품내용,관련없음
작가님 기본기 체고#~,381,4,칭찬,비판
