comment,likes,dislikes,
"작화붕괴, 난잡한 인물구성, 늘어지는 스토리들에 대한 독자들의 비판은 바램이자 피드백이고, 작가가 생각해 볼만한 문제라고 할 수있고, 작품 퀄리티에도 도움이 됨

그런데 작가가 노력을 하지 않느냐. 그건 아님. 작가가 손목이 아픔에도 작화개선점이 조금이나마 보이고, 스토리도 살려보려 애쓰는 게 느껴짐

결국은 잡다한 인물에 대한 애정을 잠시 접고(야마,호크니등) 가주, 우렉, 밤 위주로 스토리 풀어가면 헬퍼나 노블레스처럼 아직 늦지는 않았다고 봄",11721,750,칭찬
점점 그림체 좋아지는것 같다 다시 예전모습으로 가자,6467,374,칭찬
와 벌써 3부가 100화네요!! 작가님 힘내시고 축하드려요!,5586,227,칭찬
진짜 욕도 많이 하지만 그만큼 좋아하는 애증의 신의탑이다. 벌써 3부 100화까지 왔네요. 문제점 고쳐가면서 앞으로 발전해 나가는 웹툰 만들어주세요,4634,181,칭찬
"근데.. 하도 여기 이야기풀다 저기이야기 풀다 하다보니까.. 대체 스토리가 어떻게 이어지고 있는지 기억이안남.. 어느 한 구역 스토리 쫌 풀다가 다른구역가서 스토리 풀다가 다시 돌아오면 뭐였지..? 하고 다시 돌아가게됌..
이런 난잡한 시점변경 스토리텔링 굳이 필요한가요..? ㅜㅜ",3498,259,비판
"이번화 요약

부유석으로 향하는 밤 일행
하진성에게 뭔가를 시키려는 마스체니
게임을 끝내고 게이트로 온 유한성과 저격수가 리아볼릭과 만남.
러브가 웬 짭스파이더맨과 만나 제압당하나 에반켈이 등장.",1831,62,작품내용
하저씨 양팔 무사한거 나만 다행임??..,1823,69,작품내용
야발 마스체니보다 잠깐 나온 유한성이 더 예뻐보이는데 내 눈이 이상한거냐 아님 작화가 이상한거냐.,1352,93,비판
자하드님... 당신이 옳았습니다... 밤을 죽여주세요...,1173,98,작품내용
"1. 등장
여기서 한 회 끊고

2. 싸움준비 및 각오다지기
여기서 한 회 끊고

3. 만남 및 신원파악
여기서 또 한 회 끊고

3. 가벼운 견제 스킬로 싸움 시작
지금 이 단계까지 진행 중

이렇게 진행하면 드래곤볼 작가가 그려도 재미 못 살립니다",1124,71,비판
신의탑 초반에늠 랭커되는게 하늘에 별 떠는 것 보다 어렵다고 ㅈㄴ 올려치기 해놓고 지금 하이랭커급 싸움인데 b급 선별인원도 아닌 애들이 전장에 있으니까 벨런스 붕괴된듯,960,37,비판
아니 근데 이제는 뭔내용인질 모르겠어 너무 루즈해,930,58,비판
"내가 예전꺼랑 비교해봤는데
대강 그 야마 나오고 부터 댓글 거진 1/5수준되고
지금은 예전에 비해 1/10수준됨 ㅋㅋ
야마 스토리가 18년인가 19년애 했는데
22년 다와가는데 스토리 진행수준 한숨나옴
매력적인 캐릭터 ㅈㄴ 많았던 신의탑이
ㄹㅇ 하나도 없어짐
밤이 강해지는 서사를 질질 끌거였으면
쓰잘데기 없는 캐릭터들의 서사는 안 그려야하는데
그릴 거 다 그리고 밤도 질질 끌고
서사도 ㅈ노잼에 이제 싸우나 기대했더니
고양이 간부하나에 게임으로 대체 ㅋㅋ
또 그걸 다 ㅇㅋ하면서 하는데
그 와중에 멤버들 그룹나눈 상태에서 각 그룹들
게임도 ㅈㄴ 질질 끌고 설명충
진짜 이게 그나마 인기유지하는 건
재밌이지길 바라는 기대감 단 하나뿐임
ㄹㅇ 재미 하나도 없음",928,78,비판
"밤팀, 야마팀, 에반켈, 유한성, 칼라반 등 여러스토리 진행에 로포비아군 새 캐릭터들 대거등장

1화 진행되는동안 여기저기 교차하는 진행이 박진감이 있긴커녕 정신없고 가독성도 없어요. 중심스토리위주로 진행좀 해주세요....",851,48,비판
네이버 웹툰 특 : 만화하나 대박나면 겁나 우려먹음.(이야기 질질 늘려서 한평생 해먹을려함),823,157,비판
