comment,likes,dislikes,
개인적으로 요즘 나온 화중 가장 재미있는 화였음,4748,27,칭찬
납치됐던 작가님 구조된 거 같으면 개추 ㅋㅋ,4360,39,칭찬
10가주는 떠난이도 돌아오게하는 치트키다,2741,34,작품내용
siu형 이거야,2304,31,칭찬
제발 이런 느낌 좋다 빌드업 쌓고 잘 풀고 해주세여 ㅜㅜ,1729,23,칭찬
"엔키두가 질투심에 트로이메라이가 사랑하는 여자를
죽였나보네, 이게 분열의 시작 아님?",1684,20,작품내용
유치한개그없고 먼가 미묘하게 신비로운느낌 옛날신의탑같노,1633,35,칭찬
시련이 있어야 할 탑을 개척하지 않는 10가주를 엄벌하기 위해 헤돈이 의도적으로 그들의 분열을 계획 했다면 자하드와 10가주는 서로의 파멸을 막기 위해 각자의 무언가를 봉인한 것일 수도 있겠네,994,17,작품내용
V 뒷모습으로는 밤이랑 많이 닮았네,914,17,작품내용
만신력 돌아온 시우먄 개추 ㅋㅋ,712,28,칭찬
지금보면 같이 지냈던 시절을 가장 그리워했던게 구스트앙 같아 보이네. 그런 애가 가주들의 죽음을 원한다니. 뭔일이 있었던거야 대체,655,16,작품내용
가주들도 제각기 생각하는대로 떠났지만 헤돈이 전부 헤집어놔서 망가졌나보네...,596,19,작품내용
하..트로이메라이 스토리 개슬플거같어..,532,26,작품내용
그래 이런걸원했어 시우형,522,18,칭찬
오늘 쿠키꺼 나온거 왜 3점이지ㅋㅋㅋㅋ 한창 9점 가다가 무슨일이 일어나는걸까ㅋㅋㅋ,325,23,관련없음
