comment,likes,dislikes,
라크는 인정하자 이건 말이 됨. 쿤은 몰라도 라크는 이미 고대종이었고 지가 지힘을 몰랐던거.. 힘만 풀려도 이미 하이랭커는 씹어먹는거 충분히 가능하다고는 봄. 그리고 각성도 한 10화 잡아먹을거 한번에 진행돼서 괜찮았다고 본다,5899,266,작품내용
어이가 없어서 말도 안 나오면 개추 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5172,351,비판
"여러분 우리가 알던 작가님은 1,2부까지입니다 3부부터는 무슨 사정인지는 모르지만 교체 당하였고 처음에는 쌓여왔던 빌드업이 있어서 티가 안났지만 슬슬 바닥이나니까 작가가 바뀐게 티가나네요 ㅎㅎ",2375,161,비판
"문제점이 많은건 사실이지만 제가 생각하는 가장 큰 아쉬움은 어떻게 해서든지 시험의층 멤버가 랭커가 된 이후에 이런 스토리 전개를 진행했어야합니다.

왜냐하면 작중 초반 랭커를 너무 대단한 존재로 묘사했기 때문입니다. 후반부로 갈수록 가주급이 등장하게 되면 랭커의 힘은 빠질 수 밖에 없지만 선별인원의 신분으로 맞닥뜨리니 그 존재가 더 이질적이고 밸런스가 맞지 않아 보입니다.

지금의 랭커는 확실히 평면적인 캐릭터로 변모했습니다. 그렇다고 가주나 10가문 하이랭커들이 압도적이고 입체적으로 그려지고 있나? 라는 질문에도 그렇다고 하기 힘들 것 같습니다..",1893,34,비판
아니 도대체 가시조각은 언제 모이는거임?? 와 드래곤볼 7개보다 모으기 힘드네,1907,68,작품내용
"2부 304화
데이터 자하드 vs 밤
자하드 : 얼마만일까.
이런식으로 가슴뛰는 상대를 만나본것이.

밤 : 트리플오브

자하드 : 얼마만이냐ㅡ
이렇게 새로운것을보고 그 것에 놀라워서
미친듯이 심장이 뛰었던 순간이ㅡ

자하드 : 마치 나에게 다시ㅡ
모험을 시작하라 말하는것같아.

밤 : 별의잔해 스타더스트

제가 제일 좋아하는, 감탄하면서본 기억에남는
신의탑입니다
언젠가 또 이런 전율이 올 만한 장면이오겠죠?
힘내세요..제발ㅠ",1293,36,작품내용
"이작품이 문제인 이유를 알려줄까?
지금 라크랑 밤이랑 싸우고 있는 저둘 이름이 뭔지 아는사람 거의 없을걸?
캐릭터는 잔뜩 등장하는데 이젠 임팩트도 없고..
만날
콰
아
아
앙
이
짓
거
리
만
하
다
가
끝
나
고",1165,27,비판
진짜 갈수록 재미 뒤지게 없네 ㅋㅋ,647,37,비판
"진짜 이건 아닌 것 같네요...
하이랭커 뛰어넘는 수준인 밤이 라크 잡혔다고 그냥 아무것도 못하고 바로 잡히고, 그냥 도발 한번 당한 거에 라크는 바로 각성 ㅋㅋ
그러고 갑자기 다 때려잡는 설정 이거 맞나요",628,25,비판
"신의탑에서 혈통이 뛰어난수록 개인의 성장 포텐셜이 높기 마련이죠.
문제는 어디까지 성장할 수 있는 가능성일 뿐이지, 사이어인인마냥 각성하듯 강해지는 게 아니라는 겁니다. 아무리 사기적인 혈통, 재능이 있어도 수백, 수천년을 수련해서 성장해야 하는 구조니까요.
그나마 비선별인원 정도만 레볼루션이라는 특수한 방법으로 그 과정을 건너뛰는 정도이고.

근데 갑자기 선별인원이 하이랭커급이 되는 말도 안 되는 이야기가 나오는데 납득이 가능하기 어렵죠.
차라리 고대종들은 태어날 때부터 하이랭커급 하드웨어를 가지고 태어난다는 설정이면 그러려니 한데, 그렇다기엔 이제까지의 라크가 너무 약합니다. 모종의 이유로 힘이 봉인되었다 가정한들, 하이랭커를 선별인원으로 격하시킬 정도의 강력한 봉인이 특정 이벤트도 없이 간단히 풀려나는 건 개연성이 너무 부족하구요.",456,25,비판
"문제점 요약

1. 이상한 게임을 진행하며 스토리전개 지연

진짜 압도적으로 가장 큰 문제임

게임을 하는 와중에 소비되는 캐릭터가 가주라는 점은 작가가 도대체 무슨생각을 하는건지 우리가 알던 사람이 만화를 그리는지가 의문일정도
가주가 등장했으므로 지금부터
진짜 여론을 보고 정신 차려서
최소 1년은 지나야
스토리 진행이 될 거로 예상

2. 미친듯한 설정붕괴

밤을 강하게 만들었다가
다시 아직은 약하다는걸 표현하는 과정을 반복하며
캐릭터 설정들이 허벌이 됨
이 과정을 몇년째 반복을 하고 있음 차라리 드레곤볼식 인플레이션이 나아보일 정도

3. 문제점 개선 의지 없음

분명 독자 반응을 보고 있을탠데
오히려 기만 하듯이 무시하고 있음

물론 작가에게 이래라 저래라 하며
전개에 대해 토를 다는건 문제가 맞다.
하지만 매번 똑같으니
이제는 전개가 다 보일 예정이다.
구조가 탄탄해 보였던 신의탑이 강해효 같은 원패턴 만화가 된거 같아
가슴이 찢어진다",399,15,
"내가 아직까지 신의탑을 보는 이유는 1, 2부 때 기억이 강렬해서고 거의 10년이 넘었지만 그때의 개지렸던 작화, 스토리로 돌아갈 수 있을거라 믿기 때문입니다. 살면서 그런 날이 오긴 올까요...? 일단 다 제쳐두고 제발 컷 확대 좀 하지 말아주세요. 그것만 안해도 보기 참 좋을텐데ㅠ",327,12,비판
"라크는 고대종이기도 하고, 데이터지만 가주 쿤의 수련을 간접적으로 받고, 화이트 힘을 일부 흡수했으니 그러려니 함
근데 밤은 지파장 둘을 상대하면서 가시 2개는커녕 1개도 제대로 안 쓸 정도로 여유부리고 칼라반도 상대해봤으면서 주먹한대에 나가떨어지는게 개연성이 없지.
라크 각성시키는 매개체가 밤이아니라 쿤이었으면 이런 어색한 전개가 없었을텐데",262,17,비판
오늘부로 유료결제는 끝이다 진심.,213,26,비판
탕후루가 왜 나와 대사 개연성 ㅈ도없네,21,4,비판
