comment,likes,dislikes,-3.16476047039032,
목소리 듣고 알지않냐,102862,903,-4.375725090503693,-1.0
대하는 태도가 달라 ㄷㄷ,65246,412,-2.9122155904769897,1.0
"남자도 화장빨이여서 주경이 알아보고 앞으로 화장에 대해서 하고하고 주경이도 저 남자애 화장빨인거 알아내고 서로 비밀생겨서 마지막엔 해피엔딩으로 끝날듯

이런거 하면 베댓된다던데..",53849,6568,-3.512936234474182,3.0
목소리 드립 하는애들 있는데 친구랑 강동원이랑 목소리 같다고 오 이시키 강동원이네 이런사람 없자너,40580,553,2.792724370956421,3.0
남주 외모 안 보고 너무 좋다 ㅠㅠ,21323,1071,4.960465729236603,2.0
그냥 얼굴 이쁘면 오히려 거부감 느끼는 스타일 아닌가 싶다. 남주가.,19226,451,-4.844046533107758,3.0
존잘이네,14076,250,3.456968069076538,3.0
번호달라고하면 뽀록나는거아녀 ...?,12051,145,-4.559401273727417,3.0
"내 친구 퇴근길에 화장한얼굴로 요가 등록하고
집가서 세수하고 30분후에 요가하러 다시 요가원갔는데
매니저님이 못알아보고 등록하러 왔냐며...ㅋㅋㅋㅋㅋ",10704,137,-2.8593361377716064,3.0
"아니 이그림체에 아직 하루가 지난ㄷ것도 아니고 지각이니 뭐니 ,, 왜 구러십니까 다들ㄹ ㅠㅠㅠㅠ",8320,223,2.5770974159240723,3.0
여러분 이거 화요일 웹툰입니다 이 정도에 올라오는게 정상입니다 그니까 제발 부추기지 마세요,6265,199,-3.0064931511878967,4.0
믿고 보는 웹툰,4648,153,4.917049407958984,5.0
별점 0.00 처음봄 대박,3832,286,-4.75584477186203,-2.0
여러분이거 화요일웹툰입니다 아직 11시 30분도 안됐으니 지각이라는 말은 삼가해주면 좋겠습니다 그리고 웹툰은 작가님이 아니신 운영자님께서 올리시는거에요!,375,17,4.864617586135864,4.0
요즘 신작들한테 11시에 바로 업로드 하지 말라했나.. 기존작보다 신작이 늦게 나오긴 함,165,18,3.74141126871109,3.0
