comment,likes,dislikes,
"솔직히 생각해보면 밤이랑 엮이고나서 잘된놈들 거의 한명도 없음
다들 밤때문에 뭐 하나씩 잃거나 희생했고 오히려 밤은 걔네들 양식으로 지 힘만 커짐ㅋㅋㅋ 라크랑 쿤 레벨업은 운이좋았던거고... 애초에 왜 레벨업이된지 모르겠지만 여튼
화이트랑 라헬이 밤 제대로 본거맞죠잉? 모든걸 집어삼키는 악마라고

나름 다른애들은 탑만 올라가면 되는걸 같이 올라가는 동료랍시고 밤 도와주려고 뭐라도 해주려고하는데
정작 밤쪽에선 자기 하고싶은것만 하고
걔네들이 하잔대로 한적이 한번도 없음

댕댕구할때도 쿤이랑 의견대립 오지게했지ㅋ 결국엔 똥고집부리다가 꼬이고 결국 댕댕죽음.
그뒤 격정적이게 폭발한게 화이트와의 캐삭빵전ㅋㅋ
캐삭빵끝나고나니 엇! 맞다 스승님! ㅇㅈㄹ하고있음
진작에 도망친 라헬이 현명했음

주인공이 역대급 개트롤",12930,822,작품내용
마스체니 자하드 점점 외모 너프먹는거같은데 하.. 이쁜얼굴이 어쩌다..,7649,196,비판
이쯤되면 라헬은 탑의 평화를 위해 희대의 악마 밤을 자신을 희생해가며 봉인한거아니었을까 재평가 필요하다,7195,254,작품내용
쿤 캐릭터가 좀 이상해지긴 했어요 원래 상대가 누구든 그 10가문 특유의 상대방 깔보는듯한 경향이 있기는 했지만 적어도 하진성 수준의 100위권 이내 하랭쯤이나 수준격이 남다른 사람들한테는 어느정도 예의를 차리거나 했는데 이번화 마스체니 대화나 저번화 아센시오 대화를 보면 쿤 아게로 아그니스가 쿤 가문의 지파장이나 자하드의 공주인건지 c급 선별인원 따리인지 분간이 안갑니다 아무리 쿤 가문의 뒷배가 있어봤자 에드안을 제외하면 쿤 가문 내에서 마스체니 입지를 따라올만한 인물은 거의 없을테고 마스체니 말대로 마음만 먹으면 쿤 이름을 가문 내에서 사라져버리게 할 수도 있는게 마스체니죠 근데 말하는거 보면 무슨 다혈질 캐가 상황파악 못하고 마구잡이로 개기다가 마스체니 팩폭에 꼬랑지 내리는 모습을 보고 있으면 제가 알던 그 쿤이 맞나 싶습니다,5224,121,작품내용
밤이 화이트 이기고 화이트 힘까지 흡수한 수준인데 군단장이나 마스체니랑 최소 동급이거나 강한거 아닌가..ㅋㅋㅋ,4261,175,작품내용
아니 근데 진짜 갈수록 주인공 일당 캐릭들 매력이 없어지냐...,4182,100,비판
"근데 밤 저 해괴한 패션좀 어찌 패셔니스트하게 바꿔주실수없음?

공방전때는 어울리고 좋았는데 3부오고나서는 뭔 아재패션이됐어",3093,78,비판
"한때 네이버 웹툰계의 희대의 악마 노랑머리 라헬년이 재평가가 되는날이 오다니..
밤아 정신좀 차리자",2900,86,작품내용
포비더가문 독서회인거임?? 곧 전쟁하는데 책장이 넘어가냐,1972,58,작품내용
그래서 안에 들어가서 이번엔 무슨 게임임?,1716,50,작품내용
"스토리도 그림도 완전히 뭉개져버렸네 그림작가 바뀐듯 그리고 스토리도 낚시꾼이나 창지기 등등 기존의 설정들을 잘 살리는 방향으로 잡고 잘하던 시험속의 가치충돌의 딜레마를 버리면 이 만화는 다른 소년만화물에 비교해서 아무 메리트가 없음 주인공들이 강해지고 멋진 기술쓰는게 이 만화의 본질이 아니라 탑을 오르면서도 주변사람들을 포기못하는 주인공과 탑을 오르기 위해서라면 쉽게쉽게 남을 배신하고 이용하는 다른 이들과의 대비가 신의 탑 스토리의 중심인데 독자들의 애정캐를 늘리고 싶은 욕심에 악역에 비해 지나치게 많은 ""선역""들을 우겨넣다보니 감정선이 집중이 안되고 오히려 화이트같은 악역의 비중만 크게 느껴지는거임 신의 탑이 월요웹툰 1등을 찍은건 밤을 밀어버리는 라헬의 냉정함과 라헬을 죽어도 포기 못하는 밤의 순정이 대비되는 스토리 라인의
힘이였지 손에서 신수포 펑펑 쏴대는 걸로 1등한게 아님",1692,88,비판
그냥 저러고있다가 점심 먹고 탑 산책하던 펜타미넘 마주쳐서 다 엑시즈 당하면 좋겠다,1605,54,작품내용
"신의탑 작살난게 그림체 하나뿐임?
스토리 풀어나가는 능력이며 대사 수준이며 연출이며 뭐 하나 1부 2부보다 나은게 없음
비센테 설정오류, 개연성도 없는 n빵, 예전이었으면 앵간한 에피 하나 끝날 시간이 지났음에도 진전이 없는 내용 등등 스토리 전개에도 설정에도 구멍 숭숭나기 시작함
대사 수준은 그냥 1부 한번만 보고 와도 대가리 봉합될 부분인데 이악물고 빠득빠득 실드치는 대깨신새끼 나오겠지 또 ㅋㅋ
당장 1부랑 2부 초반때 랭커들 위상이 어땠음? 답도없는 탑을 134층까지 오르는데 성공한 신 같은 존재였지
근데 그 랭커들 중에서도 1000명 안에만 드는 하이랭커들 꼬라지 봐라 ㅋㅋㅋ 정박아는 기본 패시브에 말하는 수준마저 애새끼와 다를 바가 없음
당장 요즘 나오는 하이랭커들 중에서 퀀트보다 대가리 좋아보이는 애들 있음? 정박아같던 퀀트도 선별인원들이랑 게임할때 심리전도 하고 그랬지. 지금은 심리전같은거 묘사 한번이라도 나옴? 그냥 무지성으로 꼬라박다가 서사 줄줄 풀어내더니 뒤져버리지",1543,156,비판
밤 왜이리 못생겨짐?? 초창기 밤 보고싶음,1400,52,비판
아니 근데 매주 나는 댓글 X도 신경안쓴다는 태도의 작가의 말 킹받네 ㅋㅋㅋㅋ,1486,229,비판
