comment,likes,dislikes,
ㅋㅋㅋㅋㅋㅋㅋㅋ라이볼릭 한대 처 맞아보니 안될 것 같아서 이제야 자하드 팔이하면서 입 터는 것 보소 ㅋㅋㅋㅋㅋㅋㅋㅋ 저런게 군단장이냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,11808,84,작품내용
와 나 근데 가주 등장하니까 또 두근거린다 나중에 쿤이랑 엔류 나올땐 ㄹㅇ 어떡함,10470,154,작품내용
트로이메라이랑 그래서 무슨게임하는데요,7207,580,작품내용
"가주는 에반켈 급의 하이랑커들도 쳐다보지도 못 할 만큼 신성한 존재로 표현이 되는데, 구스트앙은 죽음의 층에서 밤과 아이들 봤을 때 얼마나 구역질이 났을까",6630,139,작품내용
가주급이 되니까 치트키긴하네 ㅋㅋ 등장만으로 ㄹㅇ 갑자기 개설레고 다음편도 ㅈ망할거알지만 기대댐...,4209,294,작품내용
마스체니가 말한 숨겨진 것은 봉인당한 유라시아 엔 자하드 공주 아닐까,3568,93,작품내용
"로포가주:자하드의약속이다. 너희들모두
죽여주마

구스트앙:잠깐! 가주는 여기서 참견할수없다. 관리자님이 보고있다. 하지만 저 미물들로 게임을하지

로포가주: 흠...지켜봐볼까? 어떤게임이냐?

독자들: 아 ...또게임",3540,140,작품내용
칼라반 말한마디에 저따구로 복수 포기할꺼면 애초에 시작은 왜 한거임? 빡머가리임?,2743,411,작품내용
"ㅋㅋㅋㅋ 가주여파로 잠시 민심 비트코인처럼 급등했지만

전투씬 또 실망스러우면 물소들처럼 까댈인간들이라는게 눈에훤히보임",2065,215,논쟁
"하랭급 전투씬도 감당못하시는데...

이거뭐

가주급은 뭐 화면전부 하얀색으로 칠해집니까?",1819,242,비판
근데 그림체는 아무리 비판해도 어쩔 수 없는 부분이긴해 어시도 바뀌었다고 하고 그림 좀 그려본 사람들이라면 이해가 가긴 갈거임 아무리 잘그리더라도 사람마다 느낌자체가 다름 특히 잘그리는 사람들이 더 그럼 이때까지 신의탑 그 특유의 그림퀄이 워낙 인상적이었기 때문이라고 생각함 이제 작가님에게 부탁드리는건 이제 가주의 등장으로 가슴이 웅장해야할 장면들에 억지스러운 노잼개그나 게임도입하면서 룰설명하고 이런건 불필요하다고 생각됨,1263,76,논쟁
"효과음으로 까는건 너무 억까 아님?
솔까 담화에 가주급이 싸울 때 게임한다하면 합법적으로 깔 순 있다해도 효과음 억까랑 칼라반 말 한마디에 돌아섰다는걸로 까기엔 좀; 애초에 칼라반은 자하드 군 편이 아닌 자하드 한 명만 보고 달려왔다고 말한게 몇 번인데; 억까 제발 그만 좀 가주나와서 존나 설레니까",1082,113,논쟁
"로포비아 가주가 밤을 만났을 때 반응이 엄청 기대된다. V의 아들인걸 알아볼지, 밤을 통해 얻으려 하는게 뭔지, 그리고 로포비아의 앉아있는 자세나 탑 밖에서 온 밤이 어디있는지 물어보는 대사를 보면 자하드나 구스트앙, 하유린과는 매우 다르고 소외된듯한 분위기인데 그런 태도가 자하드의 심부름꾼이 된건지 아니면 자하드를 극복하려고 오랜 기간 동안 온갖 실험을 계속한건지
뒤 이야기가 확실히 기대되네.",947,36,작품내용
미리보기 전부 쿠키구운 사람입니다 딱대세요 개꿀잼 시작입니다,912,89,칭찬
"토롱토롱...

척ㅡ 척ㅡ

쿵ㅡ 쿵ㅡ

위~~~잉~~~~

휘이이이이이이잉",894,221,비판
