comment,likes,dislikes,,
"쪽팔린 불법사이트 볼빠엔 안보는게 나아요
우린 당당한 쿠키다",4748,28,관련없음,관련없음
준혁이 저러고 시우한테 넘겨줬는데 시우가 피케이 실패하니까 뺏어찼다고 한거냐??ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4160,11,작품내용,관련없음
삼가고인의명복을빕니다,2337,23,관련없음,관련없음
"이번화 하이라이트
1. 육광철 팔 맞은거 양심고백
2. 피케이 차는 선수는 시우고, 이번화 경기 못나올때 시우 아빠 반응보면 시우는 돈으로 들어오지도 않았고, 겨우 나와서 얻은 피케이도 김준혁이 못차겠다고 해서 넘겼는데 시우도 실패했던거네ㅋㅋㅋㅋ
이러면 시우가 돈주고 대표팀 들어가고, 피케이 뺏어찼는데 실패했다는 소문이 다 가짜였던거임
다음화에서 회상 이어지고, 경기로 넘어가면서 시우가 피케이 성공하면서 어떤 연출이 나올지 기대된다

작가님 삼가고인의명복을빕니다
그리고 힘드신 상황에서도 한 화를 잘 마무리 해주셔서 정말 감사합니다",1919,10,작품내용,관련없음
"""쪽팔린 승리를 할 바엔, 죽는게 나아요"" 광철이 낭만 지리네",1456,5,작품내용,작품내용
패널티킥 뺐아찼다면서 재호야;;,851,2,작품내용,작품내용
작가님 삼가고인의명복을빕니다...,598,10,관련없음,비판
"저도 얼마 전 소중한 가족을 잃었습니다.

그래서 그런지 ""죽음""이라는 단어에 심적으로 예민하게 반응하고 부정적인 생각이 자꾸만 듭니다.

아마 작가님도 그러시지 않을까 걱정입니다.

그래서 작중 대사에 특정 단어를 넣는 과정이 다소 힘드셨으리라 생각됩니다.

괜한 오지랖이라고 생각될 수 있지만 작가님의 팬으로서 힘내주시길 바랍니다. 감사합니다.

삼가고인의명복을빕니다.",472,14,관련없음,작품내용
"님들 보면 4강에서 pk임 분명 준우승 했다고 했음
그니까 저기 4강에서 성시우가 넣고 비벼서 결승 올라갔는데 결승에서 또 pk가 나와가지고 8번애가 못 넣을거 같으니까 시우가 찬다고 하면서 못 넣은거 아닐까?",306,6,작품내용,관련없음
"작가님 화이팅하십시오
삼가고인의 명복을 빕니다",198,5,관련없음,작품내용
천천히 마음 추스르고 돌아오세요 항상 응원하는 독자들이 뒤에있다는걸 알아주셨으면 합니다!,158,3,관련없음,작품내용
"삼가고인의 명곡을 빕니다 항상 힘내시고 힘드시면 휴재라도 좀 하시고
오셔도 괜찮습니다 언제나 기다리겠습니다 조심히 다녀오셔요",118,6,관련없음,작품내용
그냥 오류가 있어서 남깁니다... 10번 김승대 대사 7번으로 수정되어야 할 거 같습니다. 항상 좋은 웹툰 감사합니다,80,4,관련없음,비판
작가님 무슨 일 있나요?,34,0,관련없음,작품내용
다들 뭔 이상한 밈에 걸림? 작가 말에 .밖에 없는데,35,2,관련없음,작품내용
