comment,likes,dislikes,-3.16476047039032,
여라분 보셨죠?이렇게 달라지려면 얼굴형부터가 받쳐줘야 한답니다 ㅠㅠ,101195,849,-3.2588157057762146,2.0
쌍커풀도 쌍액 한거였구나ㅠㅠ 나중에 처질텐데,56717,890,-3.810318112373352,2.0
돼지 저금통 따려고 커터칼 들었을 때 그걸로 눈썹 밀려고 하는 줄 알았네 휴,46119,734,-4.313393831253052,2.0
실제로 저렇게 티안나고 자연스럽게 쌍액을 하려면 몇개월 간의 수련과 내공이 필요하죠....,39444,430,2.7911004424095154,3.0
저러고 또 학교가서 남자애들이 ㅈㄴ 말걸고 여자애들은 아니꼽게 보겠지,31168,911,-3.169546127319336,-1.0
난 쌍액 1년 넘게 했는데 아직도 어려운데 처음인데 저 정도라고? ㅈㄴ 금손 아니냐,23427,398,-4.369163513183594,0.0
오,15089,523,3.616037368774414,4.0
남들 시선 신경쓰지 말고 충분히 예쁘다는거 알았음 좋겠다,14876,1821,3.9915254712104797,2.0
"나도 쌩얼이랑 저렇게 화장하면 갭차이 쩌는데 애들이 가끔 못알아봄,,,,,",10628,265,3.899534046649933,0.0
ㄹㅇ 형석이처럼 자고 일어나면 다른사람각ㅋㅋㅋㅋㅋㅋ,8637,211,-2.608628571033478,3.0
음 어떻게 전개될 지는 모르겠지만 여자는 화장을 잘 하면 된다 ㅡ 그러니 이런 여러 방법을 알아보자 처럼 나아가진 않길 바라요... 전에 대새녀도 정보적인 면에서 유용할 순 있겠지만 결국 화장을 잘해야 한다는 관념을 심어주는 것처럼 보이더라구요...,8401,903,-4.133850634098053,1.0
역시 화장의 힘이란..,7322,322,4.090033173561096,2.0
쌍액 쥔나 잘하네ㄷ,7132,150,-2.7574414014816284,1.0
저렇게해서 남친 만났는데 생얼보면 어떨까,112,2,-3.4455901384353638,2.0
의외로 화장의 힘은 대단한데 ㅋㅋ 아무리봐도 중년 아저씨 되기 직전의 남자도 여자로 바꾸는 영상들 가끔 보면 원판 피지컬 이상의 기능이 있기도 함,64,2,3.2970479130744934,2.0
