comment,likes,dislikes,
"솔직히 밤아 너 열차편에 그 이름도 생각 안나는 걔네들
잊고 잘 살았잖아

갑자기왜 인생친구인마냥 급발진임?",19295,830,작품내용
"복수를 위해 사부구출 포기선언....

복수를 위해 자신을믿고 전쟁에 참여한 수많은 희생자들을외면
주인공 각성시키려는 의도는 내알겠는데 ㄹㅇ 저러고있으면
나머지 고생은 뭐가되나요 좀 이기적인거아닌가",12554,273,작품내용
"밤 스승구하러 쳐들어가놓고선 그거내던지고 왜저러는지도 이해안가고

걍 좀 재미가없다....나만이런가

게임설명나오면 스크롤내리기바쁨",9134,1282,비판
아리아 말이 백번 맞긴 함. 과연 죽은 프린스나 아크랩터가 밤이 스스로를 망가뜨리면서까지 복수하는걸 원할까? 특히 아크랩터는 자왕난을 살리기 위해 딸 만나는 것도 포기하고 왕난이 대신 목숨을 잃었던 캔데. 지금 밤은 동료들의 복수라는 탈에 숨은채로 화이트에게 복수하겠다는 자기의 이기심을 드러내고 있는거임. 죽은 동료들 성격상 걔들이 실제로 있었으면 도망치라 했지 자기들 원한 갚아달라며 화이트한테 덤기라고 했겠음? 아리아 말대로 지금 밤은 죽은 동료들이 진정 바랄만한 걸 모르고 있고 복수심에 눈이 먼 상태라고 생각함.,6496,87,작품내용
"아니 휴재 직전까지만해도
썸네일에 개빡친 칼라반 달아놓고
양쪽 군대랑 병력 다 깔아놔서 독자들 가슴 웅장해지게 하더니
갑자기 복귀 후엔 캣타워인지 뭔지로 쎈놈들 기껏 모인거
다 찢어놓고 쥐 잡기나 하고 있고 작화는 안좋아졌고
밤도 저모양이니까 너무 실망임",5054,395,비판
"작가님 대체 밤 인격성장은 언제해요..? 맨날 인격성장하는 척 보여주기식만 하시고 계속 지감정하나 주체못하는 어린애잖아요? 진짜 주인공캐릭성 역겨워서 더이상 못보겠어요
칼라반의 말처럼 땡깡쟁이라 자하드처럼 위에 설 자격이 없다 너무공감되네요... 아니 사부님 구하겠다고 전쟁한건데 이게 개연성이 있는전개인가요..?? 진심으로 잘생각좀해주세요",3455,318,비판
"밤아 니가 아무리 영혼팔아넘긴다고해도 화이트 넘을것같진않은데?

아카이누한테 급발진하다 배때지오지게뚫린 에이스꼴나지않겠니

레벨을좀보고덤벼 지금 너 금발누나랑 협공하면서
화이트몸에 생채기라도 냈니

그화이트지금 컬리넌같은 칼의단계변화는커녕 움직임도 ㅈㄴ 봐주면서 설렁설렁하고있구만

화이트는지금 야스라챠랑 붙어도 거의 안밀려
제발 니주제를좀알아라 워프했으면 하진성아저씨 구출하라고제발",2514,137,작품내용
"걍 밤은 캡틴아메리카같은 위선자임

걍 지옆에있는사람만챙기는

동료구하기위해선 세계멸망도시킬놈",2396,208,작품내용
독자는 이미 몇년전에 보낸 캐릭터 이제와서 복수니 뭐니하니까 공감이 안될수밖에없음..,2054,65,작품내용
신의탑 12년정도 저켜봐온 독자인데 신탑은 설정이 너무 자유로운것 같음. 그래서 억지 설정이 그때그때 추가되고 누가 무슨 행동을 해도 이상하지 않음.. 이번편도 갑자기 이빨을 박아넣어서 힘을 준다는둥.. 세계관에 최소한 정해놓은 어길수 없는 강력한 설정이 있어야하는데 이건 뭐 탑의 법칙이니 주술이니 해서 그때그때 새로운 설정 만들어내고 상식에 어긋난 설정이 나와도 그냥 탑의 법칙이고 종족이고 신수가 어떻고로 다 합리화됨.. 그래서 전투신이 집중이 안되고 강함의 척도가 없음,1527,87,비판
팩트) 아크랩터는 라헬이 죽였음 ㅋㅋㅋㅋㅋㅋㅋ,1437,29,비판
"솔직히 밤 스토리 패턴이
전부 다 구할겁니다!->실패->밤 맨붕->독자들 발암유발->성장->다시 동료사망or사건발생->밤 맨붕->독자들 발암유발
밤래기라고 까여도 할말1도없지 ㅇㅇ
시원시원한 라크로 주인공 바꾸자
대충 네이티브 원 힘 받아서 자하드 목따는걸로 ㅇㅇ",1336,71,작품내용
맨날 말하는건데 스토리는 그렇다 쳐도 그림체가 너무 달라졌어요;;;,1455,218,비판
나중에 사이다 나올 때 댓글 물타기 여론 확 바뀐다에 한 표,1326,179,논쟁
정상결전같은 대 전투가 일어날 줄 알았더니 부루마블 하면서 헛짓거리 하네. 이게 뭔 스토리야? 이번 편은 외전이야? 그런거지? 성벽 뚫고 난 시점부터 스토리 다시 짜줘. 고대 전쟁영웅들은 아무 활약도 없이 D급 최강 사치페이커처럼 공기화 되는거야?,1364,262,비판
