comment,likes,dislikes,-3.16476047039032,
"아니 여주가 사용한 저 더페이스샵 잉크래스팅 파운데이션으로 말할것 같으면 백화점 파운데이션에 발리지않을 가성비와 도자기 같은 피부를 만들어주는 커버력, 꿀을 바른듯한 밀착력까지 겸비한 요즘 매우 핫한 파운데이션이자나..!!(이릏게 하면 되나여 작가님)",85188,1070,4.944837391376495,0.0
"근데 팩트를 말하자면 여주 피부 트러블이랑 눈썹 없는거 때문에 못생겨 보이는거지 결코 못생긴거 아닙니다. 옆태 보면 콧대도 상당히 높고 눈도 들어가 있고 전체적 이목구비가 상당히 예쁘기에 피부화장, 눈썹이랑 쌍액으로 두 가지 단점 커버만 해도 미소녀가 되는거에요. 여주 화장 살펴보면 기본적인 자기 컴플렉스만 커버하지 쉐이딩이나 아이라인으로 앞트임,뒷트임 효과넣기 이런 성형 메이크업 하나도 없어요.",50037,1328,-4.726116955280304,3.0
딱봐도 이수호 누나네,32469,4206,2.551884949207306,-1.0
일본만화도 아니고 옥상에서 도시락 무엇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,27516,630,-4.33265745639801,-2.0
와 씨 수호 개잘생겼네,20613,435,-3.464881479740143,3.0
막컷 존나 갈비뼈 제거수술하셧나,17031,411,-3.7621185183525085,-4.0
수호 게임하면서 어린애처럼 좋아하는 거 너무 귀엽쟈나ㅠㅠㅠ,14131,206,4.684304296970367,3.0
꼭 이런만화 남주는 여자 얼굴 안따지는듯이 말함 ㅋㅋㅋ,11676,263,-3.6541491746902466,-1.0
전형적인 흔녀와 왕자님 스토리네,9212,628,-4.733845889568329,-3.0
그림이 예뻐서 보고 있긴 하지만... 음... 아... ㅠㅠ,7949,419,-4.710847437381744,-4.0
드디어 쿠키를 쓸수있군,5897,179,-4.151471257209778,0.0
남주 여주한테 호감있는거같다,5852,183,-2.9322022199630737,3.0
이건 미리보기도 있는데 늦게뜨냐,630,82,3.8565847277641296,-3.0
ㅋㅋㅋㅋ그림 너무 예쁜데 스토리가 00년대 인소급임..ㅠ,77,5,4.786013662815094,-5.0
"작가님 연령대를 모르겠지만. 8,90년대 생이면 창의성이 부족한 거고 8,90년대 활발히 활동하셨던 분이면 발전이 없는 거 같네요. 2000년대 만화방 호황일 때 보던 순정만화 판박이. 스토리가 뭐이리 진부한지.",60,13,-4.918259978294373,-5.0
