comment,likes,dislikes,
저팀 하자있네,11616,27,작품내용
근데 유나 ㅈㄴ이쁜데 왜 아무도 언급 안하냐? 유나 존예네,7782,176,작품내용
이제 노랑머리 실력좀 보자 저나이에 함부르크라면 손흥민 급은 된다는 얘긴데 게다가 기본기 강조가 심한걸보면,6390,52,작품내용
아마추어 경기에 청소년 국대는 반칙아니냐 ㅋㅋㅋ,5833,39,작품내용
ㅋㅋㅋ이거 이길수있냐 많이 쎄보이는데,3420,24,작품내용
저 브라질 유학 빡빡이 그래도 친구는 좋은 애들로 뒀네 ㅋㅋㅋㅋ 쟤 혼자 성공 못하고 하자고에서 썩으니 무시 할법도 한데 축구하자고 부르니까 바로 와주는거 봐 ㄷㄷ,3161,12,작품내용
아니 근데 왜 발 안 핥음?,2205,8,작품내용
저 안경쓴애 아까 샤워 같이 하던애 아니냐???,1090,10,작품내용
어차피 배우는게 달라서 급하게 맞춘팀으로는 밸런스를 맞출수가없음 그리고 예전에 같이 축구하면뭐해 저 빠박이가 청국대도아니고 내예상 내분일어남 수준차이땜에 저빠박이 친구라는 두놈 잃고 주인공이랑 노랭이랑 이길게 빤히보임,684,8,작품내용
"프롤로그에 보면 마루의 등번호가 10번으로 설정되어있습니다. 그리고 주장, 시우, 승호, 주황머리 등 우리가 아는 선수들이 나오고요. 승호와 영재의 등번호가 같다는 것 등으로 보았을때 이 경기를 통해 3학년들이 대거 빠질것으로 추측됩니다.",584,9,작품내용
진짜 내 쿠키가 녹아내린다 빌드업은 진짜 레전드다... 하이큐느낌으로다가 축구가갑자기하고싶다,418,8,칭찬
이런 웹툰은 빨리 떠야 된다,381,16,칭찬
근데 작가님 작화 되게 좋다 네이버 웹툰 탑급임,372,9,칭찬
"썬더일레븐 이후로 축구 주제로한 만화나 웹툰 다 노잼이거나 이상했는데
이건 재밌네 제일 현실성있고 실제 축구부에 있을법한 내용으로 만들어 져서 꿀잼 천둥중처럼 밑바닥 부터 성공하는 모습으로 만들어지는 내용!! 결론은 개꿀잼",76,3,칭찬
누가 안경 끼고 샤워해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7,1,작품내용
